company_number,company_name,former_names,ticker,ftse_entry_date,ftse_exit_date,ftse_exit_type,ftse_exit_name,incorporation_date,birth_year,birth_precision,birth_is_estimated,death_date,ch_exit_type,exit_class,company_status,company_category,sic_code,sic_desc,sic_1,sic_2,sic_3,sic_4,region,reg_posttown,reg_county,reg_postcode,reg_country,reg_incorporation_date,reg_dissolution_date,reg_company_status,match_status,first_filing_year,last_filing_year,size_class,year,year_end_price_pence,annual_dividend_pence,market_cap_gbp,shares_outstanding,market_cap_basis,revenue,net_income,total_assets,currency,ch_snapshot_fy,ch_snapshot_turnover,ch_snapshot_net_assets,ch_snapshot_total_assets,ch_snapshot_employees,shares_source_url,fundamentals_source_url,membership_source_url,ch_match_suspect
00012901,Foreign & Col Inv Trust,Foreign & Col Inv Trust; Foreign & Colonial Invest Trust; Foreign & Colonial Investment Trust,FCIT,1984-01-02,2009-09-21,current,Foreign & Col Inv Trust,1879-03-15,,,,,,,Active,Public Limited Company,,64999 - Financial intermediation not elsewhere classified,64999 - Financial intermediation not elsewhere classified,,,,London,LONDON,,EC4N 6AG,UNITED KINGDOM,15/03/1879,,Active,,,,,1995,162.0,1.91,769262988.0,474853696.0,fetch_time_2025_not_year_end,,,,,,,,,,,,https://find-and-update.company-information.service.gov.uk/company/00012901,False
00012901,Foreign & Col Inv Trust,Foreign & Col Inv Trust; Foreign & Colonial Invest Trust; Foreign & Colonial Investment Trust,FCIT,1984-01-02,2009-09-21,current,Foreign & Col Inv Trust,1879-03-15,,,,,,,Active,Public Limited Company,,64999 - Financial intermediation not elsewhere classified,64999 - Financial intermediation not elsewhere classified,,,,London,LONDON,,EC4N 6AG,UNITED KINGDOM,15/03/1879,,Active,,,,,2003,188.5,4.25,895099217.0,474853696.0,fetch_time_2025_not_year_end,,,,,,,,,,,,https://find-and-update.company-information.service.gov.uk/company/00012901,False
00012901,Foreign & Col Inv Trust,Foreign & Col Inv Trust; Foreign & Colonial Invest Trust; Foreign & Colonial Investment Trust,FCIT,1984-01-02,2009-09-21,current,Foreign & Col Inv Trust,1879-03-15,,,,,,,Active,Public Limited Company,,64999 - Financial intermediation not elsewhere classified,64999 - Financial intermediation not elsewhere classified,,,,London,LONDON,,EC4N 6AG,UNITED KINGDOM,15/03/1879,,Active,,,,,2021,,,,,,,,,GBP,,,,,,,https://finance.yahoo.com/quote/FCIT.L/financials,https://find-and-update.company-information.service.gov.uk/company/00012901,False
00012901,Foreign & Col Inv Trust,Foreign & Col Inv Trust; Foreign & Colonial Invest Trust; Foreign & Colonial Investment Trust,FCIT,1984-01-02,2009-09-21,current,Foreign & Col Inv Trust,1879-03-15,,,,,,,Active,Public Limited Company,,64999 - Financial intermediation not elsewhere classified,64999 - Financial intermediation not elsewhere classified,,,,London,LONDON,,EC4N 6AG,UNITED KINGDOM,15/03/1879,,Active,,,,,2022,904.0,13.2,4357442575.0,482017984.0,fetch_time_2025_not_year_end,-474830000.0,-491377000.0,5238854000.0,GBP,,,,,,,https://finance.yahoo.com/quote/FCIT.L/financials,https://find-and-update.company-information.service.gov.uk/company/00012901,False
00012901,Foreign & Col Inv Trust,Foreign & Col Inv Trust; Foreign & Colonial Invest Trust; Foreign & Colonial Investment Trust,FCIT,1984-01-02,2009-09-21,current,Foreign & Col Inv Trust,1879-03-15,,,,,,,Active,Public Limited Company,,64999 - Financial intermediation not elsewhere classified,64999 - Financial intermediation not elsewhere classified,,,,London,LONDON,,EC4N 6AG,UNITED KINGDOM,15/03/1879,,Active,,,,,2023,962.0,17.8,4637013006.0,482017984.0,fetch_time_2025_not_year_end,552824000.0,532844000.0,5629292000.0,GBP,,,,,,,https://finance.yahoo.com/quote/FCIT.L/financials,https://find-and-update.company-information.service.gov.uk/company/00012901,False
00012901,Foreign & Col Inv Trust,Foreign & Col Inv Trust; Foreign & Colonial Invest Trust; Foreign & Colonial Investment Trust,FCIT,1984-01-02,2009-09-21,current,Foreign & Col Inv Trust,1879-03-15,,,,,,,Active,Public Limited Company,,64999 - Financial intermediation not elsewhere classified,64999 - Financial intermediation not elsewhere classified,,,,London,LONDON,,EC4N 6AG,UNITED KINGDOM,15/03/1879,,Active,,,,,2024,1108.0,15.1,5340759263.0,482017984.0,fetch_time_2025_not_year_end,1019494000.0,999759000.0,6270732000.0,GBP,,,,,,,https://finance.yahoo.com/quote/FCIT.L/financials,https://find-and-update.company-information.service.gov.uk/company/00012901,False
00012901,Foreign & Col Inv Trust,Foreign & Col Inv Trust; Foreign & Colonial Invest Trust; Foreign & Colonial Investment Trust,FCIT,1984-01-02,2009-09-21,current,Foreign & Col Inv Trust,1879-03-15,,,,,,,Active,Public Limited Company,,64999 - Financial intermediation not elsewhere classified,64999 - Financial intermediation not elsewhere classified,,,,London,LONDON,,EC4N 6AG,UNITED KINGDOM,15/03/1879,,Active,,,,,2025,,,,,,683357000.0,664860000.0,6759942000.0,GBP,,,,,,,https://finance.yahoo.com/quote/FCIT.L/financials,https://find-and-update.company-information.service.gov.uk/company/00012901,False
00023307,Diageo,,DGE,1997-12-17,,current,,1886-10-21,,,,,,,Active,Public Limited Company,,70100 - Activities of head offices,70100 - Activities of head offices,,,,London,LONDON,,W1F 7HS,UNITED KINGDOM,21/10/1886,,Active,,,,,1997,581.3087768554688,0.0,12924833668.0,2223402464.0,fetch_time_2025_not_year_end,,,,,,,,,,,,https://find-and-update.company-information.service.gov.uk/company/00023307,False
00023307,Diageo,,DGE,1997-12-17,,current,,1886-10-21,,,,,,,Active,Public Limited Company,,70100 - Activities of head offices,70100 - Activities of head offices,,,,London,LONDON,,W1F 7HS,UNITED KINGDOM,21/10/1886,,Active,,,,,1998,684.0,386.12,15208072854.0,2223402464.0,fetch_time_2025_not_year_end,,,,,,,,,,,,https://find-and-update.company-information.service.gov.uk/company/00023307,False
00023307,Diageo,,DGE,1997-12-17,,current,,1886-10-21,,,,,,,Active,Public Limited Company,,70100 - Activities of head offices,70100 - Activities of head offices,,,,London,LONDON,,W1F 7HS,UNITED KINGDOM,21/10/1886,,Active,,,,,1999,498.0,19.5,11072544271.0,2223402464.0,fetch_time_2025_not_year_end,,,,,,,,,,,,https://find-and-update.company-information.service.gov.uk/company/00023307,False
