company_number,company_name,birth_year,birth_month,birth_date_exact,birth_precision,birth_basis,source_url
01142830,3i Group,1973,November,1973-11-01,day,companies_house_incorporation,https://find-and-update.company-information.service.gov.uk/company/01142830
09496208,AMEC,1883,,,year,business_founding_researched,https://en.wikipedia.org/wiki/Amec_Foster_Wheeler
11299879,ARM Holdings,1990,November,,month,business_founding_researched,https://en.wikipedia.org/wiki/Arm_Holdings
01396513,ASDA Group (formerly Associated,1978,October,1978-10-27,day,companies_house_incorporation,https://find-and-update.company-information.service.gov.uk/company/01396513
00710383,Abbey Life,1961,December,1961-12-12,day,companies_house_incorporation,https://find-and-update.company-information.service.gov.uk/company/00710383
02294747,Abbey National,1988,September,1988-09-12,day,companies_house_incorporation,https://find-and-update.company-information.service.gov.uk/company/02294747
16133984,Aberdeen Asset Management,1983,,,year,business_founding_researched,https://en.wikipedia.org/wiki/Aberdeen_Asset_Management
03849958,Admiral Group,1999,September,1999-09-24,day,companies_house_incorporation,https://find-and-update.company-information.service.gov.uk/company/03849958
SC177553,Aggreko,1997,July,1997-07-23,day,companies_house_incorporation,https://find-and-update.company-information.service.gov.uk/company/SC177553
11462215,Airtel Africa,2018,July,2018-07-12,day,companies_house_incorporation,https://find-and-update.company-information.service.gov.uk/company/11462215
03263713,Alliance & Leicester,1996,October,1996-10-10,day,companies_house_incorporation,https://find-and-update.company-information.service.gov.uk/company/03263713
04452715,Alliance Boots,1849,,,year,business_founding_researched,https://en.wikipedia.org/wiki/Boots_(company)
SC001731,Alliance Witan,1888,April,1888-04-21,day,companies_house_incorporation,https://find-and-update.company-information.service.gov.uk/company/SC001731
03771147,Allied Domecq,1961,,,year,business_founding_researched,https://en.wikipedia.org/wiki/Allied_Breweries
03525388,Allied Zurich,1998,March,1998-03-05,day,companies_house_incorporation,https://find-and-update.company-information.service.gov.uk/company/03525388
15698920,Amstrad,1968,November,,month,business_founding_researched,https://en.wikipedia.org/wiki/Amstrad
00308372,Amvescap,1935,December,1935-12-19,day,companies_house_incorporation,https://find-and-update.company-information.service.gov.uk/company/00308372
07476767,Anglian Water,1974,April,,month,business_founding_researched,https://en.wikipedia.org/wiki/Anglian_Water_Authority
03564138,Anglo American,1998,May,1998-05-14,day,companies_house_incorporation,https://find-and-update.company-information.service.gov.uk/company/03564138
01627889,Antofagasta,1982,April,1982-04-07,day,companies_house_incorporation,https://find-and-update.company-information.service.gov.uk/company/01627889
01081551,Argos plc,1972,November,1972-11-13,day,companies_house_incorporation,https://find-and-update.company-information.service.gov.uk/company/01081551
SC544125,Argyll Group,1977,,,year,business_founding_researched,https://en.wikipedia.org/wiki/Argyll_Foods
00961440,Arjo Wiggins Appleton plc,1969,September,1969-09-04,day,companies_house_incorporation,https://find-and-update.company-information.service.gov.uk/company/00961440
03675683,Ashmore Group,1998,November,1998-11-30,day,companies_house_incorporation,https://find-and-update.company-information.service.gov.uk/company/03675683
