symbol,company_name,former_company_name,cik,sector,sub_industry,hq,founded,state_of_inc,sic,sic_description,index_date_added,sp_entry_date,sp_entry_precision,sp_exit_date,sp_exit_precision,fiscal_year,period_end,revenue,net_income,total_assets,market_cap,shares_outstanding,employees,revenue_grade,net_income_grade,total_assets_grade,revenue_source_url,net_income_source_url,total_assets_source_url,membership_source_urls
A,Agilent Technologies,Agilent Technologies,0001090872,Health Care,Life Sciences Tools & Services,"Santa Clara, California",1999,DE,3826,Laboratory Analytical Instruments,2000-06-05,2000-06-05,DAY,,OPEN,2000,,,757000000,8425000000,,,,,U,U,,,,https://www.sec.gov/files/company_tickers.json;https://pages.stern.nyu.edu/~jwurgler/data/sp500%20changes.xls;https://data.sec.gov/submissions/CIK0001090872.json;https://www.spglobal.com/spdji/en/indices/equity/sp-500/;https://raw.githubusercontent.com/datasets/s-and-p-500-companies/master/data/constituents.csv
A,Agilent Technologies,Agilent Technologies,0001090872,Health Care,Life Sciences Tools & Services,"Santa Clara, California",1999,DE,3826,Laboratory Analytical Instruments,2000-06-05,2000-06-05,DAY,,OPEN,2001,,8396000000,174000000,7986000000,,,,,,U,https://www.sec.gov/Archives/edgar/data/1090872/000089161802005622/f86150e10vk.htm,https://www.sec.gov/Archives/edgar/data/1090872/000089161802005622/f86150e10vk.htm,https://www.sec.gov/Archives/edgar/data/1090872/000089161802000185/f78349e10-k.htm,https://www.sec.gov/files/company_tickers.json;https://pages.stern.nyu.edu/~jwurgler/data/sp500%20changes.xls;https://data.sec.gov/submissions/CIK0001090872.json;https://www.spglobal.com/spdji/en/indices/equity/sp-500/;https://raw.githubusercontent.com/datasets/s-and-p-500-companies/master/data/constituents.csv
A,Agilent Technologies,Agilent Technologies,0001090872,Health Care,Life Sciences Tools & Services,"Santa Clara, California",1999,DE,3826,Laboratory Analytical Instruments,2000-06-05,2000-06-05,DAY,,OPEN,2002,,6010000000,-1032000000,8203000000,,,,,,U,https://www.sec.gov/Archives/edgar/data/1090872/000089161802005622/f86150e10vk.htm,https://www.sec.gov/Archives/edgar/data/1090872/000089161802005622/f86150e10vk.htm,https://www.sec.gov/Archives/edgar/data/1090872/000089161802005622/f86150e10vk.htm,https://www.sec.gov/files/company_tickers.json;https://pages.stern.nyu.edu/~jwurgler/data/sp500%20changes.xls;https://data.sec.gov/submissions/CIK0001090872.json;https://www.spglobal.com/spdji/en/indices/equity/sp-500/;https://raw.githubusercontent.com/datasets/s-and-p-500-companies/master/data/constituents.csv
A,Agilent Technologies,Agilent Technologies,0001090872,Health Care,Life Sciences Tools & Services,"Santa Clara, California",1999,DE,3826,Laboratory Analytical Instruments,2000-06-05,2000-06-05,DAY,,OPEN,2003,,,174000000,6297000000,,,,,U,U,,https://www.sec.gov/Archives/edgar/data/1090872/000119312503098260/d10k.htm,https://www.sec.gov/Archives/edgar/data/1090872/000119312503098260/d10k.htm,https://www.sec.gov/files/company_tickers.json;https://pages.stern.nyu.edu/~jwurgler/data/sp500%20changes.xls;https://data.sec.gov/submissions/CIK0001090872.json;https://www.spglobal.com/spdji/en/indices/equity/sp-500/;https://raw.githubusercontent.com/datasets/s-and-p-500-companies/master/data/constituents.csv
A,Agilent Technologies,Agilent Technologies,0001090872,Health Care,Life Sciences Tools & Services,"Santa Clara, California",1999,DE,3826,Laboratory Analytical Instruments,2000-06-05,2000-06-05,DAY,,OPEN,2004,,,349000000,7056000000,,,,,U,U,,https://www.sec.gov/Archives/edgar/data/1090872/000119312504216917/d10k.htm,https://www.sec.gov/Archives/edgar/data/1090872/000119312504216917/d10k.htm,https://www.sec.gov/files/company_tickers.json;https://pages.stern.nyu.edu/~jwurgler/data/sp500%20changes.xls;https://data.sec.gov/submissions/CIK0001090872.json;https://www.spglobal.com/spdji/en/indices/equity/sp-500/;https://raw.githubusercontent.com/datasets/s-and-p-500-companies/master/data/constituents.csv
A,Agilent Technologies,Agilent Technologies,0001090872,Health Care,Life Sciences Tools & Services,"Santa Clara, California",1999,DE,3826,Laboratory Analytical Instruments,2000-06-05,2000-06-05,DAY,,OPEN,2005,,,103000000,6751000000,,,,,U,U,,https://www.sec.gov/Archives/edgar/data/1090872/000104746906000516/a2166540z10-k.htm,https://www.sec.gov/Archives/edgar/data/1090872/000104746906000516/a2166540z10-k.htm,https://www.sec.gov/files/company_tickers.json;https://pages.stern.nyu.edu/~jwurgler/data/sp500%20changes.xls;https://data.sec.gov/submissions/CIK0001090872.json;https://www.spglobal.com/spdji/en/indices/equity/sp-500/;https://raw.githubusercontent.com/datasets/s-and-p-500-companies/master/data/constituents.csv
A,Agilent Technologies,Agilent Technologies,0001090872,Health Care,Life Sciences Tools & Services,"Santa Clara, California",1999,DE,3826,Laboratory Analytical Instruments,2000-06-05,2000-06-05,DAY,,OPEN,2006,,,2816000000,7369000000,,,,,U,U,,https://www.sec.gov/Archives/edgar/data/1090872/000104746906015256/a2175273z10-k.htm,https://www.sec.gov/Archives/edgar/data/1090872/000104746906015256/a2175273z10-k.htm,https://www.sec.gov/files/company_tickers.json;https://pages.stern.nyu.edu/~jwurgler/data/sp500%20changes.xls;https://data.sec.gov/submissions/CIK0001090872.json;https://www.spglobal.com/spdji/en/indices/equity/sp-500/;https://raw.githubusercontent.com/datasets/s-and-p-500-companies/master/data/constituents.csv
A,Agilent Technologies,Agilent Technologies,0001090872,Health Care,Life Sciences Tools & Services,"Santa Clara, California",1999,DE,3826,Laboratory Analytical Instruments,2000-06-05,2000-06-05,DAY,,OPEN,2007,2007-10-31,5420000000,638000000,7581000000,,,,A,A,A,https://data.sec.gov/api/xbrl/companyfacts/CIK0001090872.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0001090872.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0001090872.json,https://www.sec.gov/files/company_tickers.json;https://pages.stern.nyu.edu/~jwurgler/data/sp500%20changes.xls;https://data.sec.gov/submissions/CIK0001090872.json;https://www.spglobal.com/spdji/en/indices/equity/sp-500/;https://raw.githubusercontent.com/datasets/s-and-p-500-companies/master/data/constituents.csv
A,Agilent Technologies,Agilent Technologies,0001090872,Health Care,Life Sciences Tools & Services,"Santa Clara, California",1999,DE,3826,Laboratory Analytical Instruments,2000-06-05,2000-06-05,DAY,,OPEN,2008,2008-10-31,5774000000,693000000,7007000000,,,,A,A,A,https://data.sec.gov/api/xbrl/companyfacts/CIK0001090872.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0001090872.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0001090872.json,https://www.sec.gov/files/company_tickers.json;https://pages.stern.nyu.edu/~jwurgler/data/sp500%20changes.xls;https://data.sec.gov/submissions/CIK0001090872.json;https://www.spglobal.com/spdji/en/indices/equity/sp-500/;https://raw.githubusercontent.com/datasets/s-and-p-500-companies/master/data/constituents.csv
A,Agilent Technologies,Agilent Technologies,0001090872,Health Care,Life Sciences Tools & Services,"Santa Clara, California",1999,DE,3826,Laboratory Analytical Instruments,2000-06-05,2000-06-05,DAY,,OPEN,2009,2009-10-31,4481000000,-31000000,7612000000,10088202862,348831278,,A,A,A,https://www.sec.gov/Archives/edgar/data/1090872/000104746911010124/,https://www.sec.gov/Archives/edgar/data/1090872/000104746911010124/,https://www.sec.gov/Archives/edgar/data/1090872/000104746911010124/,https://www.sec.gov/files/company_tickers.json;https://pages.stern.nyu.edu/~jwurgler/data/sp500%20changes.xls;https://data.sec.gov/submissions/CIK0001090872.json;https://www.spglobal.com/spdji/en/indices/equity/sp-500/;https://raw.githubusercontent.com/datasets/s-and-p-500-companies/master/data/constituents.csv
A,Agilent Technologies,Agilent Technologies,0001090872,Health Care,Life Sciences Tools & Services,"Santa Clara, California",1999,DE,3826,Laboratory Analytical Instruments,2000-06-05,2000-06-05,DAY,,OPEN,2010,2010-10-31,5444000000,684000000,9696000000,12173112989,347604202,,A,A,A,https://www.sec.gov/Archives/edgar/data/1090872/000109087212000018/,https://www.sec.gov/Archives/edgar/data/1090872/000109087212000018/,https://www.sec.gov/Archives/edgar/data/1090872/000109087212000018/,https://www.sec.gov/files/company_tickers.json;https://pages.stern.nyu.edu/~jwurgler/data/sp500%20changes.xls;https://data.sec.gov/submissions/CIK0001090872.json;https://www.spglobal.com/spdji/en/indices/equity/sp-500/;https://raw.githubusercontent.com/datasets/s-and-p-500-companies/master/data/constituents.csv
A,Agilent Technologies,Agilent Technologies,0001090872,Health Care,Life Sciences Tools & Services,"Santa Clara, California",1999,DE,3826,Laboratory Analytical Instruments,2000-06-05,2000-06-05,DAY,,OPEN,2011,2011-10-31,6615000000,1012000000,9057000000,13166078174,348125175,,A,A,A,https://www.sec.gov/Archives/edgar/data/1090872/000109087212000018/,https://www.sec.gov/Archives/edgar/data/1090872/000109087212000018/,https://www.sec.gov/Archives/edgar/data/1090872/000109087212000018/,https://www.sec.gov/files/company_tickers.json;https://pages.stern.nyu.edu/~jwurgler/data/sp500%20changes.xls;https://data.sec.gov/submissions/CIK0001090872.json;https://www.spglobal.com/spdji/en/indices/equity/sp-500/;https://raw.githubusercontent.com/datasets/s-and-p-500-companies/master/data/constituents.csv
