ticker|entry_year|adjudicated_class|is_genuinely_new|source_url
AABA|1999|genuinely_new|yes|https://en.wikipedia.org/wiki/Yahoo!
AMTM|2024|merger|no|https://www.jacobs.com/newsroom/press-release/jacobs-spin-off-and-merge-its-critical-mission-solutions
ANRZQ|2011|merger|no|https://en.wikipedia.org/wiki/Alpha_Natural_Resources
ASN|2004|merger|no|https://en.wikipedia.org/wiki/Archstone
AV|2000|spin_off|no|https://en.wikipedia.org/wiki/Avaya
AW|1999|merger|no|https://en.wikipedia.org/wiki/Allied_Waste_Industries
BHF|2017|spin_off|no|https://en.wikipedia.org/wiki/Brighthouse_Financial
BRCM|2000|genuinely_new|yes|https://en.wikipedia.org/wiki/Broadcom_Corporation
BVSN|2000|genuinely_new|yes|https://en.wikipedia.org/wiki/BroadVision
BXLT|2015|spin_off|no|https://en.wikipedia.org/wiki/Baxalta
CCE|1998|spin_off|no|https://en.wikipedia.org/wiki/Coca-Cola_Enterprises
CCEP|2016|merger|no|https://en.wikipedia.org/wiki/Coca-Cola_Europacific_Partners
CFN|2009|spin_off|no|https://en.wikipedia.org/wiki/CareFusion
CNXT|2000|spin_off|no|https://en.wikipedia.org/wiki/Conexant
CPGX|2015|spin_off|no|https://en.wikipedia.org/wiki/Columbia_Pipeline_Group
CSRA|2015|merger|no|https://en.wikipedia.org/wiki/CSRA_Inc.
CTXS|1999|genuinely_new|yes|https://en.wikipedia.org/wiki/Citrix_Systems
CVG|2000|spin_off|no|https://en.wikipedia.org/wiki/Convergys
CXO|2016|genuinely_new|yes|https://en.wikipedia.org/wiki/Concho_Resources
DPHIQ|1999|spin_off|no|https://en.wikipedia.org/wiki/Delphi_Technologies
DTV|2006|reincorporation_rename|no|https://en.wikipedia.org/wiki/Hughes_Electronics
FB|2013|genuinely_new|yes|https://en.wikipedia.org/wiki/Meta_Platforms
FBHS|2016|spin_off|no|https://en.wikipedia.org/wiki/Fortune_Brands_Home_%26_Security
FCPT|2015|spin_off|no|https://en.wikipedia.org/wiki/Four_Corners_Property_Trust
FRO|1997|reincorporation_rename|no|https://en.wikipedia.org/wiki/Frontline_(shipping_company)
FSL|2004|spin_off|no|https://en.wikipedia.org/wiki/Freescale_Semiconductor
GX|1999|genuinely_new|yes|https://en.wikipedia.org/wiki/Global_Crossing
HSP|2004|spin_off|no|https://en.wikipedia.org/wiki/Hospira
JNPR|2006|genuinely_new|yes|https://en.wikipedia.org/wiki/Juniper_Networks
LLL|2004|ipo_established|no|https://en.wikipedia.org/wiki/L3_Technologies
LXK|1999|spin_off|no|https://en.wikipedia.org/wiki/Lexmark
MEDI|2000|genuinely_new|yes|https://en.wikipedia.org/wiki/MedImmune
MERQ|2000|genuinely_new|yes|https://en.wikipedia.org/wiki/Mercury_Interactive
NAVI|2014|spin_off|no|https://en.wikipedia.org/wiki/Navient
NXTL|1998|genuinely_new|yes|https://en.wikipedia.org/wiki/Nextel_Communications
PALM|2000|spin_off|no|https://en.wikipedia.org/wiki/Palm,_Inc.
PBG|2001|spin_off|no|https://en.wikipedia.org/wiki/Pepsi_Bottling_Group
PCS|1998|spin_off|no|https://en.wikipedia.org/wiki/Sprint_Corporation
PSFT|1998|genuinely_new|yes|https://en.wikipedia.org/wiki/PeopleSoft
PXD|2008|merger|no|https://en.wikipedia.org/wiki/Pioneer_Natural_Resources
QEP|2010|spin_off|no|https://en.wikipedia.org/wiki/QEP_Resources
QLGC|2000|spin_off|no|https://en.wikipedia.org/wiki/QLogic
QRVO|2015|merger|no|https://en.wikipedia.org/wiki/Qorvo
SAPE|2000|genuinely_new|yes|https://en.wikipedia.org/wiki/Sapient
SEBL|2000|genuinely_new|yes|https://en.wikipedia.org/wiki/Siebel_Systems
SNI|2008|spin_off|no|https://en.wikipedia.org/wiki/Scripps_Networks_Interactive
SOLS|2025|spin_off|no|https://en.wikipedia.org/wiki/Honeywell
SPLS|1998|genuinely_new|yes|https://en.wikipedia.org/wiki/Staples_Inc.
TEG|2007|merger|no|https://en.wikipedia.org/wiki/Integrys_Energy_Group
TRIP|2011|spin_off|no|https://en.wikipedia.org/wiki/Tripadvisor
TWTR|2018|genuinely_new|yes|https://en.wikipedia.org/wiki/Twitter,_Inc.
UPC|1998|ipo_established|no|https://en.wikipedia.org/wiki/Union_Planters_Corporation
VNT|2020|spin_off|no|https://en.wikipedia.org/wiki/Vontier
VRTS|2000|genuinely_new|yes|https://en.wikipedia.org/wiki/Veritas_Software
VSTNQ|2000|spin_off|no|https://en.wikipedia.org/wiki/Visteon
WIN|2006|spin_off|no|https://en.wikipedia.org/wiki/Windstream_Holdings
WLTW|2016|merger|no|https://en.wikipedia.org/wiki/Willis_Towers_Watson
WPX|2012|spin_off|no|https://en.wikipedia.org/wiki/WPX_Energy
WRK|2015|merger|no|https://en.wikipedia.org/wiki/WestRock
WYND|2006|spin_off|no|https://en.wikipedia.org/wiki/Wyndham_Worldwide
XEC|2014|spin_off|no|https://en.wikipedia.org/wiki/Cimarex_Energy
