company_name|entry_year|adjudicated_class|is_genuinely_new|rationale|source_url
Abbey National|1989|demutualisation_ipo|no|First UK building society to demutualise and float (1989)|https://en.wikipedia.org/wiki/Abbey_National
SmithKline Beecham|1989|merger|no|1989 merger of SmithKline Beckman and Beecham Group|https://en.wikipedia.org/wiki/SmithKline_Beecham
Alliance & Leicester|1997|demutualisation_ipo|no|Demutualised building society floated 1997|https://en.wikipedia.org/wiki/Alliance_%26_Leicester
Energis|1999|genuinely_new|yes|Organically-built new telecoms carrier from early 1990s, IPO 1997|https://en.wikipedia.org/wiki/Energis
Anglo American|1999|reincorporation_redomicile|no|New London plc (1999) over existing Anglo group + move to London|https://en.wikipedia.org/wiki/Anglo_American_plc
Granada|2001|spin_off|no|Emerged from 2001 demerger of Granada Compass|https://en.wikipedia.org/wiki/Granada_plc
BT Group|2001|reincorporation_redomicile|no|New holdco (2001) over existing BT after mmO2 demerger|https://en.wikipedia.org/wiki/BT_Group
Xstrata|2002|ipo_established|no|2002 LSE IPO of long-existing business (roots 1926)|https://en.wikipedia.org/wiki/Xstrata
Vedanta Resources|2006|reincorporation_redomicile|no|UK holdco (IPO 2003) over pre-existing Indian Sterlite group|https://en.wikipedia.org/wiki/Vedanta_Resources
Phoenix Group Holdings|2019|established_organic_riser|no|Established life consolidator, rose on market-cap growth 2019|https://dailybusinessgroup.co.uk/2019/02/wood-demoted-phoenix-promoted-in-ftse-100-reshuffle/
Intermediate Capital Group|2023|established_organic_riser|no|Asset manager (founded 1989, listed 1994), organic rise 2023|https://www.cityam.com/intermediate-capital-to-join-londons-ftse-100-after-share-price-surged-a-third-this-year/
Agilent Technologies|2000|spin_off|no|Spun off from Hewlett-Packard (1999-2000)|https://en.wikipedia.org/wiki/Agilent_Technologies
AbbVie|2013|spin_off|no|Spun off from Abbott Laboratories 2013|https://en.wikipedia.org/wiki/AbbVie
Amcor|2019|merger|no|Amcor plc via all-stock Amcor+Bemis merger 2019|https://en.wikipedia.org/wiki/Amcor
Baker Hughes|2019|merger|no|GE Oil & Gas + Baker Hughes combination 2017|https://en.wikipedia.org/wiki/Baker_Hughes
Carrier Global|2020|spin_off|no|HVAC spin-off from United Technologies 2020|https://en.wikipedia.org/wiki/Carrier_Global
Corteva|2019|spin_off|no|Agriculture spin-off from DowDuPont 2019|https://en.wikipedia.org/wiki/Corteva
EOG Resources|2000|spin_off|no|Split off from Enron and renamed 1999|https://en.wikipedia.org/wiki/EOG_Resources
Fortive|2016|spin_off|no|Spun off from Danaher 2016|https://en.wikipedia.org/wiki/Fortive
GE Vernova|2024|spin_off|no|Energy business spun off from GE 2024|https://en.wikipedia.org/wiki/GE_Vernova
Hewlett Packard Enterprise|2015|spin_off|no|HP split into HPE and HP Inc 2015|https://en.wikipedia.org/wiki/Hewlett_Packard_Enterprise
Kraft Heinz|2015|merger|no|Merger of Kraft Foods and Heinz 2015|https://en.wikipedia.org/wiki/Kraft_Heinz
Kenvue|2023|spin_off|no|Consumer-health carve-out from J&J 2023|https://en.wikipedia.org/wiki/Kenvue
L3Harris|2019|merger|no|Merger of L3 Technologies and Harris 2019|https://en.wikipedia.org/wiki/L3Harris_Technologies
Monster Beverage|2012|reincorporation_rename|no|Hansen Natural renamed Monster Beverage 2012|https://en.wikipedia.org/wiki/Monster_Beverage
