index,coarse_class,n
FTSE100,corporate_action,31
FTSE100,established,60
FTSE100,founding_member,113
FTSE100,genuinely_new_provisional,11
FTSE100,genuinely_new_verified,7
FTSE100,historical_no_ch_number,69
FTSE100,re_entry,68
FTSE100,very_new_adjudicate,13
S&P500,corporate_action,89
S&P500,established,454
S&P500,founding_member,504
S&P500,genuinely_new_provisional,1
S&P500,genuinely_new_verified,30
S&P500,historical_no_ch_number,13
S&P500,re_entry,39
S&P500,unknown_age,36
S&P500,very_new_adjudicate,1
