index,id,company_name,entry_date,entry_year,incorp_year,age_at_entry,episodes,re_entry,has_former_names,holdco,inv_trust,wrapper_suspect,sector,ch_match_status,company_category,sic_1,former_names,provisional_class,adjudicated_class,adjudication_source_url,final_class,coarse_class
FTSE100,00012901,Foreign & Col Inv Trust,1995-12-18,1995,1879.0,116.0,3,True,True,False,True,False,Financials,ok,Public Limited Company,64999 - Financial intermediation not elsewhere classified,Foreign & Col Inv Trust; Foreign & Colonial Invest Trust; Foreign & Colonial Investment Trust,re_entry,,,re_entry,re_entry
FTSE100,00014504,Greenalls Group plc,1996-01-31,1996,1880.0,116.0,1,False,False,False,False,False,,ok,,,,established,,,established,established
FTSE100,00023307,Diageo,1997-12-17,1997,1886.0,111.0,1,False,False,True,False,False,Consumer Staples,ok,Public Limited Company,70100 - Activities of head offices,,established,,,established,established
FTSE100,00029846,Wolseley,1993-06-21,1993,1889.0,104.0,4,True,False,True,False,False,Industrials,ok,Private Limited Company,70100 - Activities of head offices,,re_entry,,,re_entry,re_entry
FTSE100,00030470,Cobham,2008-03-26,2008,1889.0,119.0,1,False,False,True,False,False,Industrials,ok,Private Limited Company,70100 - Activities of head offices,,established,,,established,established
FTSE100,00033774,Johnson Matthey,1984-01-03,1984,1891.0,93.0,3,True,False,False,False,False,Materials,ok,Public Limited Company,20590 - Manufacture of other chemical products n.e.c.,,founding_member,,,founding_member,founding_member
FTSE100,00040932,Halma,2017-12-18,2017,1894.0,123.0,1,False,False,True,False,False,Information Technology,ok,Public Limited Company,70100 - Activities of head offices,,established,,,established,established
FTSE100,00041424,Unilever,1984-01-03,1984,1894.0,90.0,1,False,False,True,False,False,Consumer Staples,ok,Public Limited Company,70100 - Activities of head offices,,founding_member,,,founding_member,founding_member
FTSE100,00041495,Pilkington,1984-01-03,1984,1894.0,90.0,2,True,True,False,False,False,Industrials,ok,Private Limited Company,23110 - Manufacture of flat glass,Pilkington,founding_member,,,founding_member,founding_member
FTSE100,00044687,Fisons,1984-01-03,1984,1895.0,89.0,2,True,False,False,False,False,Health Care,ok,Private Limited Company,82990 - Other business support service activities n.e.c.,,founding_member,,,founding_member,founding_member
FTSE100,00048839,Barclays,1984-01-03,1984,1896.0,88.0,1,False,False,False,False,False,Financials,ok,Public Limited Company,64191 - Banks,,founding_member,,,founding_member,founding_member
FTSE100,00049855,BET,1984-01-03,1984,1896.0,88.0,1,False,False,False,False,False,,ok,,,,founding_member,,,founding_member,founding_member
FTSE100,00051491,Rowntree,1984-01-03,1984,1897.0,87.0,1,False,False,False,False,False,,ok,,,,founding_member,,,founding_member,founding_member
FTSE100,00053723,Pearson,1984-01-03,1984,1897.0,87.0,1,False,False,False,False,False,Communication Services,ok,Public Limited Company,58190 - Other publishing activities,,founding_member,,,founding_member,founding_member
FTSE100,00054485,Shell Transport & Trading Co,1984-01-03,1984,1897.0,87.0,1,False,False,True,False,False,Energy,ok,Private Limited Company,70100 - Activities of head offices,,founding_member,,,founding_member,founding_member
FTSE100,00057379,Securicor,1998-09-21,1998,1898.0,100.0,1,False,False,True,False,False,Industrials,ok,Private Limited Company,64209 - Activities of other holding companies n.e.c.,,established,,,established,established
FTSE100,00057410,BTR,1984-01-03,1984,1898.0,86.0,1,False,False,False,False,False,,ok,,,,founding_member,,,founding_member,founding_member
FTSE100,00066558,Blue Circle Industries,1984-01-03,1984,1900.0,84.0,3,True,False,False,False,False,,ok,,,,founding_member,,,founding_member,founding_member
FTSE100,00068237,Hawker Siddeley,1984-01-03,1984,1900.0,84.0,1,False,False,False,False,False,Industrials,ok,Private Limited Company,7499 - Non-trading company,,founding_member,,,founding_member,founding_member
FTSE100,00073800,Imperial Tobacco Group,1996-09-30,1996,1902.0,94.0,2,True,False,False,False,False,Consumer Staples,ok,Private Limited Company,74990 - Non-trading company,,re_entry,,,re_entry,re_entry
FTSE100,00073975,Ocean Group (now Exel),2000-06-19,2000,1902.0,98.0,2,True,True,True,False,False,Industrials,ok,Private Limited Company,70100 - Activities of head offices,Ocean Group (now Exel),re_entry,,,re_entry,re_entry
FTSE100,00077536,RELX,1984-01-03,1984,1903.0,81.0,1,False,True,False,False,False,Industrials,ok,Public Limited Company,58110 - Book publishing,Reed Elsevier Plc,founding_member,,,founding_member,founding_member
FTSE100,00083718,Ferranti International,1984-01-03,1984,1905.0,79.0,1,False,False,False,False,False,,ok,,,,founding_member,,,founding_member,founding_member
FTSE100,00100097,Royal & Sun Alliance Insurance,1984-01-03,1984,1908.0,76.0,1,False,False,False,False,False,,ok,Private Limited Company,65120 - Non-life insurance,,founding_member,,,founding_member,founding_member
FTSE100,00102498,BP,1984-01-03,1984,1909.0,75.0,1,False,True,True,False,False,Energy,ok,Public Limited Company,70100 - Activities of head offices,British Petroleum,founding_member,,,founding_member,founding_member
FTSE100,00103002,Lonmin,2006-06-19,2006,1909.0,97.0,2,True,False,False,False,False,,ok,,,,re_entry,,,re_entry,re_entry
FTSE100,00120271,Sears plc,1984-01-03,1984,1912.0,72.0,1,False,False,True,False,False,Consumer Discretionary,ok,Private Limited Company,64209 - Activities of other holding companies n.e.c.,,founding_member,,,founding_member,founding_member
FTSE100,00137013,Smiths Group,2000-12-18,2000,1914.0,86.0,2,True,False,True,False,False,Industrials,ok,Public Limited Company,70100 - Activities of head offices,,re_entry,,,re_entry,re_entry
FTSE100,00137294,Redland,1984-01-03,1984,1914.0,70.0,1,False,False,False,False,False,Materials,ok,Private Limited Company,"08110 - Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate",,founding_member,,,founding_member,founding_member
FTSE100,00146575,GUS,1984-01-03,1984,1917.0,67.0,1,False,False,False,False,False,,ok,,,,founding_member,,,founding_member,founding_member
