symbol,cik,company_name,founded_year,founded_month,founded_source_url,legal_entity_founded_year,confidence
A,1090872.0,Agilent Technologies,1999.0,,https://www.agilent.com/about/companyinfo/history/index.html,,verified
AABA,1011006.0,,1994.0,January,https://en.wikipedia.org/wiki/History_of_Yahoo,,verified
AAL,6201.0,American Airlines Group Inc.,1926.0,,https://en.wikipedia.org/wiki/American_Airlines,1982.0,business_kept_holdco_separated
AAMRQ,6201.0,AMR Corporation,1926.0,,https://en.wikipedia.org/wiki/AMR_Corporation,1982.0,business_kept_holdco_separated
AAP,1158449.0,ADVANCE AUTO PARTS INC,1932.0,,https://www.sec.gov/Archives/edgar/vprr/0203/02031447.pdf,,verified
AAPL,320193.0,Apple Inc.,1976.0,April,https://en.wikipedia.org/wiki/Apple_Inc.,,corrected_earlier
ABBV,1551152.0,AbbVie,2013.0,,https://www.abbvie.com/content/dam/abbvie-dotcom/uploads/PDFs/AbbVie_Corporate_Presentation.pdf,,verified
ABC,1140859.0,,1888.0,,https://www.fundinguniverse.com/company-histories/bergen-brunswig-corporation-history/,1969.0,business_kept_holdco_separated
ABI,77551.0,Applied Biosystems (Perkin-Elmer),1937.0,,https://en.wikipedia.org/wiki/PerkinElmer,,verified
ABKFQ,874501.0,,1971.0,,https://en.wikipedia.org/wiki/Ambac,,verified
ABMD,815094.0,,1981.0,,https://en.wikipedia.org/wiki/Abiomed,,verified
ABNB,1559720.0,Airbnb,2008.0,,https://en.wikipedia.org/wiki/Airbnb,,verified
ABS,3333.0,Albertsons Inc.,1939.0,July,https://en.wikipedia.org/wiki/Albertsons,,verified
ABT,1800.0,Abbott Laboratories,1888.0,,https://en.wikipedia.org/wiki/Abbott_Laboratories,,verified
ABX,1814287.0,"Abacus Global Management, Inc.",2004.0,,https://stockanalysis.com/stocks/abx/company/,2020.0,business_kept_holdco_separated
ACAS,817473.0,,1986.0,,https://en.wikipedia.org/wiki/American_Capital,,verified
ACGL,947484.0,Arch Capital Group,1995.0,,,2000.0,business_kept_holdco_separated
ACKH,7431.0,Armstrong World Industries,1860.0,,https://www.armstrong.com/en-us/about-us/our-history.html,,verified
