index,id,cik,company_name,entry_date,entry_year,founded_year,age_at_entry,episodes,re_entry,spac_shell,sic,sector,sector_basis,sub_industry,provisional_class,adjudicated_class,adjudication_source_url,final_class,coarse_class
S&P500,ABT,0000001800,Abbott Laboratories,1996-01-02,1996,1888.0,108.0,1,False,False,2834.0,Health Care,index_list_gics,Health Care Equipment,founding_member,,,founding_member,founding_member
S&P500,ACS,0000002135,AFFILIATED COMPUTER SERVICES INC,2004-04-02,2004,1988.0,16.0,1,False,False,7374.0,Information Technology,sic4,,established,,,established,established
S&P500,AMD,0000002488,Advanced Micro Devices,1996-01-02,1996,1969.0,27.0,2,True,False,3674.0,Information Technology,index_list_gics,Semiconductors,founding_member,,,founding_member,founding_member
S&P500,APD,0000002969,Air Products,1996-01-02,1996,1940.0,56.0,1,False,False,2810.0,Materials,index_list_gics,Industrial Gases,founding_member,,,founding_member,founding_member
S&P500,ABS,0000003333,ALBERTSONS INC /DE/,1996-01-02,1996,1939.0,57.0,1,False,False,5411.0,Consumer Staples,sic4,,founding_member,,,founding_member,founding_member
S&P500,IKN,0000003370,IKON OFFICE SOLUTIONS INC,1996-01-02,1996,1952.0,44.0,1,False,False,5045.0,Industrials,sic2,,founding_member,,,founding_member,founding_member
S&P500,AYE,0000003673,"ALLEGHENY ENERGY, INC",2000-12-11,2000,1907.0,93.0,1,False,False,4911.0,Utilities,sic2,,established,,,established,established
S&P500,SWKS,0000004127,Skyworks Solutions,2015-03-12,2015,1962.0,53.0,1,False,False,3674.0,Information Technology,index_list_gics,Semiconductors,established,,,established,established
S&P500,ARNC,0000004281,Howmet Aerospace,1996-01-02,1996,1888.0,108.0,2,True,False,3350.0,Industrials,index_list_gics,Aerospace & Defense,founding_member,,,founding_member,founding_member
S&P500,AL,0000004285,ALCAN INC,1996-01-02,1996,1902.0,94.0,1,False,False,3330.0,Materials,sic2,,founding_member,,,founding_member,founding_member
S&P500,AZA.A,0000004310,ALZA CORP,1996-01-02,1996,1968.0,28.0,1,False,False,2834.0,Health Care,sic4,,founding_member,,,founding_member,founding_member
S&P500,HES,0000004447,HESS CORP,1996-01-02,1996,1933.0,63.0,1,False,False,2911.0,Energy,sic3,,founding_member,,,founding_member,founding_member
S&P500,AEP,0000004904,American Electric Power,1996-01-02,1996,1906.0,90.0,1,False,False,4911.0,Utilities,index_list_gics,Electric Utilities,founding_member,,,founding_member,founding_member
S&P500,AXP,0000004962,American Express,1996-01-02,1996,1850.0,146.0,1,False,False,6199.0,Financials,index_list_gics,Consumer Finance,founding_member,,,founding_member,founding_member
S&P500,AFL,0000004977,Aflac,1999-05-28,1999,1955.0,44.0,1,False,False,6321.0,Financials,index_list_gics,Life & Health Insurance,established,,,established,established
S&P500,WYE,0000005187,WYETH,1996-01-02,1996,1860.0,136.0,1,False,False,2834.0,Health Care,sic4,,founding_member,,,founding_member,founding_member
S&P500,AIG,0000005272,American International Group,1996-01-02,1996,1919.0,77.0,1,False,False,6331.0,Financials,index_list_gics,Multi-line Insurance,founding_member,,,founding_member,founding_member
S&P500,UNM,0000005513,Unum Group,1996-01-02,1996,1848.0,148.0,1,False,False,6321.0,Financials,sic2,,founding_member,,,founding_member,founding_member
S&P500,AAL,0000006201,American Airlines Group Inc.,1996-01-02,1996,1926.0,70.0,3,True,False,4512.0,Industrials,sic2,,founding_member,,,founding_member,founding_member
S&P500,ADI,0000006281,Analog Devices,1999-10-12,1999,1965.0,34.0,1,False,False,3674.0,Information Technology,index_list_gics,Semiconductors,established,,,established,established
S&P500,AMAT,0000006951,Applied Materials,1996-01-02,1996,1967.0,29.0,1,False,False,3674.0,Information Technology,index_list_gics,Semiconductor Materials & Equipment,founding_member,,,founding_member,founding_member
S&P500,ADM,0000007084,Archer Daniels Midland,1996-01-02,1996,1902.0,94.0,1,False,False,2070.0,Consumer Staples,index_list_gics,Agricultural Products & Services,founding_member,,,founding_member,founding_member
S&P500,SWN,0000007332,SOUTHWESTERN ENERGY CO,2008-06-06,2008,1929.0,79.0,1,False,False,1311.0,Energy,sic3,,established,,,established,established
S&P500,ACKH,0000007431,ARMSTRONG WORLD INDUSTRIES INC,1996-01-02,1996,1860.0,136.0,1,False,False,3089.0,Materials,sic2,,founding_member,,,founding_member,founding_member
S&P500,ADP,0000008670,Automatic Data Processing,1996-01-02,1996,1949.0,47.0,1,False,False,7374.0,Industrials,index_list_gics,Human Resource & Employment Services,founding_member,,,founding_member,founding_member
S&P500,AVY,0000008818,Avery Dennison,1996-01-02,1996,1935.0,61.0,1,False,False,2670.0,Materials,index_list_gics,Paper & Plastic Packaging Products & Materials,founding_member,,,founding_member,founding_member
S&P500,AVP,0000008868,AVON PRODUCTS INC,1996-01-02,1996,1886.0,110.0,1,False,False,2844.0,Consumer Staples,sic4,,founding_member,,,founding_member,founding_member
S&P500,BLL,0000009389,Ball Corporation,1996-01-02,1996,1880.0,116.0,2,True,False,3411.0,Materials,index_list_gics,"Metal, Glass & Plastic Containers",founding_member,,,founding_member,founding_member
S&P500,BK,0000009626,BANK OF NEW YORK CO INC,1996-01-02,1996,1784.0,212.0,1,False,False,6022.0,Financials,sic2,,founding_member,,,founding_member,founding_member
S&P500,BCR,0000009892,BARD C R INC /NJ/,1996-01-02,1996,1907.0,89.0,1,False,False,3841.0,Health Care,sic4,,founding_member,,,founding_member,founding_member
S&P500,BRL,0000010081,BARR PHARMACEUTICALS INC,2006-02-27,2006,1970.0,36.0,1,False,False,2834.0,Health Care,sic4,,established,,,established,established
S&P500,BOL,0000010427,BAUSCH & LOMB INC,1996-01-02,1996,1853.0,143.0,1,False,False,3851.0,Health Care,sic4,,founding_member,,,founding_member,founding_member
S&P500,BAX,0000010456,Baxter International,1996-01-02,1996,1931.0,65.0,1,False,False,3841.0,Health Care,index_list_gics,Health Care Equipment,founding_member,,,founding_member,founding_member
S&P500,BDX,0000010795,Becton Dickinson,1996-01-02,1996,1897.0,99.0,1,False,False,3841.0,Health Care,index_list_gics,Health Care Equipment,founding_member,,,founding_member,founding_member
S&P500,BMS,0000011199,"Amcor Flexibles North America, Inc.",1996-01-02,1996,1858.0,138.0,1,False,False,2670.0,Materials,sic2,,founding_member,,,founding_member,founding_member
S&P500,WRB,0000011544,W. R. Berkley Corporation,2019-12-05,2019,1967.0,52.0,1,False,False,6331.0,Financials,index_list_gics,Property & Casualty Insurance,established,,,established,established
S&P500,BIO,0000012208,"BIO-RAD LABORATORIES, INC.",2020-06-22,2020,1952.0,68.0,1,False,False,3826.0,Health Care,sic4,,established,,,established,established
S&P500,BDK,0000012355,BLACK & DECKER CORP,1996-01-02,1996,1910.0,86.0,1,False,False,3540.0,Industrials,sic2,,founding_member,,,founding_member,founding_member
S&P500,HRB,0000012659,H&R BLOCK INC,1996-01-02,1996,1955.0,41.0,1,False,False,7200.0,Consumer Discretionary,sic2,,founding_member,,,founding_member,founding_member
S&P500,BA,0000012927,Boeing,1996-01-02,1996,1916.0,80.0,1,False,False,3721.0,Industrials,index_list_gics,Aerospace & Defense,founding_member,,,founding_member,founding_member
S&P500,OMX,0000012978,MAPLEBY HOLDINGS MERGER Corp,1996-01-02,1996,1988.0,8.0,1,False,False,5110.0,Industrials,sic2,,founding_member,,,founding_member,founding_member
S&P500,BGG,0000014195,BRIGGS & STRATTON CORP,1996-01-02,1996,1908.0,88.0,1,False,False,3510.0,Industrials,sic2,,founding_member,,,founding_member,founding_member
S&P500,BMY,0000014272,Bristol Myers Squibb,1996-01-02,1996,1887.0,109.0,1,False,False,2834.0,Health Care,index_list_gics,Pharmaceuticals,founding_member,,,founding_member,founding_member
S&P500,BF.B,0000014693,Brown–Forman,1996-01-02,1996,1870.0,126.0,1,False,False,2080.0,Consumer Staples,index_list_gics,Distillers & Vintners,founding_member,,,founding_member,founding_member
S&P500,CAL,0000014707,CALERES INC,1996-01-02,1996,1878.0,118.0,1,False,False,3140.0,Consumer Discretionary,sic2,,founding_member,,,founding_member,founding_member
S&P500,BC,0000014930,BRUNSWICK CORP,1996-01-02,1996,1845.0,151.0,1,False,False,3510.0,Industrials,sic2,,founding_member,,,founding_member,founding_member
S&P500,CPB,0000016732,Campbell's Company (The),1996-01-02,1996,1869.0,127.0,1,False,False,2000.0,Consumer Staples,index_list_gics,Packaged Foods & Meats,founding_member,,,founding_member,founding_member
S&P500,STZ,0000016918,Constellation Brands,2005-07-05,2005,1945.0,60.0,1,False,False,2080.0,Consumer Staples,index_list_gics,Distillers & Vintners,established,,,established,established
S&P500,CAT,0000018230,Caterpillar Inc.,1996-01-02,1996,1925.0,71.0,1,False,False,3531.0,Industrials,index_list_gics,Construction Machinery & Heavy Transportation Equipment,founding_member,,,founding_member,founding_member
S&P500,SNV,0000018349,SYNOVUS FINANCIAL CORP,1997-12-01,1997,1888.0,109.0,1,False,False,6021.0,Financials,sic2,,established,,,established,established
S&P500,CTX,0000018532,CENTEX LLC,1996-01-02,1996,1950.0,46.0,1,False,False,1531.0,Consumer Discretionary,sic4,,founding_member,,,founding_member,founding_member
S&P500,CBSS,0000018568,COMPASS BANCSHARES INC,2004-12-20,2004,1964.0,40.0,1,False,False,6021.0,Financials,sic2,,established,,,established,established
S&P500,CTL,0000018926,"Lumen Technologies, Inc.",1999-03-25,1999,1930.0,69.0,2,True,False,4813.0,Communication Services,sic3,,re_entry,,,re_entry,re_entry
S&P500,JPM,0000019617,JPMorgan Chase,1996-01-02,1996,1799.0,197.0,1,False,False,6021.0,Financials,index_list_gics,Diversified Banks,founding_member,,,founding_member,founding_member
S&P500,CINF,0000020286,Cincinnati Financial,1997-12-18,1997,1950.0,47.0,1,False,False,6331.0,Financials,index_list_gics,Property & Casualty Insurance,established,,,established,established
S&P500,CIT.A,0000020388,CIT GROUP INC,2000-07-17,2000,1908.0,92.0,1,False,False,6172.0,Financials,sic2,,established,,,established,established
S&P500,FTR,0000020520,"Frontier Communications Parent, Inc.",2001-02-27,2001,1935.0,66.0,1,False,False,4813.0,Communication Services,sic3,,established,,,established,established
S&P500,CLX,0000021076,Clorox,1996-01-02,1996,1913.0,83.0,1,False,False,2842.0,Consumer Staples,index_list_gics,Household Products,founding_member,,,founding_member,founding_member
S&P500,CGP,0000021267,EL PASO CGP CO LLC,1996-01-02,1996,1955.0,41.0,1,False,False,4922.0,Energy,sic4,,founding_member,,,founding_member,founding_member
S&P500,KO,0000021344,Coca-Cola Company (The),1996-01-02,1996,1886.0,110.0,1,False,False,2080.0,Consumer Staples,index_list_gics,Soft Drinks & Non-alcoholic Beverages,founding_member,,,founding_member,founding_member
S&P500,CL,0000021665,Colgate-Palmolive,1996-01-02,1996,1806.0,190.0,1,False,False,2844.0,Consumer Staples,index_list_gics,Household Products,founding_member,,,founding_member,founding_member
S&P500,CAG,0000023217,Conagra Brands,1996-01-02,1996,1919.0,77.0,1,False,False,2000.0,Consumer Staples,index_list_gics,Packaged Foods & Meats,founding_member,,,founding_member,founding_member
S&P500,HSH,0000023666,Hillshire Brands Co,1996-01-02,1996,1939.0,57.0,1,False,False,2000.0,Consumer Staples,sic2,,founding_member,,,founding_member,founding_member
S&P500,CNG,0000023738,CONSOLIDATED NATURAL GAS CO/VA,1996-01-02,1996,1942.0,54.0,1,False,False,4923.0,Energy,sic3,,founding_member,,,founding_member,founding_member
S&P500,CTB,0000024491,COOPER TIRE & RUBBER CO,1996-01-02,1996,1914.0,82.0,1,False,False,3011.0,Materials,sic2,,founding_member,,,founding_member,founding_member
S&P500,TAP,0000024545,Molson Coors Beverage Company,1996-01-02,1996,1786.0,210.0,1,False,False,2082.0,Consumer Staples,index_list_gics,Brewers,founding_member,,,founding_member,founding_member
S&P500,GLW,0000024741,Corning Inc.,1996-01-02,1996,1851.0,145.0,1,False,False,3357.0,Information Technology,index_list_gics,Electronic Components,founding_member,,,founding_member,founding_member
S&P500,CFC,0000025191,COUNTRYWIDE FINANCIAL CORP,1997-06-18,1997,1969.0,28.0,1,False,False,6035.0,Financials,sic2,,established,,,established,established
S&P500,CMI,0000026172,Cummins,1996-01-02,1996,1919.0,77.0,1,False,False,3510.0,Industrials,index_list_gics,Construction Machinery & Heavy Transportation Equipment,founding_member,,,founding_member,founding_member
S&P500,DCNAQ,0000026780,DANA Inc,1996-01-02,1996,1904.0,92.0,1,False,False,3714.0,Consumer Discretionary,sic4,,founding_member,,,founding_member,founding_member
S&P500,TGT,0000027419,Target Corporation,1996-01-02,1996,1902.0,94.0,1,False,False,5331.0,Consumer Staples,index_list_gics,Consumer Staples Merchandise Retail,founding_member,,,founding_member,founding_member
S&P500,DALRQ,0000027904,Delta Air Lines,1996-01-02,1996,1925.0,71.0,2,True,False,4512.0,Industrials,index_list_gics,Passenger Airlines,founding_member,,,founding_member,founding_member
S&P500,DLX,0000027996,DELUXE CORP,1996-01-02,1996,1915.0,81.0,1,False,False,2780.0,Communication Services,sic2,,founding_member,,,founding_member,founding_member
S&P500,CMA,0000028412,COMERICA INC,1996-01-02,1996,1849.0,147.0,1,False,False,6021.0,Financials,sic2,,founding_member,,,founding_member,founding_member
S&P500,DDS,0000028917,"DILLARD'S, INC.",1996-01-02,1996,1938.0,58.0,1,False,False,5311.0,Consumer Discretionary,sic2,,founding_member,,,founding_member,founding_member
S&P500,DG,0000029534,Dollar General,1998-07-16,1998,1939.0,59.0,2,True,False,5331.0,Consumer Staples,index_list_gics,Consumer Staples Merchandise Retail,re_entry,,,re_entry,re_entry
S&P500,RRD,0000029669,RR Donnelley & Sons Co,1996-01-02,1996,1864.0,132.0,1,False,False,2750.0,Communication Services,sic2,,founding_member,,,founding_member,founding_member
S&P500,DOV,0000029905,Dover Corporation,1996-01-02,1996,1955.0,41.0,1,False,False,3530.0,Industrials,index_list_gics,Industrial Machinery & Supplies & Components,founding_member,,,founding_member,founding_member
S&P500,DJ,0000029924,DOW JONES & CO INC,1996-01-02,1996,1882.0,114.0,1,False,False,2711.0,Communication Services,sic2,,founding_member,,,founding_member,founding_member
S&P500,OMC,0000029989,Omnicom Group,1997-12-24,1997,1986.0,11.0,1,False,False,7311.0,Communication Services,index_list_gics,Advertising,genuinely_new_provisional,merger,https://en.wikipedia.org/wiki/Omnicom_Group,merger,corporate_action
S&P500,FLS,0000030625,FLOWSERVE CORP,2008-10-02,2008,1790.0,218.0,1,False,False,3561.0,Industrials,sic2,,established,,,established,established
S&P500,WEN,0000030697,Wendy's Co,1996-01-02,1996,1969.0,27.0,1,False,False,5810.0,Consumer Discretionary,sic2,,founding_member,,,founding_member,founding_member
S&P500,EKDKQ,0000031235,EASTMAN KODAK CO,1996-01-02,1996,1881.0,115.0,1,False,False,3861.0,Health Care,sic2,,founding_member,,,founding_member,founding_member
S&P500,ECL,0000031462,Ecolab,1996-01-02,1996,1923.0,73.0,1,False,False,2840.0,Materials,index_list_gics,Specialty Chemicals,founding_member,,,founding_member,founding_member
S&P500,PKI,0000031791,Revvity,1996-01-02,1996,1937.0,59.0,2,True,False,3826.0,Health Care,index_list_gics,Health Care Equipment,founding_member,,,founding_member,founding_member
S&P500,EMR,0000032604,Emerson Electric,1996-01-02,1996,1890.0,106.0,1,False,False,3600.0,Industrials,index_list_gics,Electrical Components & Equipment,founding_member,,,founding_member,founding_member
S&P500,EFX,0000033185,Equifax,1997-06-19,1997,1899.0,98.0,1,False,False,7320.0,Industrials,index_list_gics,Research & Consulting Services,established,,,established,established
S&P500,EQT,0000033213,EQT Corporation,2008-12-19,2008,1888.0,120.0,2,True,False,1311.0,Energy,index_list_gics,Oil & Gas Exploration & Production,re_entry,,,re_entry,re_entry
S&P500,XOM,0000034088,ExxonMobil,1996-01-02,1996,1882.0,114.0,1,False,False,2911.0,Energy,index_list_gics,Integrated Oil & Gas,founding_member,,,founding_member,founding_member
S&P500,FDO,0000034408,FAMILY DOLLAR STORES INC,2001-08-06,2001,1959.0,42.0,1,False,False,5331.0,Consumer Staples,sic4,,established,,,established,established
S&P500,FRT,0000034903,Federal Realty Investment Trust,2016-02-01,2016,1962.0,54.0,1,False,False,6798.0,Real Estate,index_list_gics,Retail REITs,established,,,established,established
S&P500,FITB,0000035527,Fifth Third Bancorp,1996-03-08,1996,1858.0,138.0,1,False,False,6022.0,Financials,index_list_gics,Regional Banks,founding_member,,,founding_member,founding_member
S&P500,USB,0000036104,U.S. Bancorp,1996-01-02,1996,1863.0,133.0,1,False,False,6021.0,Financials,index_list_gics,Diversified Banks,founding_member,,,founding_member,founding_member
S&P500,MTB,0000036270,M&T Bank,2004-02-27,2004,1856.0,148.0,1,False,False,6022.0,Financials,index_list_gics,Regional Banks,established,,,established,established
S&P500,FHN,0000036966,FIRST HORIZON CORP,2002-05-06,2002,1864.0,138.0,1,False,False,6021.0,Financials,sic2,,established,,,established,established
S&P500,MEE,0000037748,"Alpha Appalachia Holdings, Inc.",1996-01-02,1996,1920.0,76.0,2,True,False,1221.0,Energy,sic2,,founding_member,,,founding_member,founding_member
S&P500,FMC,0000037785,FMC CORP,1996-01-02,1996,1883.0,113.0,2,True,False,2800.0,Materials,sic2,,founding_member,,,founding_member,founding_member
S&P500,F,0000037996,Ford Motor Company,1996-01-02,1996,1903.0,93.0,1,False,False,3711.0,Consumer Discretionary,index_list_gics,Automobile Manufacturers,founding_member,,,founding_member,founding_member
S&P500,FRX,0000038074,"Forest Laboratories, LLC",2000-11-22,2000,1956.0,44.0,1,False,False,2834.0,Health Care,sic4,,established,,,established,established
S&P500,FWLT,0000038321,FOSTER WHEELER CORP,1996-01-02,1996,1927.0,69.0,1,False,False,1600.0,Industrials,sic2,,founding_member,,,founding_member,founding_member
S&P500,BEN,0000038777,Franklin Resources,1998-04-29,1998,1947.0,51.0,1,False,False,6282.0,Financials,index_list_gics,Asset Management & Custody Banks,established,,,established,established
S&P500,TGNA,0000039899,TEGNA INC,1996-01-02,1996,1906.0,90.0,1,False,False,4833.0,Communication Services,sic3,,founding_member,,,founding_member,founding_member
S&P500,GPS,0000039911,GAP INC,1996-01-02,1996,1969.0,27.0,1,False,False,5651.0,Consumer Discretionary,sic2,,founding_member,,,founding_member,founding_member
S&P500,GD,0000040533,General Dynamics,1996-01-02,1996,1899.0,97.0,1,False,False,3730.0,Industrials,index_list_gics,Aerospace & Defense,founding_member,,,founding_member,founding_member
S&P500,GE,0000040545,GE Aerospace,1996-01-02,1996,1892.0,104.0,1,False,False,3600.0,Industrials,index_list_gics,Aerospace & Defense,founding_member,,,founding_member,founding_member
S&P500,GIS,0000040704,General Mills,1996-01-02,1996,1856.0,140.0,1,False,False,2040.0,Consumer Staples,index_list_gics,Packaged Foods & Meats,founding_member,,,founding_member,founding_member
S&P500,MTLQQ,0000040730,Motors Liquidation Co,1996-01-02,1996,1908.0,88.0,1,False,False,3711.0,Consumer Discretionary,sic4,,founding_member,,,founding_member,founding_member
S&P500,GPU,0000040779,GPU INC /PA/,1996-01-02,1996,1946.0,50.0,1,False,False,4911.0,Utilities,sic2,,founding_member,,,founding_member,founding_member
S&P500,GPC,0000040987,Genuine Parts Company,1996-01-02,1996,1925.0,71.0,1,False,False,5013.0,Consumer Discretionary,index_list_gics,Distributors,founding_member,,,founding_member,founding_member
S&P500,GDW,0000042293,GOLDEN WEST FINANCIAL CORP /DE/,1996-01-02,1996,1963.0,33.0,1,False,False,6035.0,Financials,sic2,,founding_member,,,founding_member,founding_member
S&P500,GR,0000042542,GOODRICH CORP,1996-01-02,1996,1870.0,126.0,1,False,False,3760.0,Industrials,sic2,,founding_member,,,founding_member,founding_member
S&P500,GT,0000042582,GOODYEAR TIRE & RUBBER CO /OH/,1996-01-02,1996,1898.0,98.0,1,False,False,3011.0,Materials,sic2,,founding_member,,,founding_member,founding_member
S&P500,GAPTQ,0000043300,GREAT ATLANTIC & PACIFIC TEA CO INC,1996-01-02,1996,1859.0,137.0,1,False,False,5411.0,Consumer Staples,sic4,,founding_member,,,founding_member,founding_member
S&P500,GLK,0000043362,GREAT LAKES CHEMICAL CORP,1996-01-02,1996,1936.0,60.0,1,False,False,2890.0,Materials,sic2,,founding_member,,,founding_member,founding_member
S&P500,HAL,0000045012,Halliburton,1996-01-02,1996,1919.0,77.0,1,False,False,1389.0,Energy,index_list_gics,Oil & Gas Equipment & Services,founding_member,,,founding_member,founding_member
S&P500,HAS,0000046080,Hasbro,1996-01-02,1996,1923.0,73.0,1,False,False,3944.0,Consumer Discretionary,index_list_gics,Leisure Products,founding_member,,,founding_member,founding_member
S&P500,HNZ,0000046640,Kraft Heinz Foods Co,1996-01-02,1996,1869.0,127.0,1,False,False,2030.0,Consumer Staples,sic2,,founding_member,,,founding_member,founding_member
S&P500,HP,0000046765,"Helmerich & Payne, Inc.",1996-01-02,1996,1920.0,76.0,2,True,False,1381.0,Energy,sic3,,founding_member,,,founding_member,founding_member
S&P500,HPC,0000046989,HERCULES INC,1996-01-02,1996,1912.0,84.0,1,False,False,2890.0,Materials,sic2,,founding_member,,,founding_member,founding_member
S&P500,HSY,0000047111,Hershey Company (The),1996-01-02,1996,1894.0,102.0,1,False,False,2060.0,Consumer Staples,index_list_gics,Packaged Foods & Meats,founding_member,,,founding_member,founding_member
S&P500,HPQ,0000047217,HP Inc.,1996-01-02,1996,1939.0,57.0,1,False,False,3570.0,Information Technology,index_list_gics,"Technology Hardware, Storage & Peripherals",founding_member,,,founding_member,founding_member
S&P500,HFC,0000048039,HollyFrontier Corp,2018-06-18,2018,1947.0,71.0,1,False,False,2911.0,Energy,sic3,,established,,,established,established
S&P500,HRL,0000048465,Hormel Foods,2009-03-04,2009,1891.0,118.0,1,False,False,2011.0,Consumer Staples,index_list_gics,Packaged Foods & Meats,established,,,established,established
S&P500,HUBB,0000048898,Hubbell Incorporated,2023-10-18,2023,1888.0,135.0,1,False,False,3670.0,Industrials,index_list_gics,Industrial Machinery & Supplies & Components,established,,,established,established
S&P500,HUM,0000049071,Humana,1996-01-02,1996,1961.0,35.0,1,False,False,6324.0,Health Care,index_list_gics,Managed Health Care,founding_member,,,founding_member,founding_member
S&P500,HBAN,0000049196,Huntington Bancshares,1997-08-06,1997,1866.0,131.0,1,False,False,6021.0,Financials,index_list_gics,Regional Banks,established,,,established,established
S&P500,ITW,0000049826,Illinois Tool Works,1996-01-02,1996,1912.0,84.0,1,False,False,3560.0,Industrials,index_list_gics,Industrial Machinery & Supplies & Components,founding_member,,,founding_member,founding_member
S&P500,INCLF,0000049996,INCO LTD,1996-01-02,1996,1902.0,94.0,1,False,False,3330.0,Materials,sic2,,founding_member,,,founding_member,founding_member
S&P500,ANDV,0000050104,ANDEAVOR LLC,2007-09-27,2007,1968.0,39.0,1,False,False,2911.0,Energy,sic3,,established,,,established,established
S&P500,FBF,0000050341,FLEETBOSTON FINANCIAL CORP,1996-01-02,1996,,,1,False,False,6021.0,Financials,sic2,,founding_member,,,founding_member,founding_member
S&P500,INTC,0000050863,Intel,1996-01-02,1996,1968.0,28.0,1,False,False,3674.0,Information Technology,index_list_gics,Semiconductors,founding_member,,,founding_member,founding_member
S&P500,IBM,0000051143,IBM,1996-01-02,1996,1911.0,85.0,1,False,False,3570.0,Information Technology,index_list_gics,IT Consulting & Other Services,founding_member,,,founding_member,founding_member
S&P500,IFF,0000051253,International Flavors & Fragrances,1996-01-02,1996,1889.0,107.0,1,False,False,2860.0,Materials,index_list_gics,Specialty Chemicals,founding_member,,,founding_member,founding_member
S&P500,NAV,0000051303,NAVISTAR FINANCIAL CORP,1996-01-02,1996,1902.0,94.0,1,False,False,6159.0,Financials,sic2,,founding_member,,,founding_member,founding_member
S&P500,MKG,0000051396,MALLINCKRODT INC /MO,1996-01-02,1996,1867.0,129.0,1,False,False,2835.0,Health Care,sic4,,founding_member,,,founding_member,founding_member
S&P500,IP,0000051434,International Paper,1996-01-02,1996,1898.0,98.0,1,False,False,2621.0,Materials,index_list_gics,Paper & Plastic Packaging Products & Materials,founding_member,,,founding_member,founding_member
S&P500,IPG,0000051644,"INTERPUBLIC GROUP OF COMPANIES, INC.",1996-01-02,1996,1902.0,94.0,1,False,False,7311.0,Communication Services,sic4,,founding_member,,,founding_member,founding_member
S&P500,JEC,0000052988,Jacobs Solutions,2007-10-26,2007,1947.0,60.0,2,True,False,1600.0,Industrials,index_list_gics,Construction & Engineering,re_entry,,,re_entry,re_entry
S&P500,JP,0000053347,JEFFERSON PILOT CORP,1996-01-02,1996,1907.0,89.0,1,False,False,6311.0,Financials,sic2,,founding_member,,,founding_member,founding_member
S&P500,JOS,0000054050,JOSTENS INC,1996-01-02,1996,1905.0,91.0,1,False,False,3911.0,Consumer Discretionary,sic2,,founding_member,,,founding_member,founding_member
