company_number,company_name,legal_birth_year,legal_birth_date_exact,legal_birth_precision,legal_birth_source_url,operating_birth_year,operating_birth_precision,operating_birth_type,operating_birth_source_url,operating_birth_context,audit_status,verification,operating_birth_date
01142830,3i Group,1973.0,1973-11-01,day,https://find-and-update.company-information.service.gov.uk/company/01142830,1945.0,year,organic_business,https://www.3i.com/about-us/our-history/,"3i founded in 1945; 1973 is incorporation of Finance for Industry plc, a later legal vehicle.",CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
09496208,AMEC,1883.0,,year,https://en.wikipedia.org/wiki/Amec_Foster_Wheeler,1883.0,year,predecessor_continuity,https://en.wikipedia.org/wiki/Amec_Foster_Wheeler,"The cited AMEC history states AMEC was formed in 1982 by the merger of Leonard Fairclough & Son (founded 1883) and William Press Group. The 1883 operating-birth date is therefore retained only as the earliest explicitly linked predecessor lineage, not as AMEC's direct formation date.",PASS_LINEAGE_RECLASSIFIED,reliable_committed,
11299879,ARM Holdings,1990.0,,month,https://en.wikipedia.org/wiki/Arm_Holdings,,year,organic_business,https://newsroom.arm.com/blog/arm-official-history,Arm was founded as a company in November 1990 as Advanced RISC Machines Ltd.,CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
01396513,ASDA Group (formerly Associated,1978.0,1978-10-27,day,https://find-and-update.company-information.service.gov.uk/company/01396513,,month,business_creation_from_predecessors,https://corporate.asda.com/our-story/our-history,ASDA was born on 3 May 1965 from the Asquith/Associated Dairies partnership; the 1978 CH company is a later legal vehicle.,CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
00710383,Abbey Life,1961.0,1961-12-12,day,https://find-and-update.company-information.service.gov.uk/company/00710383,,month,organic_business,https://www.phoenixlife.co.uk/about-phoenix-life/our-history,Phoenix states Abbey Life was founded and incorporated 12 Dec 1961.,CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
02294747,Abbey National,1988.0,1988-09-12,day,https://find-and-update.company-information.service.gov.uk/company/02294747,1874.0,year,predecessor_continuity,https://en.wikipedia.org/wiki/Abbey_National,Abbey traces to the Abbey Road building society founded in 1874; the 1988 CH company is not the business birth.,CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
16133984,Aberdeen Asset Management,1983.0,,year,https://en.wikipedia.org/wiki/Aberdeen_Asset_Management,1983.0,year,organic_business,https://www.aberdeenplc.com/docs?documentId=GB-280720-122228-1,Aberdeen was formed in 1983 as Aberdeen Fund Managers Limited.,CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
03849958,Admiral Group,1999.0,1999-09-24,day,https://find-and-update.company-information.service.gov.uk/company/03849958,,month,organic_business,https://www.admiralgroup.co.uk/who-we-are/our-milestones,Admiral launched and sold its first policy on 2 January 1993; the 1999 CH date reflects the post-MBO holding structure.,CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
SC177553,Aggreko,1997.0,1997-07-23,day,https://find-and-update.company-information.service.gov.uk/company/SC177553,1962.0,year,organic_business,https://en.wikipedia.org/wiki/Aggreko,Aggreko was founded in the Netherlands in 1962; 1997 is the demerger/listed-company date.,CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
11462215,Airtel Africa,2018.0,2018-07-12,day,https://find-and-update.company-information.service.gov.uk/company/11462215,2010.0,year,regional_business_formation,https://www.airtel.africa/history,Airtel's African operating platform dates from Bharti Airtel's June 2010 acquisition of Zain's African operations; the UK plc was incorporated in 2018.,CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
03263713,Alliance & Leicester,1996.0,1996-10-10,day,https://find-and-update.company-information.service.gov.uk/company/03263713,,month,merger_created_business,https://en.wikipedia.org/wiki/Alliance_%26_Leicester,Alliance & Leicester Building Society was created by merger in 1985; 1996 is the flotation vehicle incorporation.,CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
04452715,Alliance Boots,1849.0,,year,https://en.wikipedia.org/wiki/Boots_(company),1849.0,year,predecessor_continuity,https://en.wikipedia.org/wiki/Alliance_Boots,"Boots was founded in 1849 and later merged with Alliance UniChem, with the merger becoming effective in 2006 to create Alliance Boots. The 1849 value is retained only as the Boots operating lineage feeding directly into Alliance Boots, not as Alliance Boots' direct formation date.",PASS_LINEAGE_RECLASSIFIED,reliable_committed,
SC001731,Alliance Witan,1888.0,1888-04-21,day,https://find-and-update.company-information.service.gov.uk/company/SC001731,,month,predecessor_continuity,https://www.alliancewitan.com/about-us/company-history,"Uses Alliance Trust operating lineage; 2024 Alliance Witan is a merger, so not a genuinely new operating business.",CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
03771147,Allied Domecq,1961.0,,year,https://en.wikipedia.org/wiki/Allied_Breweries,1961.0,year,predecessor_continuity,https://en.wikipedia.org/wiki/Allied_Domecq,"Allied Breweries was formed in 1961; it merged with J. Lyons in 1978 to form Allied Lyons, which then merged with Pedro Domecq in 1994 to form Allied Domecq. The 1961 date is retained only as the explicitly traceable Allied predecessor lineage.",PASS_LINEAGE_RECLASSIFIED,reliable_committed,
03525388,Allied Zurich,1998.0,1998-03-05,day,https://find-and-update.company-information.service.gov.uk/company/03525388,,month,merger_created_business,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A31998M1043,"Allied Zurich was one leg of the 1998 Zurich/B.A.T. financial-services merger; treat as a merger-created constituent, not a startup.",CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
15698920,Amstrad,1968.0,,month,https://en.wikipedia.org/wiki/Amstrad,1968.0,year,,https://en.wikipedia.org/wiki/Amstrad,source-read verified (CONFIRMED),VERIFIED_SOURCE_READ,reliable_verified,
00308372,Amvescap,1935.0,1935-12-19,day,https://find-and-update.company-information.service.gov.uk/company/00308372,1997.0,year,merger_created_business,https://www.sec.gov/Archives/edgar/data/914208/000095014407003246/g06401e20vf.htm,AMVESCAP in its modern form was created by the 1997 combination of INVESCO and AIM.,CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
07476767,Anglian Water,1974.0,,month,https://en.wikipedia.org/wiki/Anglian_Water_Authority,1974.0,year,,https://en.wikipedia.org/wiki/Anglian_Water_Authority,source-read verified (CONFIRMED),VERIFIED_SOURCE_READ,reliable_verified,
03564138,Anglo American,1998.0,1998-05-14,day,https://find-and-update.company-information.service.gov.uk/company/03564138,1917.0,year,organic_business,https://en.wikipedia.org/wiki/Anglo_American_plc,Anglo American was founded in 1917; 1998 is the UK plc holding-company incorporation.,CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
01627889,Antofagasta,1982.0,1982-04-07,day,https://find-and-update.company-information.service.gov.uk/company/01627889,1888.0,year,predecessor_continuity,https://www.antofagasta.co.uk/media/4365/antofagasta-listing-memorandum-final-version.pdf,Antofagasta traces its business to the railway company formed in 1888.,CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
01081551,Argos plc,1972.0,1972-11-13,day,https://find-and-update.company-information.service.gov.uk/company/01081551,,month,organic_business,https://en.wikipedia.org/wiki/Argos_(retailer),Argos catalogue retailing began in July 1973.,CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
SC544125,Argyll Group,1977.0,,year,https://en.wikipedia.org/wiki/Argyll_Foods,1977.0,year,,https://en.wikipedia.org/wiki/Argyll_Foods,source-read verified (CONFIRMED),VERIFIED_SOURCE_READ,reliable_verified,
03675683,Ashmore Group,1998.0,1998-11-30,day,https://find-and-update.company-information.service.gov.uk/company/03675683,1992.0,year,organic_business,https://www.ashmoregroup.com/en-gb/about-us,Ashmore's business was founded in 1992 within ANZ and became independent in 1999.,CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
01807982,Ashtead Group,1984.0,1984-04-11,day,https://find-and-update.company-information.service.gov.uk/company/01807982,1947.0,year,organic_business,https://uk.linkedin.com/company/ashtead-group-plc,Ashtead's operating business dates to 1947; 1984 is the plc incorporation.,CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
00293262,Associated British Foods,1934.0,1934-10-20,day,https://find-and-update.company-information.service.gov.uk/company/00293262,1935.0,year,organic_business,https://www.abf.co.uk/content/dam/abf/corporate/Documents/Responsibility/Archive/abf-corporate-responsibility-report-update-2015.pdf.downloadasset.pdf,ABF states that it started as a bakery business in 1935.,CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
09439967,Auto Trader Group,2015.0,2015-02-13,day,https://find-and-update.company-information.service.gov.uk/company/09439967,1977.0,year,organic_business,https://en.wikipedia.org/wiki/Autotrader_Group,Auto Trader began as Thames Valley Trader in 1977; 2015 is the IPO holding-company incorporation.,CONTEXT_COHERENT_PRIOR_EVIDENCE,reliable_committed,
