company_number,company_name,year,value,source_url
00102498,BP PLC,2005,19.1500003,
00102498,BP PLC,2006,21.0999999,
00102498,BP PLC,2007,20.997,
00102498,BP PLC,2008,29.388,
00102498,BP PLC,2009,36.426,
00102498,BP PLC,2010,8.68,
04190816,BT GROUP PLC,2016,14.45,
15998687,Barratt Developments,2016,30.7,
02280426,Direct Line Insurance Group,2016,14.1,
02122142,Hargreaves Lansdown,2016,17.7,
00358949,Morrison Supermarkets,2016,5.08,
00077536,RELX PLC,2016,32.55,
14240638,Royal Mail,2016,22.5,
04191106,GKN,2016,8.85,
03685527,Intu Properties,2016,13.8,
08338604,Mediclinic International,2016,8.44,
05134647,Micro Focus International,2016,37.5,
00102498,BP PLC,2011,17.4030003,
00102498,BP PLC,2012,20.851000000000003,
SC095000,LLOYDS BANKING GROUP PLC,2004,22.2174004,
SC095000,LLOYDS BANKING GROUP PLC,2005,22.2174004,
SC095000,LLOYDS BANKING GROUP PLC,2006,22.2174004,
SC095000,LLOYDS BANKING GROUP PLC,2007,22.5422014,
SC095000,LLOYDS BANKING GROUP PLC,2008,23.4517003,
SC095000,LLOYDS BANKING GROUP PLC,2009,0.0,
SC095000,LLOYDS BANKING GROUP PLC,2010,0.0,
SC095000,LLOYDS BANKING GROUP PLC,2011,0.0,
SC095000,LLOYDS BANKING GROUP PLC,2012,0.0,
SC095000,LLOYDS BANKING GROUP PLC,2013,0.0,
SC095000,LLOYDS BANKING GROUP PLC,2014,0.0,
SC095000,LLOYDS BANKING GROUP PLC,2015,1.5,
SC095000,LLOYDS BANKING GROUP PLC,2016,2.85,
SC045551,Royal Bank of Scotland Group,2014,0.0,
01397169,PRUDENTIAL PLC,2011,25.19,
01397169,PRUDENTIAL PLC,2012,26.573299999999996,
01397169,PRUDENTIAL PLC,2013,30.5200005,
01397169,PRUDENTIAL PLC,2014,35.030001,
01397169,PRUDENTIAL PLC,2015,38.049999,
01833679,VODAFONE GROUP PLC,2007,12.650000000000002,
01833679,VODAFONE GROUP PLC,2008,13.9149995,
01833679,VODAFONE GROUP PLC,2009,14.41,
01833679,VODAFONE GROUP PLC,2010,15.5833004,
01833679,VODAFONE GROUP PLC,2011,24.016701,
01833679,VODAFONE GROUP PLC,2012,17.8567004,
01833679,VODAFONE GROUP PLC,2013,19.1584,
01833679,VODAFONE GROUP PLC,2014,11.07,
01833679,VODAFONE GROUP PLC,2016,11.8199995,
01833679,VODAFONE GROUP PLC,2017,13.19,
03407696,BRITISH AMERICAN TOBACCO PLC,2007,58.8,
