company_number,company_name,year,value,source_url
00102498,BP PLC,2005,94871298818.0,
00102498,BP PLC,2006,86978129369.0,
00102498,BP PLC,2007,94258237113.0,
00102498,BP PLC,2008,80617614181.0,
00102498,BP PLC,2009,91959255720.0,
00102498,BP PLC,2010,71352717296.0,
04190816,BT GROUP PLC,2016,36469860000.0,
15998687,Barratt Developments,2016,4577760000.0,
02280426,Direct Line Insurance Group,2016,5023840000.0,
02122142,Hargreaves Lansdown,2016,5701100000.0,
00358949,Morrison Supermarkets,2016,5388080484.0,
00077536,RELX PLC,2016,15656124684.0,
14240638,Royal Mail,2016,4621000000.0,
04191106,GKN,2016,5725485741.0,
03685527,Intu Properties,2016,3811728204.0,
08338604,Mediclinic International,2016,4159972000.0,
05134647,Micro Focus International,2016,4983508316.0,
00102498,BP PLC,2011,70578728765.0,
00102498,BP PLC,2012,65107151179.0,
SC095000,LLOYDS BANKING GROUP PLC,2004,180796881647.0,
SC095000,LLOYDS BANKING GROUP PLC,2005,186721510938.0,
SC095000,LLOYDS BANKING GROUP PLC,2006,218446980536.0,
SC095000,LLOYDS BANKING GROUP PLC,2007,180414649237.0,
SC095000,LLOYDS BANKING GROUP PLC,2008,48161526079.0,
SC095000,LLOYDS BANKING GROUP PLC,2009,29825330375.0,
SC095000,LLOYDS BANKING GROUP PLC,2010,38657016527.0,
SC095000,LLOYDS BANKING GROUP PLC,2011,15242162651.0,
SC095000,LLOYDS BANKING GROUP PLC,2012,28192558117.0,
SC095000,LLOYDS BANKING GROUP PLC,2013,46411955846.0,
SC095000,LLOYDS BANKING GROUP PLC,2014,44611493415.0,
SC095000,LLOYDS BANKING GROUP PLC,2015,42993429483.0,
SC095000,LLOYDS BANKING GROUP PLC,2016,36780063173.0,
SC045551,Royal Bank of Scotland Group,2014,34005420356.0,
01397169,PRUDENTIAL PLC,2011,13427803025.0,
01397169,PRUDENTIAL PLC,2012,18201666063.0,
01397169,PRUDENTIAL PLC,2013,28180511282.0,
01397169,PRUDENTIAL PLC,2014,31377106851.0,
01397169,PRUDENTIAL PLC,2015,32197284509.0,
01833679,VODAFONE GROUP PLC,2007,46655586328.0,
01833679,VODAFONE GROUP PLC,2008,34532077763.0,
01833679,VODAFONE GROUP PLC,2009,35699715581.0,
01833679,VODAFONE GROUP PLC,2010,41190063466.0,
01833679,VODAFONE GROUP PLC,2011,44444526709.0,
01833679,VODAFONE GROUP PLC,2012,38370358096.0,
01833679,VODAFONE GROUP PLC,2013,58878453162.0,
01833679,VODAFONE GROUP PLC,2014,53051636757.0,
01833679,VODAFONE GROUP PLC,2016,47618999418.0,
01833679,VODAFONE GROUP PLC,2017,55994318346.0,
03407696,BRITISH AMERICAN TOBACCO PLC,2007,42740548840.0,
03407696,BRITISH AMERICAN TOBACCO PLC,2008,39151647792.0,
03407696,BRITISH AMERICAN TOBACCO PLC,2009,43860720985.0,
03407696,BRITISH AMERICAN TOBACCO PLC,2011,66459922127.0,
03407696,BRITISH AMERICAN TOBACCO PLC,2012,67884607088.0,
03407696,BRITISH AMERICAN TOBACCO PLC,2013,70429464195.0,
03407696,BRITISH AMERICAN TOBACCO PLC,2014,76128204040.0,
03407696,BRITISH AMERICAN TOBACCO PLC,2015,82022702124.0,
03407696,BRITISH AMERICAN TOBACCO PLC,2016,100521855706.0,
03407696,BRITISH AMERICAN TOBACCO PLC,2017,109146093678.0,
SC045551,NATWEST GROUP PLC,2020,14370415411.0,
02723534,ASTRAZENECA PLC,2013,55414421310.0,
02723534,ASTRAZENECA PLC,2014,70622575543.0,
02723534,ASTRAZENECA PLC,2015,71568240587.0,
02723534,ASTRAZENECA PLC,2016,68793256278.0,
02723534,ASTRAZENECA PLC,2017,79389355582.0,
04083914,COMPASS GROUP PLC,2014,19432843099.0,
00324357,SMITH & NEPHEW PLC,2001,3522639419.0,
00324357,SMITH & NEPHEW PLC,2002,3225906856.0,
00324357,SMITH & NEPHEW PLC,2009,5421727818.0,
00324357,SMITH & NEPHEW PLC,2010,5735416527.0,
00033774,Johnson Matthey,2014,6026269445.0,
00033774,Johnson Matthey,2015,4713511291.0,
00033774,Johnson Matthey,2017,5151981967.0,
00033774,Johnson Matthey,2018,4699110919.0,
SC045551,Royal Bank of Scotland Group,2002,367285322316.0,
SC045551,Royal Bank of Scotland Group,2003,405952743557.0,
SC045551,Royal Bank of Scotland Group,2005,432619108323.0,
SC045551,Royal Bank of Scotland Group,2006,491882096803.0,
SC045551,Royal Bank of Scotland Group,2007,328580841110.0,
SC045551,Royal Bank of Scotland Group,2008,42592992150.0,
SC045551,Royal Bank of Scotland Group,2009,25176426152.0,
SC045551,Royal Bank of Scotland Group,2010,33686406087.0,
SC045551,Royal Bank of Scotland Group,2015,26038632292.0,
SC045551,Royal Bank of Scotland Group,2017,23969340975.0,
00719885,RIO TINTO PLC,2010,56260868329.0,
00719885,RIO TINTO PLC,2011,39187610281.0,
00719885,RIO TINTO PLC,2013,42755250321.0,
00041424,UNILEVER PLC,2017,101152607302.0,
03888792,GlaxoSmithKline,2007,51749383343.0,
03888792,GlaxoSmithKline,2012,54015187219.0,
03888792,GlaxoSmithKline,2014,55674079431.0,
03888792,GlaxoSmithKline,2015,55552696117.0,
03888792,GlaxoSmithKline,2016,63199790942.0,
03888792,GlaxoSmithKline,2017,53509429133.0,
00041424,UNILEVER PLC,2016,80728386751.0,
03888792,GlaxoSmithKline,2013,65202603359.0,
01397169,PRUDENTIAL PLC,2008,8759090016.0,
01397169,PRUDENTIAL PLC,2009,13459349273.0,
01397169,PRUDENTIAL PLC,2010,14048195010.0,
00617987,HSBC HLDGS PLC,2008,99028611190.0,
00324357,Scottish & Newcastle Plc,2003,3978335854.0,
00324357,Scottish & Newcastle Plc,2004,4518813021.0,
00324357,Scottish & Newcastle Plc,2005,4540008204.0,
00324357,SMITH & NEPHEW PLC,2006,4518813021.0,
00324357,SMITH & NEPHEW PLC,2008,3717635103.0,
00324357,SMITH & NEPHEW PLC,2011,5303034793.0,
00324357,SMITH & NEPHEW PLC,2012,5760850746.0,
00324357,SMITH & NEPHEW PLC,2013,7299621034.0,
00324357,SMITH & NEPHEW PLC,2014,10071950973.0,
00324357,SMITH & NEPHEW PLC,2015,10241512438.0,
00324357,SMITH & NEPHEW PLC,2016,10351727389.0,
00324357,SMITH & NEPHEW PLC,2017,10919758294.0,
01397169,PRUDENTIAL PLC,2016,34226704537.0,
00041424,UNILEVER PLC,2006,35012949516.0,
01397169,PRUDENTIAL PLC,2017,40073110569.0,
04031152,NATIONAL GRID PLC,2014,49692939416.0,
04031152,NATIONAL GRID PLC,2015,50742987321.0,
01397169,PRUDENTIAL PLC,2007,14973524246.0,
SC095000,LLOYDS BANKING GROUP PLC,2002,170476570662.0,
SC045551,Royal Bank of Scotland Group,2001,412618103325.0,
SC045551,Royal Bank of Scotland Group,2004,431879081810.0,
01397169,PRUDENTIAL PLC,2002,8875988724.0,
02339826,RSA Insurance Group,2013,3365164281.43,https://static.rsagroup.com/rsa/investors/company-performance/annual-reports/rsa-annual-report-2013-final.pdf
02339826,RSA Insurance Group,2014,4417367897.55,https://static.rsagroup.com/rsa/investors/company-performance/annual-reports/rsa-annual-report-and-accounts-2014.pdf
02339826,RSA Insurance Group,2015,4337760226.13,https://static.rsagroup.com/rsa/investors/company-performance/annual-reports/rsa-insurance-group-plc-annual-report-2015c.pdf
03690065,BG Group,2009,40335900000.0,https://www.yumpu.com/en/document/view/12210693/annual-report-and-accounts-2009-bg-group
03690065,BG Group,2010,46733760000.0,https://www.rns-pdf.londonstockexchange.com/rns/9005D_-2011-3-30.pdf
03690065,BG Group,2012,36575051614.0,https://www.shell.com/investors/information-for-shareholders/bg-documents/recommended-cash-and-share-offer-for-bg-group-plc-by-royal-dutch-shell-plc/_jcr_content/root/main/section/simple_90034901/text_970341755.multi.stream/1664200505774/e75d310f5bb616c737f4f34ef3a66f1c65eba624/bg-group-plcs-annual-report-and-audited-accounts-for-the-year-ended-31-december-2012-updt.pdf
00023307,DIAGEO PLC,1997,12924833668.0,
02339826,RSA Insurance Group,2016,5972165897.0,
02247735,Sky,2016,14577120000.0,
11606773,Standard Life,2016,7330000002.0,
00029846,Wolseley,2016,12554834388.0,
04369054,LAND SECURITIES GROUP PLC,2009,5443399683.0,
04369054,LAND SECURITIES GROUP PLC,2010,5355987390.0,
04369054,LAND SECURITIES GROUP PLC,2011,5050044138.0,
04369054,LAND SECURITIES GROUP PLC,2012,6464533720.0,
04369054,LAND SECURITIES GROUP PLC,2013,7656519118.0,
05393279,RENTOKIL INITIAL PLC,2018,8484761199.0,
05393279,RENTOKIL INITIAL PLC,2019,11398566679.0,
05393279,RENTOKIL INITIAL PLC,2020,12822758608.0,
05393279,RENTOKIL INITIAL PLC,2021,14676737413.0,
06270876,Reckitt & Colman Plc,1995,4940151007.0,
06270876,Reckitt & Colman Plc,1994,4074065145.0,
06270876,Reckitt & Colman Plc,1993,4941190932.0,
06270876,Reckitt & Colman Plc,1992,4325250235.0,
03909886,SCHRODERS PLC,2010,4889736459.0,
03909886,SCHRODERS PLC,2011,3463673166.0,
03909886,SCHRODERS PLC,2012,4444256264.0,
02081330,Capita Group,2001,5238682530.0,
00596337,SPIRAX GROUP PLC,2024,5052395490.0,
04256886,Marks and Spencer Group,2005,9667915603.0,
04256886,Marks and Spencer Group,2006,13726526139.0,
04256886,Marks and Spencer Group,2007,10720856394.0,
04256886,Marks and Spencer Group,2008,4111256406.0,
04256886,Marks and Spencer Group,2009,7696044263.0,
04120344,WHITBREAD PLC,2009,2058099814.0,
04120344,WHITBREAD PLC,2010,2610913352.0,
04120344,WHITBREAD PLC,2011,2281267304.0,
04120344,WHITBREAD PLC,2012,3569220796.0,
04120344,WHITBREAD PLC,2013,5471249022.0,
04120344,WHITBREAD PLC,2014,6957573800.0,
04120344,WHITBREAD PLC,2015,6419346301.0,
04120344,WHITBREAD PLC,2016,5507714637.0,
04120344,WHITBREAD PLC,2017,5834443229.0,
SC045551,NATWEST GROUP PLC,2021,19607868481.0,
SC045551,NATWEST GROUP PLC,2022,21393791744.0,
SC045551,NATWEST GROUP PLC,2023,17699085829.0,
00029423,Whitbread,2007,2042055151.0,
00029423,Whitbread,2008,1337546003.0,
00041424,UNILEVER PLC,2007,46340668477.0,
00445790,TESCO PLC,2011,32818867705.0,
00445790,TESCO PLC,2012,27332109964.0,
00445790,TESCO PLC,2013,27197889951.0,
00445790,TESCO PLC,2014,15374313080.0,
00445790,TESCO PLC,2018,15064354837.0,
00445790,TESCO PLC,2019,20223166686.0,
00445790,TESCO PLC,2020,18337147644.0,
00445790,TESCO PLC,2021,19398193602.0,
00445790,TESCO PLC,2022,15001983574.0,
00445790,TESCO PLC,2023,19438342049.0,
00445790,TESCO PLC,2024,24644203578.0,
00012901,F&C INVESTMENT TRUST PLC,2022,4357442575.0,
00012901,F&C INVESTMENT TRUST PLC,2023,4637013006.0,
00012901,F&C INVESTMENT TRUST PLC,2024,5340759263.0,
05562053,Drax Group,2006,2920675238.0,
05562053,Drax Group,2008,1918055791.0,
02081330,Capita Group,2007,7262306201.0,
00041424,UNILEVER PLC,1988,23183304518.0,
00041424,UNILEVER PLC,1989,695222836.0,
00041424,UNILEVER PLC,1990,651361016.0,
00041424,UNILEVER PLC,1991,860202987.0,
00041424,UNILEVER PLC,1992,1063935207.0,
00041424,UNILEVER PLC,1993,1147247874.0,
00041424,UNILEVER PLC,1994,1104332459.0,
00041424,UNILEVER PLC,1995,1261503289.0,
00041424,UNILEVER PLC,1996,1350644127.0,
00041424,UNILEVER PLC,1997,31793898749.0,
00041424,UNILEVER PLC,1998,134413127893.0,
00041424,UNILEVER PLC,1999,24791303458.0,
00041424,UNILEVER PLC,2000,31220695285.0,
00041424,UNILEVER PLC,2001,30730317841.0,
00041424,UNILEVER PLC,2002,32201450174.0,
