company_number,ticker,fiscal_year,value,currency,source_url
15998687,BTRW.L,2022,515100000.0,GBP,https://finance.yahoo.com/quote/BTRW.L/financials
15998687,BTRW.L,2023,530300000.0,GBP,https://finance.yahoo.com/quote/BTRW.L/financials
15998687,BTRW.L,2024,114100000.0,GBP,https://finance.yahoo.com/quote/BTRW.L/financials
15998687,BTRW.L,2025,186400000.0,GBP,https://finance.yahoo.com/quote/BTRW.L/financials
00102498,BP.L,2022,-2487000000.0,USD,https://finance.yahoo.com/quote/BP.L/financials
00102498,BP.L,2023,15239000000.0,USD,https://finance.yahoo.com/quote/BP.L/financials
00102498,BP.L,2024,381000000.0,USD,https://finance.yahoo.com/quote/BP.L/financials
00102498,BP.L,2025,55000000.0,USD,https://finance.yahoo.com/quote/BP.L/financials
00040932,HLMA.L,2023,234500000.0,GBP,https://finance.yahoo.com/quote/HLMA.L/financials
00040932,HLMA.L,2024,268800000.0,GBP,https://finance.yahoo.com/quote/HLMA.L/financials
00040932,HLMA.L,2025,296400000.0,GBP,https://finance.yahoo.com/quote/HLMA.L/financials
00040932,HLMA.L,2026,372300000.0,GBP,https://finance.yahoo.com/quote/HLMA.L/financials
05134420,IHG.L,2022,375000000.0,USD,https://finance.yahoo.com/quote/IHG.L/financials
05134420,IHG.L,2023,750000000.0,USD,https://finance.yahoo.com/quote/IHG.L/financials
05134420,IHG.L,2024,628000000.0,USD,https://finance.yahoo.com/quote/IHG.L/financials
05134420,IHG.L,2025,758000000.0,USD,https://finance.yahoo.com/quote/IHG.L/financials
12215835,GSK.L,2022,14956000000.0,GBP,https://finance.yahoo.com/quote/GSK.L/financials
12215835,GSK.L,2023,4928000000.0,GBP,https://finance.yahoo.com/quote/GSK.L/financials
12215835,GSK.L,2024,2575000000.0,GBP,https://finance.yahoo.com/quote/GSK.L/financials
12215835,GSK.L,2025,5716000000.0,GBP,https://finance.yahoo.com/quote/GSK.L/financials
02128710,HWDN.L,2022,374200000.0,GBP,https://finance.yahoo.com/quote/HWDN.L/financials
02128710,HWDN.L,2023,254600000.0,GBP,https://finance.yahoo.com/quote/HWDN.L/financials
02128710,HWDN.L,2024,249300000.0,GBP,https://finance.yahoo.com/quote/HWDN.L/financials
02128710,HWDN.L,2025,267700000.0,GBP,https://finance.yahoo.com/quote/HWDN.L/financials
,CCH.L,2022,415400000.0,EUR,https://finance.yahoo.com/quote/CCH.L/financials
,CCH.L,2023,636500000.0,EUR,https://finance.yahoo.com/quote/CCH.L/financials
,CCH.L,2024,820600000.0,EUR,https://finance.yahoo.com/quote/CCH.L/financials
,CCH.L,2025,940400000.0,EUR,https://finance.yahoo.com/quote/CCH.L/financials
01417162,LGEN.L,2022,783000000.0,GBP,https://finance.yahoo.com/quote/LGEN.L/financials
01417162,LGEN.L,2023,457000000.0,GBP,https://finance.yahoo.com/quote/LGEN.L/financials
01417162,LGEN.L,2024,191000000.0,GBP,https://finance.yahoo.com/quote/LGEN.L/financials
01417162,LGEN.L,2025,592000000.0,GBP,https://finance.yahoo.com/quote/LGEN.L/financials
SC095000,LLOY.L,2022,3827000000.0,GBP,https://finance.yahoo.com/quote/LLOY.L/financials
SC095000,LLOY.L,2023,5460000000.0,GBP,https://finance.yahoo.com/quote/LLOY.L/financials
SC095000,LLOY.L,2024,4421000000.0,GBP,https://finance.yahoo.com/quote/LLOY.L/financials
SC095000,LLOY.L,2025,4659000000.0,GBP,https://finance.yahoo.com/quote/LLOY.L/financials
11444019,MNG.L,2022,-2068000000.0,GBP,https://finance.yahoo.com/quote/MNG.L/financials
11444019,MNG.L,2023,297000000.0,GBP,https://finance.yahoo.com/quote/MNG.L/financials
11444019,MNG.L,2024,-360000000.0,GBP,https://finance.yahoo.com/quote/MNG.L/financials
11444019,MNG.L,2025,302000000.0,GBP,https://finance.yahoo.com/quote/MNG.L/financials
04031152,NG.L,2023,7797000000.0,GBP,https://finance.yahoo.com/quote/NG.L/financials
04031152,NG.L,2024,2290000000.0,GBP,https://finance.yahoo.com/quote/NG.L/financials
04031152,NG.L,2025,2902000000.0,GBP,https://finance.yahoo.com/quote/NG.L/financials
04031152,NG.L,2026,3241000000.0,GBP,https://finance.yahoo.com/quote/NG.L/financials
04412362,NXT.L,2023,711700000.0,GBP,https://finance.yahoo.com/quote/NXT.L/financials
04412362,NXT.L,2024,802300000.0,GBP,https://finance.yahoo.com/quote/NXT.L/financials
04412362,NXT.L,2025,736100000.0,GBP,https://finance.yahoo.com/quote/NXT.L/financials
04412362,NXT.L,2026,888500000.0,GBP,https://finance.yahoo.com/quote/NXT.L/financials
03224867,PCT.L,2023,-105182000.0,GBP,https://finance.yahoo.com/quote/PCT.L/financials
03224867,PCT.L,2024,1115437000.0,GBP,https://finance.yahoo.com/quote/PCT.L/financials
03224867,PCT.L,2025,118355000.0,GBP,https://finance.yahoo.com/quote/PCT.L/financials
03224867,PCT.L,2026,3752471000.0,GBP,https://finance.yahoo.com/quote/PCT.L/financials
01397169,PRU.L,2022,-1007000000.0,USD,https://finance.yahoo.com/quote/PRU.L/financials
01397169,PRU.L,2023,1701000000.0,USD,https://finance.yahoo.com/quote/PRU.L/financials
01397169,PRU.L,2024,2285000000.0,USD,https://finance.yahoo.com/quote/PRU.L/financials
01397169,PRU.L,2025,3978000000.0,USD,https://finance.yahoo.com/quote/PRU.L/financials
,PSH.L,2022,-1172083602.0,USD,https://finance.yahoo.com/quote/PSH.L/financials
,PSH.L,2023,2486054201.0,USD,https://finance.yahoo.com/quote/PSH.L/financials
,PSH.L,2024,1173695918.0,USD,https://finance.yahoo.com/quote/PSH.L/financials
,PSH.L,2025,2525375901.0,USD,https://finance.yahoo.com/quote/PSH.L/financials
00053723,PSON.L,2022,242000000.0,GBP,https://finance.yahoo.com/quote/PSON.L/financials
00053723,PSON.L,2023,378000000.0,GBP,https://finance.yahoo.com/quote/PSON.L/financials
00053723,PSON.L,2024,434000000.0,GBP,https://finance.yahoo.com/quote/PSON.L/financials
00053723,PSON.L,2025,335000000.0,GBP,https://finance.yahoo.com/quote/PSON.L/financials
00077536,REL.L,2022,1634000000.0,GBP,https://finance.yahoo.com/quote/REL.L/financials
00077536,REL.L,2023,1781000000.0,GBP,https://finance.yahoo.com/quote/REL.L/financials
00077536,REL.L,2024,1934000000.0,GBP,https://finance.yahoo.com/quote/REL.L/financials
00077536,REL.L,2025,2065000000.0,GBP,https://finance.yahoo.com/quote/REL.L/financials
00719885,RIO.L,2022,12392000000.0,USD,https://finance.yahoo.com/quote/RIO.L/financials
00719885,RIO.L,2023,10058000000.0,USD,https://finance.yahoo.com/quote/RIO.L/financials
00719885,RIO.L,2024,11552000000.0,USD,https://finance.yahoo.com/quote/RIO.L/financials
00719885,RIO.L,2025,9966000000.0,USD,https://finance.yahoo.com/quote/RIO.L/financials
06270876,RKT.L,2022,2330000000.0,GBP,https://finance.yahoo.com/quote/RKT.L/financials
06270876,RKT.L,2023,1643000000.0,GBP,https://finance.yahoo.com/quote/RKT.L/financials
06270876,RKT.L,2024,1426000000.0,GBP,https://finance.yahoo.com/quote/RKT.L/financials
06270876,RKT.L,2025,3182000000.0,GBP,https://finance.yahoo.com/quote/RKT.L/financials
00185647,SBRY.L,2023,207000000.0,GBP,https://finance.yahoo.com/quote/SBRY.L/financials
00185647,SBRY.L,2024,137000000.0,GBP,https://finance.yahoo.com/quote/SBRY.L/financials
00185647,SBRY.L,2025,253000000.0,GBP,https://finance.yahoo.com/quote/SBRY.L/financials
00185647,SBRY.L,2026,393000000.0,GBP,https://finance.yahoo.com/quote/SBRY.L/financials
02231246,SGE.L,2022,260000000.0,GBP,https://finance.yahoo.com/quote/SGE.L/financials
02231246,SGE.L,2023,211000000.0,GBP,https://finance.yahoo.com/quote/SGE.L/financials
02231246,SGE.L,2024,323000000.0,GBP,https://finance.yahoo.com/quote/SGE.L/financials
02231246,SGE.L,2025,369000000.0,GBP,https://finance.yahoo.com/quote/SGE.L/financials
SC117119,SSE.L,2023,-123000000.0,GBP,https://finance.yahoo.com/quote/SSE.L/financials
SC117119,SSE.L,2024,1710500000.0,GBP,https://finance.yahoo.com/quote/SSE.L/financials
SC117119,SSE.L,2025,1189400000.0,GBP,https://finance.yahoo.com/quote/SSE.L/financials
