company_number,ticker,fiscal_year,value,currency,source_url
15998687,BTRW.L,2022,5267900000.0,GBP,https://finance.yahoo.com/quote/BTRW.L/financials
15998687,BTRW.L,2023,5321400000.0,GBP,https://finance.yahoo.com/quote/BTRW.L/financials
15998687,BTRW.L,2024,4168200000.0,GBP,https://finance.yahoo.com/quote/BTRW.L/financials
15998687,BTRW.L,2025,5578300000.0,GBP,https://finance.yahoo.com/quote/BTRW.L/financials
00102498,BP.L,2022,241392000000.0,USD,https://finance.yahoo.com/quote/BP.L/financials
00102498,BP.L,2023,210130000000.0,USD,https://finance.yahoo.com/quote/BP.L/financials
00102498,BP.L,2024,189185000000.0,USD,https://finance.yahoo.com/quote/BP.L/financials
00102498,BP.L,2025,189335000000.0,USD,https://finance.yahoo.com/quote/BP.L/financials
00040932,HLMA.L,2023,1852800000.0,GBP,https://finance.yahoo.com/quote/HLMA.L/financials
00040932,HLMA.L,2024,2034100000.0,GBP,https://finance.yahoo.com/quote/HLMA.L/financials
00040932,HLMA.L,2025,2248100000.0,GBP,https://finance.yahoo.com/quote/HLMA.L/financials
00040932,HLMA.L,2026,2582300000.0,GBP,https://finance.yahoo.com/quote/HLMA.L/financials
05134420,IHG.L,2022,3892000000.0,USD,https://finance.yahoo.com/quote/IHG.L/financials
05134420,IHG.L,2023,4624000000.0,USD,https://finance.yahoo.com/quote/IHG.L/financials
05134420,IHG.L,2024,4923000000.0,USD,https://finance.yahoo.com/quote/IHG.L/financials
05134420,IHG.L,2025,5189000000.0,USD,https://finance.yahoo.com/quote/IHG.L/financials
12215835,GSK.L,2022,29324000000.0,GBP,https://finance.yahoo.com/quote/GSK.L/financials
12215835,GSK.L,2023,30328000000.0,GBP,https://finance.yahoo.com/quote/GSK.L/financials
12215835,GSK.L,2024,31376000000.0,GBP,https://finance.yahoo.com/quote/GSK.L/financials
12215835,GSK.L,2025,32667000000.0,GBP,https://finance.yahoo.com/quote/GSK.L/financials
02128710,HWDN.L,2022,2319000000.0,GBP,https://finance.yahoo.com/quote/HWDN.L/financials
02128710,HWDN.L,2023,2310900000.0,GBP,https://finance.yahoo.com/quote/HWDN.L/financials
02128710,HWDN.L,2024,2322100000.0,GBP,https://finance.yahoo.com/quote/HWDN.L/financials
02128710,HWDN.L,2025,2418000000.0,GBP,https://finance.yahoo.com/quote/HWDN.L/financials
,CCH.L,2022,9198400000.0,EUR,https://finance.yahoo.com/quote/CCH.L/financials
,CCH.L,2023,10184000000.0,EUR,https://finance.yahoo.com/quote/CCH.L/financials
,CCH.L,2024,10754400000.0,EUR,https://finance.yahoo.com/quote/CCH.L/financials
,CCH.L,2025,11604500000.0,EUR,https://finance.yahoo.com/quote/CCH.L/financials
01417162,LGEN.L,2022,-94939000000.0,GBP,https://finance.yahoo.com/quote/LGEN.L/financials
01417162,LGEN.L,2023,32689000000.0,GBP,https://finance.yahoo.com/quote/LGEN.L/financials
01417162,LGEN.L,2024,20613000000.0,GBP,https://finance.yahoo.com/quote/LGEN.L/financials
01417162,LGEN.L,2025,42039000000.0,GBP,https://finance.yahoo.com/quote/LGEN.L/financials
SC095000,LLOY.L,2022,16050000000.0,GBP,https://finance.yahoo.com/quote/LLOY.L/financials
SC095000,LLOY.L,2023,19199000000.0,GBP,https://finance.yahoo.com/quote/LLOY.L/financials
SC095000,LLOY.L,2024,18603000000.0,GBP,https://finance.yahoo.com/quote/LLOY.L/financials
SC095000,LLOY.L,2025,20028000000.0,GBP,https://finance.yahoo.com/quote/LLOY.L/financials
11444019,MNG.L,2022,-10749000000.0,GBP,https://finance.yahoo.com/quote/MNG.L/financials
11444019,MNG.L,2023,13903000000.0,GBP,https://finance.yahoo.com/quote/MNG.L/financials
11444019,MNG.L,2024,14606000000.0,GBP,https://finance.yahoo.com/quote/MNG.L/financials
11444019,MNG.L,2025,21713000000.0,GBP,https://finance.yahoo.com/quote/MNG.L/financials
04031152,NG.L,2023,21659000000.0,GBP,https://finance.yahoo.com/quote/NG.L/financials
04031152,NG.L,2024,19850000000.0,GBP,https://finance.yahoo.com/quote/NG.L/financials
04031152,NG.L,2025,18378000000.0,GBP,https://finance.yahoo.com/quote/NG.L/financials
04031152,NG.L,2026,17687000000.0,GBP,https://finance.yahoo.com/quote/NG.L/financials
04412362,NXT.L,2023,5034000000.0,GBP,https://finance.yahoo.com/quote/NXT.L/financials
04412362,NXT.L,2024,5491000000.0,GBP,https://finance.yahoo.com/quote/NXT.L/financials
04412362,NXT.L,2025,6118100000.0,GBP,https://finance.yahoo.com/quote/NXT.L/financials
04412362,NXT.L,2026,6901300000.0,GBP,https://finance.yahoo.com/quote/NXT.L/financials
03224867,PCT.L,2023,-101774000.0,GBP,https://finance.yahoo.com/quote/PCT.L/financials
03224867,PCT.L,2024,1118772000.0,GBP,https://finance.yahoo.com/quote/PCT.L/financials
03224867,PCT.L,2025,122389000.0,GBP,https://finance.yahoo.com/quote/PCT.L/financials
03224867,PCT.L,2026,3757398000.0,GBP,https://finance.yahoo.com/quote/PCT.L/financials
01397169,PRU.L,2022,-21220000000.0,USD,https://finance.yahoo.com/quote/PRU.L/financials
01397169,PRU.L,2023,19148000000.0,USD,https://finance.yahoo.com/quote/PRU.L/financials
01397169,PRU.L,2024,16211000000.0,USD,https://finance.yahoo.com/quote/PRU.L/financials
01397169,PRU.L,2025,27393000000.0,USD,https://finance.yahoo.com/quote/PRU.L/financials
,PSH.L,2022,-1182853477.0,USD,https://finance.yahoo.com/quote/PSH.L/financials
,PSH.L,2023,2570527155.0,USD,https://finance.yahoo.com/quote/PSH.L/financials
,PSH.L,2024,1204848725.0,USD,https://finance.yahoo.com/quote/PSH.L/financials
,PSH.L,2025,2574533458.0,USD,https://finance.yahoo.com/quote/PSH.L/financials
00053723,PSON.L,2022,3841000000.0,GBP,https://finance.yahoo.com/quote/PSON.L/financials
00053723,PSON.L,2023,3674000000.0,GBP,https://finance.yahoo.com/quote/PSON.L/financials
00053723,PSON.L,2024,3552000000.0,GBP,https://finance.yahoo.com/quote/PSON.L/financials
