company_number,company_name,year,value,source_url
00102498,BP PLC,2005,15326542620.0,https://www.sec.gov/Archives/edgar/data/313807/000115697306000772/u50124e20vf.htm
00102498,BP PLC,2006,15326542620.0,https://www.sec.gov/Archives/edgar/data/313807/000115697307000346/b848881-20f.htm
00102498,BP PLC,2007,15326542620.0,https://www.sec.gov/Archives/edgar/data/313807/000115697308000263/u54999_20f.htm
00102498,BP PLC,2008,15326542620.0,https://www.sec.gov/Archives/edgar/data/313807/000115697309000125/u06412e20vf.htm
00102498,BP PLC,2009,15326542620.0,https://www.sec.gov/Archives/edgar/data/313807/000095012310021364/u08439e20vf.htm
00102498,BP PLC,2010,15326542620.0,https://www.sec.gov/Archives/edgar/data/313807/000095012311021108/u10175e20vf.htm
04190816,BT GROUP PLC,2016,9940000000.0,
15998687,Barratt Developments,2016,990000000.0,
02280426,Direct Line Insurance Group,2016,1360000000.0,
02122142,Hargreaves Lansdown,2016,470000000.0,
00358949,Morrison Supermarkets,2016,2335535537.0,
00077536,RELX PLC,2016,1080477894.0,
14240638,Royal Mail,2016,1000000000.0,
04191106,GKN,2016,1726103630.0,
03685527,Intu Properties,2016,1355040243.0,
08338604,Mediclinic International,2016,590000000.0,
05134647,Micro Focus International,2016,228706210.0,
00102498,BP PLC,2011,15326542620.0,https://www.sec.gov/Archives/edgar/data/313807/000119312512098223/d267991d20f.htm
00102498,BP PLC,2012,15326542620.0,https://www.sec.gov/Archives/edgar/data/313807/000119312513093347/d441093d20f.htm
SC095000,LLOYDS BANKING GROUP PLC,2004,58838688466.0,https://www.sec.gov/Archives/edgar/data/1160106/000095011705002637/a40046.htm
SC095000,LLOYDS BANKING GROUP PLC,2005,58838688466.0,https://www.sec.gov/Archives/edgar/data/1160106/000095011706002542/a42097.htm
SC095000,LLOYDS BANKING GROUP PLC,2006,58838688466.0,https://www.sec.gov/Archives/edgar/data/1160106/000093041307005063/c48777_20f.htm
SC095000,LLOYDS BANKING GROUP PLC,2007,58838688466.0,https://www.sec.gov/Archives/edgar/data/1160106/000093041308003638/c53788_form-20f.htm
SC095000,LLOYDS BANKING GROUP PLC,2008,58838688466.0,https://www.sec.gov/Archives/edgar/data/1160106/000093041309002523/c57184_20f.htm
SC095000,LLOYDS BANKING GROUP PLC,2009,58838688466.0,https://www.sec.gov/Archives/edgar/data/1160106/000093041310002874/c61230_20f.htm
SC095000,LLOYDS BANKING GROUP PLC,2010,58838688466.0,https://www.sec.gov/Archives/edgar/data/1160106/000093041311003945/c65657_20-f.htm
SC095000,LLOYDS BANKING GROUP PLC,2011,58838688466.0,https://www.sec.gov/Archives/edgar/data/1160106/000093041312001599/c68854_20f.htm
SC095000,LLOYDS BANKING GROUP PLC,2012,58838688466.0,https://www.sec.gov/Archives/edgar/data/1160106/000093041313001836/c72340_20-f.htm
SC095000,LLOYDS BANKING GROUP PLC,2013,58838688466.0,https://www.sec.gov/Archives/edgar/data/1160106/000093041314001093/c76674_20f.htm
SC095000,LLOYDS BANKING GROUP PLC,2014,58838688466.0,https://www.sec.gov/Archives/edgar/data/1160106/000093041315001178/c79666_20f.htm
SC095000,LLOYDS BANKING GROUP PLC,2015,58838688466.0,https://www.sec.gov/Archives/edgar/data/1160106/000093041316005889/c84109_20f.htm
SC095000,LLOYDS BANKING GROUP PLC,2016,58838688466.0,https://www.sec.gov/Archives/edgar/data/1160106/000093041317000981/c87021_20f.htm
