company_number,company_name,ticker,former_names,ftse_entry_date,ftse_exit_date,incorporation_date,company_status,sic_1,region,entry_source,exit_source
00120271,Sears plc,,,1984-01-03,1995-12-18,1912-02-15,Active,64209 - Activities of other holding companies n.e.c.,London,https://find-and-update.company-information.service.gov.uk/company/00120271,https://find-and-update.company-information.service.gov.uk/company/00120271
00137013,Smiths Group,SMIN,,2000-12-18,2016-03-21,1914-07-15,Active,70100 - Activities of head offices,London,https://find-and-update.company-information.service.gov.uk/company/00137013,https://find-and-update.company-information.service.gov.uk/company/00137013
00218019,Imperial Chemical Industries,,,1984-01-03,2007-12-20,1926-07-12,Active,"20301 - Manufacture of paints, varnishes and similar coatings, mastics and sealants",South East,https://find-and-update.company-information.service.gov.uk/company/00218019,https://find-and-update.company-information.service.gov.uk/company/00218019
00348312,Carlton Communications,,Carlton Communication,1989-04-03,2001-09-24,1939-11-01,Active,70100 - Activities of head offices,London,https://find-and-update.company-information.service.gov.uk/company/00348312,https://find-and-update.company-information.service.gov.uk/company/00348312
00471864,Northern Foods,,,1984-01-03,1993-12-20,1949-08-15,Active,70100 - Activities of head offices,Yorkshire & Humber,https://find-and-update.company-information.service.gov.uk/company/00471864,https://find-and-update.company-information.service.gov.uk/company/00471864
00961440,Arjo Wiggins Appleton plc,,,1984-01-03,1995-12-18,1969-09-04,In Administration,17120 - Manufacture of paper and paperboard,London,https://www.lseg.com/content/dam/ftse-russell/en_us/documents/policy-documents/ftse-100-constituent-history.pdf,https://www.lseg.com/content/dam/ftse-russell/en_us/documents/policy-documents/ftse-100-constituent-history.pdf
01003142,Rolls Royce,RR,,1987-07-01,2003-03-24,1971-02-23,Active,"25300 - Manufacture of steam generators, except central heating hot water boilers",London,https://find-and-update.company-information.service.gov.uk/company/01003142,https://find-and-update.company-information.service.gov.uk/company/01003142
01682048,Enterprise Oil,,,1984-07-19,2002-05-10,1982-11-26,Active,06100 - Extraction of crude petroleum,London,https://find-and-update.company-information.service.gov.uk/company/01682048,https://find-and-update.company-information.service.gov.uk/company/01682048
02953047,Magnet & Southerns,,,1984-01-03,1984-04-02,,,,,https://www.lseg.com/content/dam/ftse-russell/en_us/documents/policy-documents/ftse-100-constituent-history.pdf,https://www.lseg.com/content/dam/ftse-russell/en_us/documents/policy-documents/ftse-100-constituent-history.pdf
03158105,Thorn EMI plc,,,1984-01-03,1996-08-17,,,,,https://www.lseg.com/content/dam/ftse-russell/en_us/documents/policy-documents/ftse-100-constituent-history.pdf,https://www.lseg.com/content/dam/ftse-russell/en_us/documents/policy-documents/ftse-100-constituent-history.pdf
04190833,mmO2,,mmO2,2001-11-19,2006-01-26,2001-03-30,Active,61900 - Other telecommunications activities,South East,https://find-and-update.company-information.service.gov.uk/company/04190833,https://find-and-update.company-information.service.gov.uk/company/04190833
04709270,DCC,DCC,,2015-12-21,,2003-03-24,Active,64209 - Activities of other holding companies n.e.c.,Yorkshire & Humber,https://find-and-update.company-information.service.gov.uk/company/04709270,https://find-and-update.company-information.service.gov.uk/company/04709270
05134647,Micro Focus International,,,2016-09-05,2019-09-23,2004-05-21,Active,62090 - Other information technology service activities,South East,https://find-and-update.company-information.service.gov.uk/company/05134647,https://find-and-update.company-information.service.gov.uk/company/05134647
07118170,Avast,,,2020-06-22,2022-09-12,2010-01-07,Active,62090 - Other information technology service activities,London,https://find-and-update.company-information.service.gov.uk/company/07118170,https://find-and-update.company-information.service.gov.uk/company/07118170
10361298,ConvaTec Group,CTEC,,2016-12-19,2017-12-18,2016-06-09,Active,96090 - Other service activities n.e.c.,London,https://find-and-update.company-information.service.gov.uk/company/10361298,https://find-and-update.company-information.service.gov.uk/company/10361298
10517727,Enterprise Inns,,,2004-03-22,2008-09-22,,,,,https://www.lseg.com/content/dam/ftse-russell/en_us/documents/policy-documents/ftse-100-constituent-history.pdf,https://www.lseg.com/content/dam/ftse-russell/en_us/documents/policy-documents/ftse-100-constituent-history.pdf
11408139,Hillsdown Holdings,,,1987-01-02,1992-09-21,,,,,https://www.lseg.com/content/dam/ftse-russell/en_us/documents/policy-documents/ftse-100-constituent-history.pdf,https://www.lseg.com/content/dam/ftse-russell/en_us/documents/policy-documents/ftse-100-constituent-history.pdf
11775757,Sports Direct International,,,2013-09-23,2016-03-21,,,,,https://www.lseg.com/content/dam/ftse-russell/en_us/documents/policy-documents/ftse-100-constituent-history.pdf,https://www.lseg.com/content/dam/ftse-russell/en_us/documents/policy-documents/ftse-100-constituent-history.pdf
12215835,GlaxoSmithKline,GSK,,2000-12-27,,,,,,https://www.lseg.com/content/dam/ftse-russell/en_us/documents/policy-documents/ftse-100-constituent-history.pdf,https://www.lseg.com/content/dam/ftse-russell/en_us/documents/policy-documents/ftse-100-constituent-history.pdf
12620781,Dixons Group,,,1985-01-02,1998-03-23,,,,,https://www.lseg.com/content/dam/ftse-russell/en_us/documents/policy-documents/ftse-100-constituent-history.pdf,https://www.lseg.com/content/dam/ftse-russell/en_us/documents/policy-documents/ftse-100-constituent-history.pdf
SC177553,Aggreko,,,2009-12-21,2015-06-22,1997-07-23,Active,77320 - Renting and leasing of construction and civil engineering machinery and equipment,Scotland,https://find-and-update.company-information.service.gov.uk/company/SC177553,https://find-and-update.company-information.service.gov.uk/company/SC177553
SC787001,Cairn Energy,,,2004-09-20,2012-03-19,,,,,https://www.lseg.com/content/dam/ftse-russell/en_us/documents/policy-documents/ftse-100-constituent-history.pdf,https://www.lseg.com/content/dam/ftse-russell/en_us/documents/policy-documents/ftse-100-constituent-history.pdf
SC045551,,,Royal Bank of Scotland Group,,,1968-03-25,Active,64205 - Activities of financial services holding companies,Scotland,,
00102498,BP,BP,British Petroleum,1984-01-03,,1909-04-14,Active,70100 - Activities of head offices,London,https://find-and-update.company-information.service.gov.uk/company/00102498,https://find-and-update.company-information.service.gov.uk/company/00102498
00227531,Beecham Group,,,1984-01-03,1989-07-27,1928-01-23,Active,82990 - Other business support service activities n.e.c.,London,https://find-and-update.company-information.service.gov.uk/company/00227531,https://find-and-update.company-information.service.gov.uk/company/00227531
00432989,Meggitt,,,2011-10-07,2022-09-13,1947-11-04,Active,70100 - Activities of head offices,West Midlands,https://find-and-update.company-information.service.gov.uk/company/00432989,https://find-and-update.company-information.service.gov.uk/company/00432989
00719885,Rio Tinto,RIO,Rio Tinto-Zinc Corporation | The RTZ Corporation PLC,1984-01-03,,1962-03-30,Active,70100 - Activities of head offices,London,https://find-and-update.company-information.service.gov.uk/company/00719885,https://find-and-update.company-information.service.gov.uk/company/00719885
02150950,Hays,,,1996-12-23,2005-09-19,1987-07-28,Active,70100 - Activities of head offices,London,https://find-and-update.company-information.service.gov.uk/company/02150950,https://find-and-update.company-information.service.gov.uk/company/02150950
02159282,Celltech Group,,,2000-03-20,2002-03-18,1987-08-28,Active,70100 - Activities of head offices,South East,https://find-and-update.company-information.service.gov.uk/company/02159282,https://find-and-update.company-information.service.gov.uk/company/02159282
02468686,Aviva,AV,CGU International Insurance PLC,1984-01-03,2000-05-30,,,,,https://find-and-update.company-information.service.gov.uk/company/02468686,https://find-and-update.company-information.service.gov.uk/company/02468686
03771147,Allied Domecq,,,1984-01-03,2005-07-26,,,,,https://find-and-update.company-information.service.gov.uk/company/03771147,https://find-and-update.company-information.service.gov.uk/company/03771147
03811373,Corus Group,,,1999-10-06,2007-03-30,1999-07-16,Active,70100 - Activities of head offices,London,https://find-and-update.company-information.service.gov.uk/company/03811373,https://find-and-update.company-information.service.gov.uk/company/03811373
03902746,P & O Princess Cruises PLC,,,2000-10-23,2020-06-22,2000-05-01,Active,99999 - Dormant Company,North West,https://find-and-update.company-information.service.gov.uk/company/03902746,https://find-and-update.company-information.service.gov.uk/company/03902746
03938288,Bradford & Bingley,,,2002-07-02,2007-06-18,2000-02-28,Liquidation,64922 - Activities of mortgage finance companies,Yorkshire & Humber,https://find-and-update.company-information.service.gov.uk/company/03938288,https://find-and-update.company-information.service.gov.uk/company/03938288
04992207,G4S,,,2007-12-24,2018-06-18,2003-11-12,Active,80100 - Private security activities,London,https://find-and-update.company-information.service.gov.uk/company/04992207,https://find-and-update.company-information.service.gov.uk/company/04992207
