company_number,ticker,fiscal_year,value,currency,source_url
15998687,BTRW.L,2022,8210700000.0,GBP,https://finance.yahoo.com/quote/BTRW.L/financials
15998687,BTRW.L,2023,8004000000.0,GBP,https://finance.yahoo.com/quote/BTRW.L/financials
15998687,BTRW.L,2024,7875200000.0,GBP,https://finance.yahoo.com/quote/BTRW.L/financials
15998687,BTRW.L,2025,11549800000.0,GBP,https://finance.yahoo.com/quote/BTRW.L/financials
00102498,BP.L,2022,288120000000.0,USD,https://finance.yahoo.com/quote/BP.L/financials
00102498,BP.L,2023,280294000000.0,USD,https://finance.yahoo.com/quote/BP.L/financials
00102498,BP.L,2024,282228000000.0,USD,https://finance.yahoo.com/quote/BP.L/financials
00102498,BP.L,2025,278526000000.0,USD,https://finance.yahoo.com/quote/BP.L/financials
00040932,HLMA.L,2023,2788400000.0,GBP,https://finance.yahoo.com/quote/HLMA.L/financials
00040932,HLMA.L,2024,2999900000.0,GBP,https://finance.yahoo.com/quote/HLMA.L/financials
00040932,HLMA.L,2025,3258600000.0,GBP,https://finance.yahoo.com/quote/HLMA.L/financials
00040932,HLMA.L,2026,3712700000.0,GBP,https://finance.yahoo.com/quote/HLMA.L/financials
05134420,IHG.L,2022,4216000000.0,USD,https://finance.yahoo.com/quote/IHG.L/financials
05134420,IHG.L,2023,4813000000.0,USD,https://finance.yahoo.com/quote/IHG.L/financials
05134420,IHG.L,2024,4748000000.0,USD,https://finance.yahoo.com/quote/IHG.L/financials
05134420,IHG.L,2025,5345000000.0,USD,https://finance.yahoo.com/quote/IHG.L/financials
12215835,GSK.L,2022,60146000000.0,GBP,https://finance.yahoo.com/quote/GSK.L/financials
12215835,GSK.L,2023,59005000000.0,GBP,https://finance.yahoo.com/quote/GSK.L/financials
12215835,GSK.L,2024,59463000000.0,GBP,https://finance.yahoo.com/quote/GSK.L/financials
12215835,GSK.L,2025,61118000000.0,GBP,https://finance.yahoo.com/quote/GSK.L/financials
02128710,HWDN.L,2022,2032700000.0,GBP,https://finance.yahoo.com/quote/HWDN.L/financials
02128710,HWDN.L,2023,2064500000.0,GBP,https://finance.yahoo.com/quote/HWDN.L/financials
02128710,HWDN.L,2024,2237500000.0,GBP,https://finance.yahoo.com/quote/HWDN.L/financials
02128710,HWDN.L,2025,2354100000.0,GBP,https://finance.yahoo.com/quote/HWDN.L/financials
,CCH.L,2022,9855700000.0,EUR,https://finance.yahoo.com/quote/CCH.L/financials
,CCH.L,2023,9880800000.0,EUR,https://finance.yahoo.com/quote/CCH.L/financials
,CCH.L,2024,10653700000.0,EUR,https://finance.yahoo.com/quote/CCH.L/financials
,CCH.L,2025,11599300000.0,EUR,https://finance.yahoo.com/quote/CCH.L/financials
01417162,LGEN.L,2022,513270000000.0,GBP,https://finance.yahoo.com/quote/LGEN.L/financials
01417162,LGEN.L,2023,522095000000.0,GBP,https://finance.yahoo.com/quote/LGEN.L/financials
01417162,LGEN.L,2024,544167000000.0,GBP,https://finance.yahoo.com/quote/LGEN.L/financials
01417162,LGEN.L,2025,582268000000.0,GBP,https://finance.yahoo.com/quote/LGEN.L/financials
SC095000,LLOY.L,2022,873394000000.0,GBP,https://finance.yahoo.com/quote/LLOY.L/financials
