company_number,company_name,field,ftse_date,corporate_event,independent_source_type,independent_source_url,independent_event_date,offset_days,relation_to_ftse_date,verified_on
03771147,Allied Domecq,ftse_exit_date,2005-07-26,Acquisition of Allied Domecq by Pernod Ricard S.A.,sec_filing_6k,https://www.sec.gov/Archives/edgar/data/0000899108/000110465905034410/a05-13410_2ex99d1.htm,2005-07-26,0,"Scheme of Arrangement became effective 26 Jul 2005 after High Court hearings 22 and 25 Jul; FTSE removal same day",2026-09-15
11299879,ARM Holdings,ftse_exit_date,2016-09-05,Acquisition of ARM Holdings by SoftBank Group (Japan),acquirer_press_release,https://group.softbank/en/news/press/20160905,2016-09-05,0,"SoftBank announced completion 5 Sep 2016; FTSE removal same day; LSE delisting 6 Sep",2026-09-15
00432989,Meggitt,ftse_exit_date,2022-09-13,Cash acquisition of Meggitt by Parker-Hannifin Corp,acquirer_press_release,https://investors.parker.com/news-events/press-releases/detail/15/parker-completes-acquisition-of-meggitt-plc,2022-09-13,0,"Parker announced completion 13 Sep 2022 (SEC filings record closing 12 Sep); FTSE removal same day",2026-09-15
03299793,Gallaher Group,ftse_exit_date,2007-04-17,Acquisition of Gallaher Group by Japan Tobacco,news_archive,https://www.japantimes.co.jp/news/2007/04/19/business/jt-completes-gallaher-takeover/,2007-04-18,1,"Japan Tobacco completed the takeover 18 Apr 2007; FTSE removed the day before completion",2026-09-15
00191285,REXAM,ftse_exit_date,2016-06-27,Acquisition of Rexam by Ball Corp (USA),acquirer_press_release,https://investors.ball.com/news-presentations/press-releases/detail/302/ball-completes-acquisition-of-rexam-plc-and-sale-of-divestment-business,2016-06-30,3,"Ball announced completion 30 Jun 2016; FTSE removed 3 days ahead of completion",2026-09-15
03811373,Corus Group,ftse_exit_date,2007-03-30,Acquisition of Corus by Tata Steel,acquirer_press_release,https://www.tatasteel.com/media/newsroom/press-releases/india/2007/tata-steel-completes-62bn-acquisition-of-corus-group-plc/,2007-04-02,3,"Court sanctioned the Scheme 27 Mar and confirmed the capital reduction 30 Mar 2007; Scheme declared effective 2 Apr. FTSE removal matches the capital-reduction date",2026-09-15
02294747,Abbey National,ftse_exit_date,2004-11-16,Acquisition of Abbey National by Banco Santander Central Hispano,rns_announcement,https://www.investegate.co.uk/announcement/rns/banco-santander-s-a---bnc/acquisition-of-abbey-national-/641998,2004-11-12,4,"Santander RNS gave expected completion 12 Nov 2004; EU clearance M.3547 15 Sep 2004; FTSE removal 4 days after completion",2026-09-15
04191106,GKN,ftse_exit_date,2018-04-24,Acquisition of GKN by Melrose Industries,rns_announcement,https://www.investegate.co.uk/announcement/rns/melrose-industries--mro/confirmation-of-post-offer-undertaking/8108124,2018-04-19,5,"Melrose's final offer declared wholly unconditional 19 Apr 2018; FTSE removal 5 days later",2026-09-15
00073975,Ocean Group (now Exel),ftse_exit_date,2005-12-13,Acquisition of Exel by Deutsche Post,acquirer_press_release,https://www.dgap.de/dgap/News/corporate/deutsche-post-exel-acquisition-completed-update-guidance/?newsID=56050,2005-12-13,0,"Deutsche Post announced completion 14 Dec 2005 with transaction closing 13 Dec; FTSE removal matches the closing date. EU clearance IP/05/1472",2026-09-15
06072876,TUI Travel,ftse_exit_date,2014-12-17,Acquisition of TUI Travel by TUI AG,news_archive,https://www.cityam.com/tui-travel-completes-merger-tui-ag/,2014-12-17,0,"Merger completed 17 Dec 2014; TUI AG admitted to the LSE from 08:00 that day; FTSE removal same day",2026-09-15
08762327,Worldpay Group,ftse_exit_date,2018-01-15,Acquisition of Worldpay Group by Vantiv (USA),sec_filing_8k,https://www.sec.gov/Archives/edgar/data/0001533932/000119312518005918/d470749dex991.htm,2018-01-16,1,"Scheme approved at Court Meeting 8 Jan 2018; completion 16 Jan 2018; FTSE removal the day before completion",2026-09-15
00147271,BPB,ftse_exit_date,2005-12-08,Acquisition of BPB by Saint-Gobain,acquirer_press_release,https://www.saint-gobain.com/en/news/cash-offer-bpb-plc-bpb-clearance-european-commission,2005-12-02,6,"Offer became unconditional as to acceptances 2 Dec 2005; EU clearance IP/05/1401; FTSE removal 6 days later",2026-09-15
