symbol,cik,fiscal_year,value,source_url
AAL,0000006201,2014,113300,
AMD,0000002488,2009,10400,
AMD,0000002488,2010,11100,
AMD,0000002488,2011,11100,
UAL,0000100517,2011,87000,
AMD,0000002488,2012,10340,
CBRE,0001138118,2012,37000,
EQT,0000033213,2012,1873,
CBRE,0001138118,2013,44000,
ABBV,0001551152,2014,26000,
EME,0000105634,2011,25000,
AAL,0000006201,2015,118500,
ABBV,0001551152,2015,28000,
TROW,0001113169,2009,4802,
IBKR,0001381197,2017,1228,
IBKR,0001381197,2014,960,
IBKR,0001381197,2015,1087,
IBKR,0001381197,2016,1204,
RIG,0001451505,2015,9100,
ABBV,0001551152,2016,30000,
LHX,0000202058,2026,45000,
RIG,0001451505,2016,5400,
ABBV,0001551152,2017,29000,
AMD,0000002488,2017,8900,
AAL,0000006201,2018,128900,
ABBV,0001551152,2018,30000,
AMD,0000002488,2018,10100,
HII,0001501585,2018,40000,
AAL,0000006201,2019,133700,
ABBV,0001551152,2019,30000,
AMD,0000002488,2019,11400,
DOW,0001751788,2019,36500,
HII,0001501585,2019,42000,
LW,0001679273,2019,7600,
ABBV,0001551152,2020,47000,
AMD,0000002488,2020,12600,
DOW,0001751788,2020,35700,
HII,0001501585,2020,42000,
LW,0001679273,2020,7700,
ABBV,0001551152,2021,50000,
AMD,0000002488,2021,15500,
DOW,0001751788,2021,35700,
FTV,0001659166,2021,18000,
HII,0001501585,2021,44000,
LW,0001679273,2021,7800,
ABBV,0001551152,2022,50000,
AMD,0000002488,2022,25000,
FTV,0001659166,2022,18000,
HII,0001501585,2022,43000,
LW,0001679273,2022,8000,
STE,0001757898,2022,3700,
ABBV,0001551152,2023,50000,
DXC,0001688568,2023,130000,
HII,0001501585,2023,44000,
LDOS,0001336920,2023,47000,
LW,0001679273,2023,10200,
ABBV,0001551152,2024,55000,
HII,0001501585,2024,44000,
LW,0001679273,2024,10700,
ABBV,0001551152,2025,57000,
HII,0001501585,2025,44000,
LDOS,0001336920,2025,48000,
LW,0001679273,2025,10100,
LDOS,0001336920,2026,47000,
ADBE,0000796343,2007,6959,
IQV,0001478242,2017,55000,
IQV,0001478242,2018,58000,
IQV,0001478242,2019,67000,
IQV,0001478242,2020,70000,
IQV,0001478242,2021,79000,
IQV,0001478242,2022,86000,
IQV,0001478242,2023,87000,
IQV,0001478242,2024,88000,
IQV,0001478242,2025,93000,
PKG,0000075677,2011,8300,
PKG,0000075677,2013,13600,
AAL,0000006201,2016,122300,
AAL,0000006201,2017,126600,
AAPL,0000320193,2008,32000,
ATI,0001018963,2014,9700,
URI,0001067701,2007,10900,
WTW,0001140536,2019,45000,
CSX,0000277948,2017,24000,
CSX,0000277948,2018,22500,
ABBV,0001551152,2013,25000,
