symbol,cik,fiscal_year,value,source_url
FHN,0000036966,2020,4985641808,
FHN,0000036966,2021,7715459326,
SYY,0000096021,2022,41673125643,
KG,0002055116,2024,4647493,
ABX,0001814287,2020,11792371544,
ABX,0001814287,2021,11467065040,
CCB,0001437958,2021,359435130,
CCB,0001437958,2022,625417705,
CCB,0001437958,2023,590845695,
CCB,0001437958,2024,1268156153,
MRSH,0000062709,2010,14790940000,
MRSH,0000062709,2012,18786150000,
MRSH,0000062709,2014,30909600000,
USB,0000036104,2021,84255000000,
USBC,0001074828,2013,14873731,
USBC,0001074828,2014,89692,
USBC,0001074828,2015,6473550,
USBC,0001074828,2016,1743552,
USBC,0001074828,2021,124425579,
USBC,0001074828,2023,20089616,
USBC,0001074828,2024,783709,
SYY,0000096021,2015,22916240474,
SYY,0000096021,2016,28983502388,
KEY,0000091576,2009,3869210250,
AMG,0001004434,2009,3084293250,
SYY,0000096021,2017,27228141490,
SYY,0000096021,2018,35594191452,
SYY,0000096021,2019,35917254451,
KEY,0000091576,2010,6243564707,
KEY,0000091576,2011,8109118735,
KEY,0000091576,2012,7523599178,
KEY,0000091576,2013,8536454129,
TFC,0000092230,2009,17498957500,
TFC,0000092230,2010,18255276490,
TFC,0000092230,2011,17547089310,
TFC,0000092230,2012,20369082080,
TFC,0000092230,2013,26371058400,
TFC,0000092230,2014,28027945220,
MRSH,0000062709,2013,26452920000,
FNMA,0000310522,2012,301100272,
FNMA,0000310522,2013,3485822778,
FNMA,0000310522,2014,2385650465,
FNMA,0000310522,2015,1899255710,
FNMA,0000310522,2016,4516522725,
FNMA,0000310522,2017,3068932053,
FNMA,0000310522,2018,1227572821,
FNMA,0000310522,2019,3613233209,
FNMA,0000310522,2020,2767829285,
FNMA,0000310522,2021,949631805,
FNMA,0000310522,2022,405330648,
FNMA,0000310522,2023,1239153697,
ALL,0000899051,2009,16131480000,
POOL,0000945841,2016,4287301385,
TKR,0000098362,2018,2827650377,
KEY,0000091576,2016,8815645252,
TXN,0000097476,2009,32835600000,
FNMA,0000310522,2009,1313762500,
UNP,0000100885,2020,139788780179,
UNP,0000100885,2021,160943378396,
UNP,0000100885,2024,137791176930,
C,0000831001,2015,142439318958,
C,0000831001,2016,125530956115,
C,0000831001,2017,154688702396,
CVX,0000093410,2019,222212339782,
CVX,0000093410,2020,206331065949,
CVX,0000093410,2021,178228378205,
CVX,0000093410,2022,264945157190,
CVX,0000093410,2023,327890735347,
CVX,0000093410,2024,280521933926,
SWK,0000093556,2010,4145453922,
SWK,0000093556,2011,11427574564,
SWK,0000093556,2016,17497079677,
SWK,0000093556,2017,26138713480,
SWK,0000093556,2018,17979270134,
SWK,0000093556,2019,25466713253,
SWK,0000093556,2021,28703923903,
SWK,0000093556,2022,11492122774,
SWK,0000093556,2023,15070130633,
SWK,0000093556,2024,12439370941,
MS,0000895421,2015,61075200000,
MS,0000895421,2016,78247000000,
