symbol,cik,fiscal_year,value,source_url
AFL,0000004977,2000,687000000,https://www.sec.gov/Archives/edgar/data/4977/0000004977-01-500045.txt
AON,0000315293,2000,474000000,https://www.sec.gov/Archives/edgar/data/315293/0000948572-01-000011.txt
NTAP,0001002047,2000,73792000000,
FHN,0000036966,2020,845000000,https://www.sec.gov/Archives/edgar/data/36966/000003696621000012/0000036966-21-000012-index.htm
FHN,0000036966,2021,999000000,https://www.sec.gov/Archives/edgar/data/36966/000003696622000015/0000036966-22-000015-index.htm
CBRE,0001138118,2001,17426000,
CBRE,0001138118,2002,18727000,
CBRE,0001138118,2003,17426000,
SYY,0000096021,2022,1359000000,https://www.sec.gov/Archives/edgar/data/96021/000009602122000151/0000096021-22-000151-index.htm
SGP,0001778922,2024,-29164000,
SGP,0001778922,2025,-39869000,https://www.sec.gov/Archives/edgar/data/1778922/000177892226000020/0001778922-26-000020-index.htm
ABX,0001814287,2021,15839365,https://www.sec.gov/Archives/edgar/data/1814287/000156459022023957/0001564590-22-023957-index.htm
CCB,0001437958,2021,27005000,https://www.sec.gov/Archives/edgar/data/1437958/000156459022009970/0001564590-22-009970-index.htm
CCB,0001437958,2022,40625000,https://www.sec.gov/Archives/edgar/data/1437958/000143795823000051/0001437958-23-000051-index.htm
CCB,0001437958,2023,44579000,https://www.sec.gov/Archives/edgar/data/1437958/000143795824000052/0001437958-24-000052-index.htm
CCB,0001437958,2024,45219000,https://www.sec.gov/Archives/edgar/data/1437958/000143795825000058/0001437958-25-000058-index.htm
MRSH,0000062709,2010,855000000,https://www.sec.gov/Archives/edgar/data/62709/000119312511047795/0001193125-11-047795-index.htm
L,0000060086,2001,188100000,
MRSH,0000062709,2012,1176000000,https://www.sec.gov/Archives/edgar/data/62709/000006270913000004/0000062709-13-000004-index.htm
MRSH,0000062709,2014,1465000000,https://www.sec.gov/Archives/edgar/data/62709/000006270915000005/0000062709-15-000005-index.htm
USBC,0001074828,2009,-950609,
CAH,0000721371,2007,1931100000,
USB,0000036104,2021,7963000000,https://www.sec.gov/Archives/edgar/data/36104/000119312522048709/0001193125-22-048709-index.htm
USBC,0001074828,2013,-6621894,https://www.sec.gov/Archives/edgar/data/1074828/000119983514000015/0001199835-14-000015-index.htm
USBC,0001074828,2014,-1017281,https://www.sec.gov/Archives/edgar/data/1074828/000119983515000005/0001199835-15-000005-index.htm
USBC,0001074828,2015,-2631037,https://www.sec.gov/Archives/edgar/data/1074828/000119983515000496/0001199835-15-000496-index.htm
USBC,0001074828,2016,-1746495,https://www.sec.gov/Archives/edgar/data/1074828/000165495417000244/0001654954-17-000244-index.htm
ANTM,0001156039,2003,935200000,https://www.sec.gov/Archives/edgar/data/1156039/000119312504030877/d10k.htm
USBC,0001074828,2021,-25360213,https://www.sec.gov/Archives/edgar/data/1074828/000165495421013414/0001654954-21-013414-index.htm
USBC,0001074828,2023,-15289167,https://www.sec.gov/Archives/edgar/data/1074828/000165495423015760/0001654954-23-015760-index.htm
USBC,0001074828,2024,-16581558,https://www.sec.gov/Archives/edgar/data/1074828/000165495424014480/0001654954-24-014480-index.htm
KEY,0000091576,2009,-1335000000,https://www.sec.gov/Archives/edgar/data/91576/000095012310018789/0000950123-10-018789-index.htm
USBC,0001074828,2025,-22123349,https://www.sec.gov/Archives/edgar/data/1074828/000165495425014138/0001654954-25-014138-index.htm
AMG,0001004434,2009,59500000,
JNY,0000874016,2003,360100000,https://www.sec.gov/Archives/edgar/data/874016/000087401604000008/form10k2003.htm
KEY,0000091576,2010,554000000,https://www.sec.gov/Archives/edgar/data/91576/000095012311017655/0000950123-11-017655-index.htm
KEY,0000091576,2011,920000000,https://www.sec.gov/Archives/edgar/data/91576/000119312512081648/0001193125-12-081648-index.htm
KEY,0000091576,2012,858000000,https://www.sec.gov/Archives/edgar/data/91576/000119312513076993/0001193125-13-076993-index.htm
KEY,0000091576,2013,910000000,https://www.sec.gov/Archives/edgar/data/91576/000119312514069018/0001193125-14-069018-index.htm
RSHCQ,0000096289,2001,166700000,
RSHCQ,0000096289,2005,267000000,
RSHCQ,0000096289,2006,73400000,
TFC,0000092230,2009,877000000,
PLL,0000075829,2003,103202000000,
TFC,0000092230,2010,854000000,
TFC,0000092230,2011,1332000000,
TFC,0000092230,2012,2028000000,
TFC,0000092230,2013,1730000000,
TFC,0000092230,2014,2206000000,
QCOM,0000804328,2003,335746000000,
ALTR,0000768251,2004,275111000000,https://www.sec.gov/Archives/edgar/data/768251/000119312505047783/dex131.htm
MRSH,0000062709,2013,1357000000,https://www.sec.gov/Archives/edgar/data/62709/000006270914000008/0000062709-14-000008-index.htm
FNMA,0000310522,2012,17224000000,https://www.sec.gov/Archives/edgar/data/310522/000031052213000065/0000310522-13-000065-index.htm
FNMA,0000310522,2013,83963000000,https://www.sec.gov/Archives/edgar/data/310522/000031052214000067/0000310522-14-000067-index.htm
FNMA,0000310522,2014,14208000000,https://www.sec.gov/Archives/edgar/data/310522/000031052215000081/0000310522-15-000081-index.htm
FNMA,0000310522,2015,10954000000,https://www.sec.gov/Archives/edgar/data/310522/000031052216000453/0000310522-16-000453-index.htm
FNMA,0000310522,2016,12313000000,https://www.sec.gov/Archives/edgar/data/310522/000031052217000096/0000310522-17-000096-index.htm
HMA,0000792985,2004,325099000,https://www.sec.gov/Archives/edgar/data/792985/000120677404001740/d15889.htm
FNMA,0000310522,2017,2463000000,https://www.sec.gov/Archives/edgar/data/310522/000031052218000107/0000310522-18-000107-index.htm
FNMA,0000310522,2018,15959000000,https://www.sec.gov/Archives/edgar/data/310522/000031052219000116/0000310522-19-000116-index.htm
FNMA,0000310522,2019,14160000000,https://www.sec.gov/Archives/edgar/data/310522/000031052220000121/0000310522-20-000121-index.htm
FNMA,0000310522,2020,11805000000,https://www.sec.gov/Archives/edgar/data/310522/000031052221000156/0000310522-21-000156-index.htm
FNMA,0000310522,2021,22176000000,https://www.sec.gov/Archives/edgar/data/310522/000031052222000174/0000310522-22-000174-index.htm
FNMA,0000310522,2022,12923000000,https://www.sec.gov/Archives/edgar/data/310522/000031052223000184/0000310522-23-000184-index.htm
FNMA,0000310522,2023,17408000000,https://www.sec.gov/Archives/edgar/data/310522/000031052224000184/0000310522-24-000184-index.htm
ALL,0000899051,2009,854000000,
TKR,0000098362,2004,135656000000,
TKR,0000098362,2005,260281000000,
POOL,0000945841,2016,148955000,https://www.sec.gov/Archives/edgar/data/945841/000094584117000028/0000945841-17-000028-index.htm
FMCC,0001026214,2025,10731000000,https://www.sec.gov/Archives/edgar/data/1026214/000102621426000021/0001026214-26-000021-index.htm
