symbol,cik,fiscal_year,value,source_url
AFL,0000004977,2000,9720000000,https://www.sec.gov/Archives/edgar/data/4977/0000004977-01-500045.txt
AON,0000315293,2000,4367000000,https://www.sec.gov/Archives/edgar/data/315293/0000948572-01-000011.txt
SYY,0000096021,2022,68636000000,https://www.sec.gov/Archives/edgar/data/96021/000009602122000151/0000096021-22-000151-index.htm
SYY,0000096021,2015,48680752000,
SYY,0000096021,2016,50366919000,
SYY,0000096021,2017,55371139000,
SYY,0000096021,2018,58727324000,
SYY,0000096021,2019,60113922000,https://www.sec.gov/Archives/edgar/data/96021/000009602119000093/0000096021-19-000093-index.htm
ALL,0000899051,2009,32013000000,https://www.sec.gov/Archives/edgar/data/899051/000104746910001355/0001047469-10-001355-index.htm
POOL,0000945841,2016,2570803000,https://www.sec.gov/Archives/edgar/data/945841/000094584117000028/0000945841-17-000028-index.htm
TKR,0000098362,2018,3580800000,https://www.sec.gov/Archives/edgar/data/98362/000009836219000038/0000098362-19-000038-index.htm
SXCL,0000709804,2002,762397000,
SXCL,0000709804,2003,595065000,
SXCL,0000709804,2005,718009000,
SXCL,0000709804,2006,310145000,
KEY,0000091576,2016,5024000000,https://www.sec.gov/Archives/edgar/data/91576/000009157617000013/0000091576-17-000013-index.htm
HCR,0000878736,2005,3417290000,https://www.sec.gov/Archives/edgar/data/878736/000095015206001700/l17957ae10vk.htm
TXN,0000097476,2009,10427000000,https://www.sec.gov/Archives/edgar/data/97476/000114036110007923/0001140361-10-007923-index.htm
APD,0000002969,2025,12037300000,https://www.sec.gov/Archives/edgar/data/2969/000000296925000055/0000002969-25-000055-index.htm
CAR,0000723612,2008,5984000000,
SPG,0001063761,2005,741969000000,
BIO,0000012208,2025,2583200000,https://www.sec.gov/Archives/edgar/data/12208/000001220826000010/0000012208-26-000010-index.htm
C,0000831001,2008,106499000000,
UNP,0000100885,2020,19533000000,https://www.sec.gov/Archives/edgar/data/100885/000010088521000068/0000100885-21-000068-index.htm
UNP,0000100885,2021,21804000000,https://www.sec.gov/Archives/edgar/data/100885/000143774922002494/0001437749-22-002494-index.htm
UNP,0000100885,2024,24250000000,https://www.sec.gov/Archives/edgar/data/100885/000010088525000042/0000100885-25-000042-index.htm
UNP,0000100885,2025,24510000000,https://www.sec.gov/Archives/edgar/data/100885/000010088526000037/0000100885-26-000037-index.htm
BNY,0001390777,2025,20080000000,https://www.sec.gov/Archives/edgar/data/1390777/000139077726000033/0001390777-26-000033-index.htm
C,0000831001,2015,76354000000,https://www.sec.gov/Archives/edgar/data/831001/000083100116000235/0000831001-16-000235-index.htm
C,0000831001,2016,70797000000,https://www.sec.gov/Archives/edgar/data/831001/000083100117000038/0000831001-17-000038-index.htm
C,0000831001,2017,72444000000,https://www.sec.gov/Archives/edgar/data/831001/000083100118000040/0000831001-18-000040-index.htm
CAH,0000721371,2006,141300000,https://www.sec.gov/Archives/edgar/data/721371/000119312506184453/d10k.htm
NRTLQ,0000072911,2001,17511000000,
SYY,0000096021,2025,81370000000,https://www.sec.gov/Archives/edgar/data/96021/000009602125000099/0000096021-25-000099-index.htm
CNX,0001070412,2025,2239134000,https://www.sec.gov/Archives/edgar/data/1070412/000107041226000038/0001070412-26-000038-index.htm
OMX,0000012978,2003,12864790000,
AVY,0000008818,2025,8855500000,https://www.sec.gov/Archives/edgar/data/8818/000000881826000015/0000008818-26-000015-index.htm
CAT,0000018230,2025,67589000000,https://www.sec.gov/Archives/edgar/data/18230/000001823026000008/0000018230-26-000008-index.htm
CVX,0000093410,2019,139865000000,https://www.sec.gov/Archives/edgar/data/93410/000009341020000010/0000093410-20-000010-index.htm
CVX,0000093410,2020,94471000000,https://www.sec.gov/Archives/edgar/data/93410/000009341021000009/0000093410-21-000009-index.htm
CVX,0000093410,2021,155606000000,https://www.sec.gov/Archives/edgar/data/93410/000009341022000019/0000093410-22-000019-index.htm
CVX,0000093410,2022,235717000000,https://www.sec.gov/Archives/edgar/data/93410/000009341023000009/0000093410-23-000009-index.htm
CVX,0000093410,2023,196913000000,https://www.sec.gov/Archives/edgar/data/93410/000009341024000013/0000093410-24-000013-index.htm
CVX,0000093410,2024,193414000000,https://www.sec.gov/Archives/edgar/data/93410/000009341025000009/0000093410-25-000009-index.htm
CVX,0000093410,2025,184432000000,https://www.sec.gov/Archives/edgar/data/93410/000009341026000078/0000093410-26-000078-index.htm
