symbol,cik,fiscal_year,value,source_url
FHN,0000036966,2020,311602613,https://www.sec.gov/Archives/edgar/data/36966/000003696621000012/0000036966-21-000012-index.htm
FHN,0000036966,2021,555468634,https://www.sec.gov/Archives/edgar/data/36966/000003696622000015/0000036966-22-000015-index.htm
SYY,0000096021,2022,506110343,https://www.sec.gov/Archives/edgar/data/96021/000009602122000151/0000096021-22-000151-index.htm
KG,0002055116,2024,2749996,
ABX,0001814287,2020,1161810048,
SGP,0001778922,2025,33426557,https://www.sec.gov/Archives/edgar/data/1778922/000177892226000020/0001778922-26-000020-index.htm
ABX,0001814287,2021,1161810048,
CCB,0001437958,2021,11981171,https://www.sec.gov/Archives/edgar/data/1437958/000156459022009970/0001564590-22-009970-index.htm
CCB,0001437958,2022,13161147,https://www.sec.gov/Archives/edgar/data/1437958/000143795823000051/0001437958-23-000051-index.htm
CCB,0001437958,2023,13304339,https://www.sec.gov/Archives/edgar/data/1437958/000143795824000052/0001437958-24-000052-index.htm
CCB,0001437958,2024,14935298,https://www.sec.gov/Archives/edgar/data/1437958/000143795825000058/0001437958-25-000058-index.htm
MRSH,0000062709,2010,541000000,https://www.sec.gov/Archives/edgar/data/62709/000119312511047795/0001193125-11-047795-index.htm
MRSH,0000062709,2012,545000000,https://www.sec.gov/Archives/edgar/data/62709/000006270913000004/0000062709-13-000004-index.htm
MRSH,0000062709,2014,540000000,https://www.sec.gov/Archives/edgar/data/62709/000006270915000005/0000062709-15-000005-index.htm
USB,0000036104,2021,1500000000,https://www.sec.gov/Archives/edgar/data/36104/000119312522048709/0001193125-22-048709-index.htm
USBC,0001074828,2013,165263674,https://www.sec.gov/Archives/edgar/data/1074828/000119983514000015/0001199835-14-000015-index.htm
USBC,0001074828,2014,1121150,https://www.sec.gov/Archives/edgar/data/1074828/000119983515000005/0001199835-15-000005-index.htm
USBC,0001074828,2015,1155991,https://www.sec.gov/Archives/edgar/data/1074828/000119983515000496/0001199835-15-000496-index.htm
USBC,0001074828,2016,2356152,https://www.sec.gov/Archives/edgar/data/1074828/000165495417000244/0001654954-17-000244-index.htm
USBC,0001074828,2021,33719669,https://www.sec.gov/Archives/edgar/data/1074828/000165495421013414/0001654954-21-013414-index.htm
USBC,0001074828,2023,80358463,https://www.sec.gov/Archives/edgar/data/1074828/000165495423015760/0001654954-23-015760-index.htm
USBC,0001074828,2024,2702444,https://www.sec.gov/Archives/edgar/data/1074828/000165495424014480/0001654954-24-014480-index.htm
SYY,0000096021,2015,594917977,https://www.sec.gov/Archives/edgar/data/96021/000009602115000057/0000096021-15-000057-index.htm
SYY,0000096021,2016,555133162,https://www.sec.gov/Archives/edgar/data/96021/000009602116000275/0000096021-16-000275-index.htm
KEY,0000091576,2009,697155000,https://www.sec.gov/Archives/edgar/data/91576/000095012310018789/0000950123-10-018789-index.htm
USBC,0001074828,2025,388144429,https://www.sec.gov/Archives/edgar/data/1074828/000165495426002725/0001654954-26-002725-index.htm
AMG,0001004434,2009,45795000,
SYY,0000096021,2017,527881766,https://www.sec.gov/Archives/edgar/data/96021/000009602117000120/0000096021-17-000120-index.htm
SYY,0000096021,2018,519774992,https://www.sec.gov/Archives/edgar/data/96021/000009602118000126/0000096021-18-000126-index.htm
SYY,0000096021,2019,513176946,https://www.sec.gov/Archives/edgar/data/96021/000009602119000093/0000096021-19-000093-index.htm
KEY,0000091576,2010,878138496,https://www.sec.gov/Archives/edgar/data/91576/000095012311017655/0000950123-11-017655-index.htm
KEY,0000091576,2011,880468918,https://www.sec.gov/Archives/edgar/data/91576/000119312512081648/0001193125-12-081648-index.htm
KEY,0000091576,2012,953561366,https://www.sec.gov/Archives/edgar/data/91576/000119312513076993/0001193125-13-076993-index.htm
KEY,0000091576,2013,923858672,https://www.sec.gov/Archives/edgar/data/91576/000119312514069018/0001193125-14-069018-index.htm
TFC,0000092230,2009,689750000,https://www.sec.gov/Archives/edgar/data/92230/000119312510042975/0001193125-10-042975-index.htm
TFC,0000092230,2010,694381000,https://www.sec.gov/Archives/edgar/data/92230/000119312511047405/0001193125-11-047405-index.htm
TFC,0000092230,2011,697143000,https://www.sec.gov/Archives/edgar/data/92230/000119312512081457/0001193125-12-081457-index.htm
TFC,0000092230,2012,699728000,https://www.sec.gov/Archives/edgar/data/92230/000009223013000023/0000092230-13-000023-index.htm
TFC,0000092230,2013,706620000,https://www.sec.gov/Archives/edgar/data/92230/000009223014000014/0000092230-14-000014-index.htm
TFC,0000092230,2014,720698000,https://www.sec.gov/Archives/edgar/data/92230/000009223015000021/0000092230-15-000021-index.htm
MRSH,0000062709,2013,547000000,https://www.sec.gov/Archives/edgar/data/62709/000006270914000008/0000062709-14-000008-index.htm
FNMA,0000310522,2012,1158077970,https://www.sec.gov/Archives/edgar/data/310522/000031052213000065/0000310522-13-000065-index.htm
FNMA,0000310522,2013,1158080657,https://www.sec.gov/Archives/edgar/data/310522/000031052214000067/0000310522-14-000067-index.htm
FNMA,0000310522,2014,1158082750,https://www.sec.gov/Archives/edgar/data/310522/000031052215000081/0000310522-15-000081-index.htm
FNMA,0000310522,2015,1158082750,https://www.sec.gov/Archives/edgar/data/310522/000031052216000453/0000310522-16-000453-index.htm
FNMA,0000310522,2016,1158082750,https://www.sec.gov/Archives/edgar/data/310522/000031052217000096/0000310522-17-000096-index.htm
FNMA,0000310522,2017,1158087567,https://www.sec.gov/Archives/edgar/data/310522/000031052218000107/0000310522-18-000107-index.htm
FNMA,0000310522,2018,1158087567,https://www.sec.gov/Archives/edgar/data/310522/000031052219000116/0000310522-19-000116-index.htm
FNMA,0000310522,2019,1158087567,https://www.sec.gov/Archives/edgar/data/310522/000031052220000121/0000310522-20-000121-index.htm
FNMA,0000310522,2020,1158087567,https://www.sec.gov/Archives/edgar/data/310522/000031052221000156/0000310522-21-000156-index.htm
FNMA,0000310522,2021,1158087567,https://www.sec.gov/Archives/edgar/data/310522/000031052222000174/0000310522-22-000174-index.htm
FNMA,0000310522,2022,1158087567,https://www.sec.gov/Archives/edgar/data/310522/000031052223000184/0000310522-23-000184-index.htm
FNMA,0000310522,2023,1158087567,https://www.sec.gov/Archives/edgar/data/310522/000031052224000184/0000310522-24-000184-index.htm
ALL,0000899051,2009,537000000,https://www.sec.gov/Archives/edgar/data/899051/000104746910001355/0001047469-10-001355-index.htm
POOL,0000945841,2016,41089720,https://www.sec.gov/Archives/edgar/data/945841/000094584117000028/0000945841-17-000028-index.htm
FMCC,0001026214,2025,650059553,https://www.sec.gov/Archives/edgar/data/1026214/000102621426000021/0001026214-26-000021-index.htm
TKR,0000098362,2018,75767695,https://www.sec.gov/Archives/edgar/data/98362/000009836219000038/0000098362-19-000038-index.htm
KEY,0000091576,2016,835606185,https://www.sec.gov/Archives/edgar/data/91576/000009157617000013/0000091576-17-000013-index.htm
TXN,0000097476,2009,1260000000,https://www.sec.gov/Archives/edgar/data/97476/000114036110007923/0001140361-10-007923-index.htm
APD,0000002969,2025,222590241,https://www.sec.gov/Archives/edgar/data/2969/000000296925000055/0000002969-25-000055-index.htm
FNMA,0000310522,2009,1113358051,https://www.sec.gov/Archives/edgar/data/310522/000095012310018235/0000950123-10-018235-index.htm
UNP,0000100885,2020,671351360,https://www.sec.gov/Archives/edgar/data/100885/000010088521000068/0000100885-21-000068-index.htm
UNP,0000100885,2021,638841656,https://www.sec.gov/Archives/edgar/data/100885/000143774922002494/0001437749-22-002494-index.htm
UNP,0000100885,2024,604241260,https://www.sec.gov/Archives/edgar/data/100885/000010088525000042/0000100885-25-000042-index.htm
