symbol,company_name,cik,sector,sub_industry,hq,founded,sp_entry_date,sp_exit_date
A,Agilent Technologies,0001090872,Health Care,Life Sciences Tools & Services,"Santa Clara, California",1999,2000-06-05,
AABA,,0001011006,Financials,,,,1999-12-08,2017-06-19
AAL,American Airlines Group Inc.,0000006201,Industrials,,,,1996-01-02,2024-09-23
AAMRQ,American Airlines Group Inc.,0000006201,Industrials,,,,1996-01-02,2024-09-23
AAP,ADVANCE AUTO PARTS INC,0001158449,Consumer Discretionary,,,,2015-07-09,2023-08-25
AAPL,Apple Inc.,0000320193,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,1996-01-02,
ABBV,AbbVie,0001551152,Health Care,Biotechnology,"North Chicago, Illinois",2013 (1888),2013-01-02,
ABC,Cencora,0001140859,Health Care,Health Care Distributors,"Conshohocken, Pennsylvania",1985,2001-08-30,2023-08-30
ABI,,0000077551,Health Care,,,,1996-01-02,2008-11-24
ABKFQ,,0000874501,Financials,,,,2000-12-11,2008-06-11
ABMD,,0000815094,Health Care,,,,2018-05-31,2022-12-22
ABNB,Airbnb,0001559720,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","San Francisco, California",2008,2023-09-18,
ABS,,0000003333,Consumer Staples,,,,1996-01-02,2006-06-02
ABT,Abbott Laboratories,0000001800,Health Care,Health Care Equipment,"North Chicago, Illinois",1888,1996-01-02,
ABX,"Abacus Global Management, Inc.",0001814287,Financials,,,,1996-01-02,2002-07-22
ACAS,,0000817473,,,,,2007-07-09,2009-03-04
ACGL,Arch Capital Group,0000947484,Financials,Property & Casualty Insurance,"Hamilton, Bermuda",1995,2022-11-01,
ACKH,,0000007431,Materials,,,,1996-01-02,2000-11-17
ACN,Accenture,0001467373,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",1989,2011-07-06,
ACS,,0000002135,Information Technology,,,,2004-04-02,2010-02-08
ADBE,Adobe Inc.,0000796343,Information Technology,Application Software,"San Jose, California",1982,1997-05-06,
ADCT,ADC Therapeutics SA,0001771910,Health Care,,,,1999-08-02,2007-07-02
ADI,Analog Devices,0000006281,Information Technology,Semiconductors,"Wilmington, Massachusetts",1965,1999-10-12,
ADM,Archer Daniels Midland,0000007084,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1902,1996-01-02,
ADP,Automatic Data Processing,0000008670,Industrials,Human Resource & Employment Services,"Roseland, New Jersey",1949,1996-01-02,
ADS,,0001101215,Financials,,,,2013-12-23,2020-06-22
ADSK,Autodesk,0000769397,Information Technology,Application Software,"San Francisco, California",1982,1996-01-02,
ADT,ADT Inc.,0001703056,Industrials,,,,2012-10-02,2016-05-02
AEE,Ameren,0001002910,Utilities,Multi-Utilities,"St. Louis, Missouri",1902,1996-01-02,
AEP,American Electric Power,0000004904,Utilities,Electric Utilities,"Columbus, Ohio",1906,1996-01-02,
AES,AES Corporation,0000874761,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",1981,1998-10-02,
AET,,0001122304,Health Care,,,,1996-01-02,2018-11-29
AFL,Aflac,0000004977,Financials,Life & Health Insurance,"Columbus, Georgia",1955,1999-05-28,
AGN,,0000850693,Health Care,,,,1996-01-02,2020-05-12
AIG,American International Group,0000005272,Financials,Multi-line Insurance,"New York City, New York",1919,1996-01-02,
AIT,APPLIED INDUSTRIAL TECHNOLOGIES INC,0000109563,Industrials,,,,1996-01-02,1999-10-11
AIV,APARTMENT INVESTMENT & MANAGEMENT CO,0000922864,Real Estate,,,,2003-03-14,2020-12-21
AIZ,Assurant,0001267238,Financials,Multi-line Insurance,"Atlanta, Georgia",1892,2007-04-10,
AJG,Arthur J. Gallagher & Co.,0000354190,Financials,Insurance Brokers,"Rolling Meadows, Illinois",1927,2016-05-31,
AKAM,Akamai Technologies,0001086222,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",1998,2007-07-12,
AKS,,0000918160,Materials,,,,2008-07-01,2011-12-19
AL,,0000004285,Materials,,,,1996-01-02,2002-07-22
ALB,Albemarle Corporation,0000915913,Materials,Specialty Chemicals,"Charlotte, North Carolina",1994,2016-07-01,
ALGN,Align Technology,0001097149,Health Care,Health Care Supplies,"Tempe, Arizona",1997,2017-06-19,
ALK,"ALASKA AIR GROUP, INC.",0000766421,Industrials,,,,2016-05-13,2023-10-18
ALL,Allstate,0000899051,Financials,Property & Casualty Insurance,"Northbrook, Illinois",1931,1996-01-02,
ALLE,Allegion,0001579241,Industrials,Building Products,"Dublin, Ireland",1908,2013-12-02,
ALTR,,0000768251,Information Technology,,,,2000-04-18,2015-12-28
ALXN,,0000899866,Health Care,,,,2012-05-25,2021-07-21
AM,Antero Midstream Corp,0001623925,Energy,,,,1996-01-02,2004-05-03
AMAT,Applied Materials,0000006951,Information Technology,Semiconductor Materials & Equipment,"Santa Clara, California",1967,1996-01-02,
AMCC,,0000711065,Information Technology,,,,2001-01-02,2006-05-18
AMCR,Amcor,0001748790,Materials,Paper & Plastic Packaging Products & Materials,"Warmley, Bristol, United Kingdom",2019 (1860),2019-06-07,
AMD,Advanced Micro Devices,0000002488,Information Technology,Semiconductors,"Santa Clara, California",1969,1996-01-02,2013-09-23
AME,Ametek,0001037868,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",1930,2013-09-23,
AMG,"AFFILIATED MANAGERS GROUP, INC.",0001004434,Financials,,,,2014-07-01,2019-12-23
AMGN,Amgen,0000318154,Health Care,Biotechnology,"Thousand Oaks, California",1980,1996-01-02,
AMH,American Homes 4 Rent,0001562401,Real Estate,,,,1996-01-02,1997-09-15
AMP,Ameriprise Financial,0000820027,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",1894,1996-01-02,1999-04-05
AMT,American Tower,0001053507,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",1995,2007-11-19,
AMTM,"Amentum Holdings, Inc.",0002011286,Industrials,,,,2024-09-30,2024-12-23
AMZN,Amazon,0001018724,Consumer Discretionary,Broadline Retail,"Seattle, Washington",1994,2005-11-21,
AN,"AUTONATION, INC.",0000350698,Consumer Discretionary,,,,1996-01-02,2017-08-08
ANDV,,0000050104,Energy,,,,2007-09-27,2018-10-01
ANDW,,0000317093,Materials,,,,1996-01-02,2006-10-02
ANET,Arista Networks,0001596532,Information Technology,Communications Equipment,"Santa Clara, California",2004,2018-08-28,
ANF,ABERCROMBIE & FITCH CO /DE/,0001018840,Consumer Discretionary,,,,2007-03-29,2013-12-23
ANRZQ,,0001301063,Energy,,,,2011-06-02,2012-10-02
ANSS,,0001013462,Information Technology,,,,2017-06-19,2025-07-18
ANTM,Elevance Health,0001156039,Health Care,Managed Health Care,"Indianapolis, Indiana",2014 (1946),2002-07-25,2022-06-28
AON,Aon plc,0000315293,Financials,Insurance Brokers,"London, United Kingdom",1982 (1919),1996-04-23,
AOS,A. O. Smith,0000091142,Industrials,Building Products,"Milwaukee, Wisconsin",1916,2017-07-26,
APA,APA Corporation,0001841666,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1954,1997-07-28,
APC,ARKO Petroleum Corp.,0000773910,Energy,,,,1997-07-28,2019-08-09
APCC,,0000835910,Industrials,,,,2000-06-01,2007-02-15
APD,Air Products,0000002969,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1940,1996-01-02,
APH,Amphenol,0000820313,Information Technology,Electronic Components,"Wallingford, Connecticut",1932,2008-09-30,
APO,Apollo Global Management,0001858681,Financials,Asset Management & Custody Banks,"New York City, New York",1990,2024-12-23,
APOL,,0000929887,Consumer Discretionary,,,,2002-05-15,2013-07-01
APP,AppLovin,0001751008,Information Technology,Application Software,"Palo Alto, California",2012,2025-09-22,
APTV,Aptiv,0001521332,Consumer Discretionary,Automotive Parts & Equipment,"Schaffhausen, Switzerland",1994,2012-12-24,
AR,ANTERO RESOURCES Corp,0001433270,Energy,,,,1996-01-02,1999-10-27
ARE,Alexandria Real Estate Equities,0001035443,Real Estate,Office REITs,"Pasadena, California",1994,2017-03-20,
ARES,Ares Management,0001176948,Financials,Asset Management & Custody Banks,"Los Angeles, California",1977,2025-12-11,
ARG,,0000804212,Industrials,,,,2009-09-09,2016-05-23
ARNC,Howmet Aerospace,0000004281,Industrials,Aerospace & Defense,"Pittsburgh, Pennsylvania",1888,1996-01-02,2020-04-06
ASH,ASHLAND INC.,0001674862,Industrials,,,,1996-01-02,2008-11-14
ASN,,0001156826,Real Estate,,,,2004-12-20,2007-10-08
ASO,"Academy Sports & Outdoors, Inc.",0001817358,Consumer Discretionary,,,,1999-03-10,2006-11-06
AT,,0000065873,Communication Services,,,,1996-01-02,2007-11-19
ATGE,,0000730464,Consumer Discretionary,,,,2009-06-09,2012-10-01
ATI,ATI INC,0001018963,Materials,,,,1996-01-02,2015-07-02
ATO,Atmos Energy,0000731802,Utilities,Gas Utilities,"Dallas, Texas",1906,2019-02-15,
ATVI,,0000718877,Information Technology,,,,2015-08-31,2023-10-18
AV,,0001116521,Information Technology,,,,2000-10-02,2007-10-26
AVB,AvalonBay Communities,0000915912,Real Estate,Multi-Family Residential REITs,"Arlington, Virginia",1978,2007-01-10,
AVGO,Broadcom,0001730168,Information Technology,Semiconductors,"Palo Alto, California",1961,2014-05-08,
AVP,,0000008868,Consumer Staples,,,,1996-01-02,2015-03-23
AVY,Avery Dennison,0000008818,Materials,Paper & Plastic Packaging Products & Materials,"Mentor, Ohio",1935,1996-01-02,
AW,,0000848865,Industrials,,,,1999-08-02,2008-12-05
AWE,,0001138234,Communication Services,,,,2001-07-09,2004-10-27
AWK,American Water Works,0001410636,Utilities,Water Utilities,"Camden, New Jersey",1886,2016-03-04,
AXON,Axon Enterprise,0001069183,Industrials,Aerospace & Defense,"Scottsdale, Arizona",1993,2023-05-04,
AXP,American Express,0000004962,Financials,Consumer Finance,"New York City, New York",1850,1996-01-02,
AYE,,0000003673,Utilities,,,,2000-12-11,2011-02-28
AYI,ACUITY INC. (DE),0001144215,Information Technology,,,,2016-05-03,2018-06-18
AZA.A,,0000004310,Health Care,,,,1996-01-02,2001-06-25
AZO,AutoZone,0000866787,Consumer Discretionary,Automotive Retail,"Memphis, Tennessee",1979,1997-01-02,
BA,Boeing,0000012927,Industrials,Aerospace & Defense,"Arlington, Virginia",1916,1996-01-02,
BAC,Bank of America,0000070858,Financials,Diversified Banks,"Charlotte, North Carolina",1998 (1923 / 1874),1996-01-02,
