symbol,cik,fiscal_year,value,source_url
AFL,0000004977,2000,37232000000,https://www.sec.gov/Archives/edgar/data/4977/0000004977-01-500045.txt
AON,0000315293,2000,6754000000,https://www.sec.gov/Archives/edgar/data/315293/0000948572-01-000011.txt
EXPE,0001324424,2007,8295422000,
FHN,0000036966,2020,84209000000,https://www.sec.gov/Archives/edgar/data/36966/000003696621000012/0000036966-21-000012-index.htm
FHN,0000036966,2021,89092000000,https://www.sec.gov/Archives/edgar/data/36966/000003696622000015/0000036966-22-000015-index.htm
CBRE,0001138118,2001,1359353000,
CBRE,0001138118,2002,1324876000,
CBRE,0001138118,2003,2213481000,
AKAM,0001086222,2002,229863000,
ACAS,0000817473,2001,904184000,
ACAS,0000817473,2002,1318523000,
ACAS,0000817473,2003,2041724000,
QTRN,0000919623,2003,1992711000,
SYY,0000096021,2022,22086000000,https://www.sec.gov/Archives/edgar/data/96021/000009602122000151/0000096021-22-000151-index.htm
ABX,0001814287,2020,345850539,https://www.sec.gov/Archives/edgar/data/1814287/000156459021015863/0001564590-21-015863-index.htm
SGP,0001778922,2024,23318000,
SGP,0001778922,2025,115866000,https://www.sec.gov/Archives/edgar/data/1778922/000177892226000020/0001778922-26-000020-index.htm
ABX,0001814287,2021,345993643,https://www.sec.gov/Archives/edgar/data/1814287/000156459022023957/0001564590-22-023957-index.htm
CCB,0001437958,2021,2635517000,https://www.sec.gov/Archives/edgar/data/1437958/000156459022009970/0001564590-22-009970-index.htm
CCB,0001437958,2022,3144467000,https://www.sec.gov/Archives/edgar/data/1437958/000143795823000051/0001437958-23-000051-index.htm
CCB,0001437958,2023,3450714000,https://www.sec.gov/Archives/edgar/data/1437958/000143795824000052/0001437958-24-000052-index.htm
CCB,0001437958,2024,4121208000,https://www.sec.gov/Archives/edgar/data/1437958/000143795825000058/0001437958-25-000058-index.htm
MRSH,0000062709,2010,15310000000,https://www.sec.gov/Archives/edgar/data/62709/000119312511047795/0001193125-11-047795-index.htm
MRSH,0000062709,2012,16288000000,https://www.sec.gov/Archives/edgar/data/62709/000006270913000004/0000062709-13-000004-index.htm
MRSH,0000062709,2014,17793000000,https://www.sec.gov/Archives/edgar/data/62709/000006270915000005/0000062709-15-000005-index.htm
USB,0000036104,2021,573284000000,https://www.sec.gov/Archives/edgar/data/36104/000119312522048709/0001193125-22-048709-index.htm
SYY,0000096021,2015,17989281000,https://www.sec.gov/Archives/edgar/data/96021/000009602115000057/0000096021-15-000057-index.htm
SYY,0000096021,2016,16721804000,https://www.sec.gov/Archives/edgar/data/96021/000009602116000275/0000096021-16-000275-index.htm
KEY,0000091576,2009,93287000000,
USBC,0001074828,2025,125079228,https://www.sec.gov/Archives/edgar/data/1074828/000165495425014138/0001654954-25-014138-index.htm
AMG,0001004434,2009,3390900000,
SYY,0000096021,2017,17756655000,https://www.sec.gov/Archives/edgar/data/96021/000009602117000120/0000096021-17-000120-index.htm
SYY,0000096021,2018,18070404000,https://www.sec.gov/Archives/edgar/data/96021/000009602118000126/0000096021-18-000126-index.htm
SYY,0000096021,2019,17966522000,https://www.sec.gov/Archives/edgar/data/96021/000009602119000093/0000096021-19-000093-index.htm
KEY,0000091576,2010,91843000000,https://www.sec.gov/Archives/edgar/data/91576/000095012311017655/0000950123-11-017655-index.htm
KEY,0000091576,2011,88785000000,https://www.sec.gov/Archives/edgar/data/91576/000119312512081648/0001193125-12-081648-index.htm
KEY,0000091576,2012,89236000000,https://www.sec.gov/Archives/edgar/data/91576/000119312513076993/0001193125-13-076993-index.htm
KEY,0000091576,2013,92934000000,https://www.sec.gov/Archives/edgar/data/91576/000119312514069018/0001193125-14-069018-index.htm
RSHCQ,0000096289,2001,2245100000,
RSHCQ,0000096289,2005,2205100000,
RSHCQ,0000096289,2006,2070000000,
TFC,0000092230,2009,165764000000,https://www.sec.gov/Archives/edgar/data/92230/000119312510042975/0001193125-10-042975-index.htm
TFC,0000092230,2010,157081000000,https://www.sec.gov/Archives/edgar/data/92230/000119312511047405/0001193125-11-047405-index.htm
TFC,0000092230,2011,174579000000,https://www.sec.gov/Archives/edgar/data/92230/000119312512081457/0001193125-12-081457-index.htm
TFC,0000092230,2012,184499000000,https://www.sec.gov/Archives/edgar/data/92230/000009223013000023/0000092230-13-000023-index.htm
TFC,0000092230,2013,183010000000,https://www.sec.gov/Archives/edgar/data/92230/000009223014000014/0000092230-14-000014-index.htm
TFC,0000092230,2014,186834000000,https://www.sec.gov/Archives/edgar/data/92230/000009223015000021/0000092230-15-000021-index.htm
ACAS,0000817473,2004,3491427000,
MRSH,0000062709,2013,16960000000,https://www.sec.gov/Archives/edgar/data/62709/000006270914000008/0000062709-14-000008-index.htm
FNMA,0000310522,2012,3222422000000,https://www.sec.gov/Archives/edgar/data/310522/000031052213000065/0000310522-13-000065-index.htm
FNMA,0000310522,2013,3270108000000,https://www.sec.gov/Archives/edgar/data/310522/000031052214000067/0000310522-14-000067-index.htm
FNMA,0000310522,2014,3248176000000,https://www.sec.gov/Archives/edgar/data/310522/000031052215000081/0000310522-15-000081-index.htm
