company_number,company_name,operating_birth,operating_birth_precision,operating_birth_type,operating_birth_source_url,operating_birth_context,source_url_final,entry_date
15698920,Amstrad,1968,year,business_founding,https://en.wikipedia.org/wiki/Amstrad,,https://en.wikipedia.org/wiki/Amstrad,1986-10-01
07476767,Anglian Water,1974,year,business_founding,https://en.wikipedia.org/wiki/Anglian_Water_Authority,,https://en.wikipedia.org/wiki/Anglian_Water_Authority,1990-10-01
SC544125,Argyll Group,1977,year,business_founding,https://en.wikipedia.org/wiki/Argyll_Foods,,https://en.wikipedia.org/wiki/Argyll_Foods,1985-01-02
05757208,BAA,1965,year,business_founding,https://www.gracesguide.co.uk/British_Airports_Authority,,https://www.gracesguide.co.uk/British_Airports_Authority,1987-10-01
03196209,BHP Group Plc,1885,year,business_founding,https://en.wikipedia.org/wiki/BHP,,https://en.wikipedia.org/wiki/BHP,1997-09-22
02342138,Babcock International Group,1891,year,business_founding,https://en.wikipedia.org/wiki/Babcock_%26_Wilcox_Ltd,,https://en.wikipedia.org/wiki/Babcock_%26_Wilcox_Ltd,2012-06-18
SC327000,Bank of Scotland,1695,year,business_founding,https://en.wikipedia.org/wiki/Bank_of_Scotland,,https://en.wikipedia.org/wiki/Bank_of_Scotland,1985-08-06
15998687,Barratt Developments,1958,year,business_founding,https://en.wikipedia.org/wiki/Barratt_Developments,,https://en.wikipedia.org/wiki/Barratt_Developments,1984-01-03
07767799,Blue Arrow,1959,year,business_founding,https://en.wikipedia.org/wiki/Blue_Arrow,,https://en.wikipedia.org/wiki/Blue_Arrow,1987-10-01
09876996,Bowater,1881,year,business_founding,https://en.wikipedia.org/wiki/William_Vansittart_Bowater,,https://en.wikipedia.org/wiki/William_Vansittart_Bowater,1992-04-01
SC270184,British Energy Group,1995,year,business_founding,https://en.wikipedia.org/wiki/British_Energy,,https://en.wikipedia.org/wiki/British_Energy,1997-12-22
09399778,British Sky Broadcasting,1990,year,business_founding,https://en.wikipedia.org/wiki/Sky_UK,,https://en.wikipedia.org/wiki/Sky_UK,1995-09-18
12303256,British Steel Plc,1967,year,business_founding,https://en.wikipedia.org/wiki/British_Steel_(1967%E2%80%931999),,https://en.wikipedia.org/wiki/British_Steel_(1967%E2%80%931999),1988-12-21
06208775,Burmah Oil,1886,year,business_founding,https://en.wikipedia.org/wiki/Burmah_Oil,,https://en.wikipedia.org/wiki/Burmah_Oil,1986-07-01
09909999,Cable & Wireless Communications,1869,year,business_founding,https://en.wikipedia.org/wiki/Cable_%26_Wireless_plc,,https://en.wikipedia.org/wiki/Cable_%26_Wireless_plc,2000-03-20
SC787001,Cairn Energy,1981,year,business_founding,https://en.wikipedia.org/wiki/Capricorn_Energy,,https://en.wikipedia.org/wiki/Capricorn_Energy,2004-09-20
04191122,Canary Wharf Group,1993,year,business_founding,https://en.wikipedia.org/wiki/Canary_Wharf_Group,,https://en.wikipedia.org/wiki/Canary_Wharf_Group,2000-10-17
12966997,Caradon PLC,1985,year,business_founding,https://www.encyclopedia.com/books/politics-and-business-magazines/caradon-plc,,https://www.encyclopedia.com/books/politics-and-business-magazines/caradon-plc,1993-11-05
06534088,Carphone Warehouse,1989,year,business_founding,https://en.wikipedia.org/wiki/Carphone_Warehouse,,https://en.wikipedia.org/wiki/Carphone_Warehouse,2007-09-24
11466170,Compass,1941,year,business_founding,https://www.fundinguniverse.com/company-histories/compass-group-plc-history/,,https://www.fundinguniverse.com/company-histories/compass-group-plc-history/,1998-03-23
03110569,Computacenter,1981,year,business_founding,https://en.wikipedia.org/wiki/Computacenter,,https://en.wikipedia.org/wiki/Computacenter,2026-06-22
10274117,Dalgety,1846,year,business_founding,https://en.wikipedia.org/wiki/Dalgety_plc,,https://en.wikipedia.org/wiki/Dalgety_plc,1984-01-03
03834125,De La Rue,1821,year,business_founding,https://en.wikipedia.org/wiki/De_La_Rue,,https://en.wikipedia.org/wiki/De_La_Rue,1992-09-21
