cn|company_name|founded_year|founded_month|source_url
02707046|Berisford (S & W)|1851||https://en.wikipedia.org/wiki/Enodis
09909380|RMC Group|1930||https://en.wikipedia.org/wiki/RMC_Group
10274117|Dalgety|1846||https://en.wikipedia.org/wiki/Dalgety_plc
10686681|House of Fraser|1849||https://en.wikipedia.org/wiki/House_of_Fraser
02805337|Lonrho|1909|May|https://en.wikipedia.org/wiki/Lonrho
SC544125|Argyll Group|1977||https://en.wikipedia.org/wiki/Argyll_Foods
07767799|Blue Arrow|1959|November|https://en.wikipedia.org/wiki/Blue_Arrow
15049410|Jaguar|1922|September|https://en.wikipedia.org/wiki/Swallow_Sidecar_Company
13595866|Sedgwick|1879||https://en.wikipedia.org/wiki/Sedgwick_Group
15213063|ECC Group|1919|April|https://en.wikipedia.org/wiki/English_China_Clays
11408139|Hillsdown Holdings|1975||https://www.fundinguniverse.com/company-histories/hillsdown-holdings-plc-history/
12283210|Tate & Lyle|1859||https://en.wikipedia.org/wiki/Tate_%26_Lyle
SC585480|Scottish Hydro Electricity|1943||https://en.wikipedia.org/wiki/North_of_Scotland_Hydro-Electric_Board
16640835|Sema Group Plc|1988||https://en.wikipedia.org/wiki/Sema_Group
11353526|Psion|1980||https://en.wikipedia.org/wiki/Psion_(company)
06798969|Thus|1994||https://en.wikipedia.org/wiki/Thus_(company)
11466170|Compass|1941||https://www.fundinguniverse.com/company-histories/compass-group-plc-history/
03771147|Allied Domecq|1961||https://en.wikipedia.org/wiki/Allied_Breweries
SC270184|British Energy Group|1995||https://en.wikipedia.org/wiki/British_Energy
05369106|London Stock Exchange Group|1801||https://en.wikipedia.org/wiki/London_Stock_Exchange_Group
09132358|Kazakhmys|1992||https://en.wikipedia.org/wiki/Kazakhmys
03196209|BHP Group Plc|1885|August|https://en.wikipedia.org/wiki/BHP
03685527|Intu Properties|1980||https://en.wikipedia.org/wiki/Intu_Properties
04256886|Marks and Spencer Group|1884||https://en.wikipedia.org/wiki/Marks_%26_Spencer
03528619|North West Water|1989||https://en.wikipedia.org/wiki/United_Utilities
12215835|GlaxoSmithKline|1830||https://en.wikipedia.org/wiki/GSK_plc
02234775|Intermediate Capital Grup|1989||https://en.wikipedia.org/wiki/Intermediate_Capital_Group
03110569|Computacenter|1981|October|https://en.wikipedia.org/wiki/Computacenter
SC095000|Lloyds Banking Group|1765||https://en.wikipedia.org/wiki/Lloyds_Bank
03633621|Investec|1974||https://en.wikipedia.org/wiki/Investec
02342138|Babcock International Group|1891|July|https://en.wikipedia.org/wiki/Babcock_%26_Wilcox_Ltd
11444019|M&G|1931|April|https://en.wikipedia.org/wiki/M%26G
03299793|Gallaher Group|1857||https://en.wikipedia.org/wiki/Gallaher_Group
SC327000|Bank of Scotland|1695|July|https://en.wikipedia.org/wiki/Bank_of_Scotland
17136683|Smith Industries|1851||https://en.wikipedia.org/wiki/Smiths_Group
09220362|Racal Electronics|1950||https://en.wikipedia.org/wiki/Racal
12303256|British Steel Plc|1967||https://en.wikipedia.org/wiki/British_Steel_(1967%E2%80%931999)
12664251|Tomkins|1925||https://en.wikipedia.org/wiki/Tomkins_plc
12670975|Orange|1994||https://en.wikipedia.org/wiki/Orange_(UK)
11785532|NatWest|1968||https://en.wikipedia.org/wiki/NatWest
10215539|Freeserve|1998||https://en.wikipedia.org/wiki/Freeserve
17225057|Railtrack|1994|April|https://en.wikipedia.org/wiki/Railtrack
02366640|Pennon Group|1989||https://en.wikipedia.org/wiki/Pennon_Group
SC278251|Wood Group (John)|1982|January|https://en.wikipedia.org/wiki/John_Wood_Group
12818602|National Power|1990||https://en.wikipedia.org/wiki/National_Power
09876996|Bowater|1881||https://en.wikipedia.org/wiki/William_Vansittart_Bowater
04191122|Canary Wharf Group|1993||https://en.wikipedia.org/wiki/Canary_Wharf_Group
14236527|Liberty International|1980||https://en.wikipedia.org/wiki/Intu
15436803|Spirax-Sarco Engineering|1888||https://en.wikipedia.org/wiki/Spirax_Group
06559020|United Utilities|1973||https://en.wikipedia.org/wiki/North_West_Water
FC029884|International Airlines Group|1974|March|https://en.wikipedia.org/wiki/British_Airways
03182775|Thorn plc|1928|March|https://en.wikipedia.org/wiki/Thorn_Electrical_Industries
15998687|Barratt Developments|1958||https://en.wikipedia.org/wiki/Barratt_Developments
12620781|Dixons Group|1937||https://en.wikipedia.org/wiki/Dixons_(retailer)
12181667|Polly Peck|1940||https://en.wikipedia.org/wiki/Polly_Peck
16570860|Trafalgar House|1958||https://en.wikipedia.org/wiki/Trafalgar_House_(company)
03583610|Eurotunnel|1985||https://www.referenceforbusiness.com/history2/79/Eurotunnel-Group.html
05514581|MEPC|1946|October|https://en.wikipedia.org/wiki/MEPC_plc
03834125|De La Rue|1821||https://en.wikipedia.org/wiki/De_La_Rue
03045251|Rothmans International|1890||https://en.wikipedia.org/wiki/Rothmans_International
16271657|NFC|1948||https://en.wikipedia.org/wiki/National_Freight_Corporation
07476767|Anglian Water|1974|April|https://en.wikipedia.org/wiki/Anglian_Water_Authority
03158105|Thorn EMI plc|1928|March|https://en.wikipedia.org/wiki/Thorn_Electrical_Industries
SC119505|General Accident|1885||https://en.wikipedia.org/wiki/General_Accident
14696069|Emap|1887||https://www.fundinguniverse.com/company-histories/emap-plc-history/
12657712|General Electric Company|1886||https://simple.wikipedia.org/wiki/General_Electric_Company_plc
03680472|SLPH (Standard Life)|1825|March|https://en.wikipedia.org/wiki/Standard_Life
15712439|Woolwich|1847|August|https://en.wikipedia.org/wiki/The_Woolwich
SC639139|Marconi|1897|July|https://en.wikipedia.org/wiki/Marconi_Company
11299879|ARM Holdings|1990|November|https://en.wikipedia.org/wiki/Arm_Holdings
05186841|International Power|1990|March|https://en.wikipedia.org/wiki/National_Power
02468686|Norwich Union|1797||https://en.wikipedia.org/wiki/Norwich_Union
03586615|PowerGen Plc|1989||https://en.wikipedia.org/wiki/E.ON_UK
09406669|Nycomed Amersham|1940||https://en.wikipedia.org/wiki/Amersham_plc
SC787001|Cairn Energy|1981||https://en.wikipedia.org/wiki/Capricorn_Energy
05757208|BAA|1965||https://www.gracesguide.co.uk/British_Airports_Authority
SC193794|Scottish Power|1955||https://en.wikipedia.org/wiki/South_of_Scotland_Electricity_Board
13246881|Segro|1920||https://en.wikipedia.org/wiki/Segro
08815102|Yell Group|1966||https://en.wikipedia.org/wiki/Yell_(company)
04551498|Mitchells & Butlers|1898||https://en.wikipedia.org/wiki/Mitchells_%26_Butlers_Brewery
04967001|ITV|1955||https://en.wikipedia.org/wiki/ITV_plc
03909886|Schroders|1804||https://en.wikipedia.org/wiki/Schroders
09496208|AMEC|1883||https://en.wikipedia.org/wiki/Amec_Foster_Wheeler
14240638|Royal Mail|1516||https://en.wikipedia.org/wiki/Royal_Mail
06732228|Woolworths|1909|November|https://en.wikipedia.org/wiki/Woolworths_(United_Kingdom)
04031152|National Grid Group plc|1990|March|https://en.wikipedia.org/wiki/National_Grid_plc
08577185|Slough Estates|1920|April|https://en.wikipedia.org/wiki/Segro
11606773|Standard Life|1825|March|https://en.wikipedia.org/wiki/Standard_Life
06270876|Reckitt|1840||https://en.wikipedia.org/wiki/Reckitt_and_Sons
04369054|Land Securities|1944||https://en.wikipedia.org/wiki/Landsec
00014504|Greenalls Group plc|1762||https://www.gracesguide.co.uk/Greenall,_Whitley_and_Co
02953047|Magnet & Southerns|1918||https://en.wikipedia.org/wiki/Magnet_Kitchens
07034919|Habitat Mothercare|1961||https://en.wikipedia.org/wiki/Mothercare
05998739|Harrisons & Crosfield|1844|January|https://www.gracesguide.co.uk/Harrisons_and_Crosfield
16237399|BICC|1870||https://en.wikipedia.org/wiki/British_Insulated_Callender's_Cables
06208775|Burmah Oil|1886||https://en.wikipedia.org/wiki/Burmah_Oil
04191106|GKN PLC|1759|September|https://en.wikipedia.org/wiki/GKN
04412362|Next|1864||https://en.wikipedia.org/wiki/Next_plc
15698920|Amstrad|1968|November|https://en.wikipedia.org/wiki/Amstrad
16793203|Cookson Group|1704||https://en.wikipedia.org/wiki/Vesuvius_plc
05202036|Smith (W.H.)|1792||https://en.wikipedia.org/wiki/WHSmith
12966997|Caradon PLC|1985||https://www.encyclopedia.com/books/politics-and-business-magazines/caradon-plc
