company_number,year,year_end_price_pence,price_source_url,shares_outstanding,shares_source_url,market_cap_gbp,marketcap_source_url,annual_dividend_pence,dividend_source_url,notes
00029846,2001,,,,,,,,,
00029846,2002,,,,,,,,,
00029846,2003,,,,,,,,,
00029846,2004,,,,,,,,,
00029846,2005,,,,,,,,,
00029846,2006,,,,,,,,,
00029846,2007,,,,,,,,,
00029846,2008,,,,,,,,,
00029846,2009,,,,,,,,,
00029846,2010,,,,,,,,,
00029846,2011,,,,,,,,,"Ordinary dividend per share in respect of the financial year, from the 2015 five-year summary; excludes special dividends shown separately. Entity-history audit: worklist key 00029846 is the legacy UK Wolseley plc. From 23 November 2010 the listed FTSE parent was the Jersey-incorporated successor Wolseley plc (company no. 106605); the cited annual report is for that listed successor, so the dividend is retained against the worklist group key. AUDIT CORRECTION: post-2010 dividend previously attached to legacy UK company number 00029846 removed. The listed Wolseley parent was substituted/reincorporated after the 2010 reorganisation; successor-parent market data must not be carried across to this legacy legal entity without a row mapped to the correct issuer."
00029846,2012,,,,,,,,,"Ordinary dividend per share in respect of the financial year, from the 2015 five-year summary; excludes special dividends shown separately. Entity-history audit: worklist key 00029846 is the legacy UK Wolseley plc. From 23 November 2010 the listed FTSE parent was the Jersey-incorporated successor Wolseley plc (company no. 106605); the cited annual report is for that listed successor, so the dividend is retained against the worklist group key. AUDIT CORRECTION: post-2010 dividend previously attached to legacy UK company number 00029846 removed. The listed Wolseley parent was substituted/reincorporated after the 2010 reorganisation; successor-parent market data must not be carried across to this legacy legal entity without a row mapped to the correct issuer."
00029846,2013,,,,,,,,,"Ordinary dividend per share in respect of the financial year, from the 2015 five-year summary; excludes special dividends shown separately. Entity-history audit: worklist key 00029846 is the legacy UK Wolseley plc. From 23 November 2010 the listed FTSE parent was the Jersey-incorporated successor Wolseley plc (company no. 106605); the cited annual report is for that listed successor, so the dividend is retained against the worklist group key. AUDIT CORRECTION: post-2010 dividend previously attached to legacy UK company number 00029846 removed. The listed Wolseley parent was substituted/reincorporated after the 2010 reorganisation; successor-parent market data must not be carried across to this legacy legal entity without a row mapped to the correct issuer."
00029846,2014,,,,,,,,,"Ordinary dividend per share in respect of the financial year, from the 2015 five-year summary; excludes special dividends shown separately. Entity-history audit: worklist key 00029846 is the legacy UK Wolseley plc. From 23 November 2010 the listed FTSE parent was the Jersey-incorporated successor Wolseley plc (company no. 106605); the cited annual report is for that listed successor, so the dividend is retained against the worklist group key. AUDIT CORRECTION: post-2010 dividend previously attached to legacy UK company number 00029846 removed. The listed Wolseley parent was substituted/reincorporated after the 2010 reorganisation; successor-parent market data must not be carried across to this legacy legal entity without a row mapped to the correct issuer."
00029846,2015,,,,,,,,,"Ordinary dividend per share in respect of the financial year, from the 2015 five-year summary; excludes special dividends shown separately. Entity-history audit: worklist key 00029846 is the legacy UK Wolseley plc. From 23 November 2010 the listed FTSE parent was the Jersey-incorporated successor Wolseley plc (company no. 106605); the cited annual report is for that listed successor, so the dividend is retained against the worklist group key. AUDIT CORRECTION: post-2010 dividend previously attached to legacy UK company number 00029846 removed. The listed Wolseley parent was substituted/reincorporated after the 2010 reorganisation; successor-parent market data must not be carried across to this legacy legal entity without a row mapped to the correct issuer."
00030470,2008,,,,,,,4.955,https://device.report/m/47ed631b7aad561fd3f8096f8c9ec44aec485b138a9cc4ac5db641aae29fcf0e.pdf,Cobham plc 2008 annual report inspected: FY2008 ordinary dividend 4.955p (1.345p interim + 3.61p final). The report weighted-average EPS share denominator is deliberately not used for shares_outstanding. High-yield audit: existing Cobham FY2008/FY2009 dividends preserved. Weighted-average EPS share counts remain excluded from shares_outstanding; no exact 31-December issued count or price forced into these rows.
00030470,2009,,,,,,,5.45,https://www.sambuz.com/doc/2009-preliminary-results-ppt-presentation-552414,Cobham plc 2009 preliminary-results material verifies FY2009 ordinary dividend 5.45p. No weighted-average EPS denominator is used for shares_outstanding; remaining fields stay blank pending exact year-end evidence. High-yield audit: existing Cobham FY2008/FY2009 dividends preserved. Weighted-average EPS share counts remain excluded from shares_outstanding; no exact 31-December issued count or price forced into these rows.
00073800,2001,,,,,,,,,
00073800,2002,,,,,,,,,
00073800,2003,,,,,,,,,
00073800,2004,,,,,,,,,
00073800,2005,,,,,,,,,
00073800,2006,,,,,,,,,
00073800,2007,,,,,,,,,
00073800,2008,,,,,,,,,
00073800,2009,,,,,,,,,
00073800,2010,,,,,,,,,
00073800,2011,,,,,,,,,
00073800,2012,,,,,,,,,
00073800,2013,,,,,,,,,
00073800,2014,,,,,,,,,
00073800,2015,,,,,,,,,
00073975,2002,,,,,,,,,
00073975,2003,,,,,,,,,
00073975,2004,,,,,,,,,
