company_number,company_name,ftse_first,ftse_last,ric_ticker
01142830,3i Group,1994,2011.0,III
09496208,AMEC,2007,2014.0,
11299879,ARM Holdings,1984,2016.0,
01396513,ASDA Group (formerly Associated,1984,1999.0,
00710383,Abbey Life,1985,1988.0,
02294747,Abbey National,1989,2004.0,
16133984,Aberdeen Asset Management,1984,2016.0,ABDN
03849958,Admiral Group,2007,,ADM
SC177553,Aggreko,2009,2015.0,
11462215,Airtel Africa,2022,,AAF
03263713,Alliance & Leicester,1997,2008.0,
04452715,Alliance Boots,1984,2007.0,
SC001731,Alliance Trust,2008,2011.0,ALW
03771147,Allied Domecq,1984,2005.0,
03525388,Allied Zurich,1998,2000.0,
15698920,Amstrad,1984,1989.0,
00308372,Amvescap,1997,,
07476767,Anglian Water,1990,1994.0,
03564138,Anglo American,1999,,AAL
01627889,Antofagasta,2004,,ANTO
01081551,Argos plc,1995,1997.0,
SC544125,Argyll Group,1985,1987.0,
00961440,Arjo Wiggins Appleton plc,1984,1995.0,
03675683,Ashmore Group,2011,2012.0,
01807982,Ashtead Group,2013,2026.0,
00293262,Associated British Foods,1984,2000.0,ABF
09439967,Auto Trader Group,2018,,AUTO
07118170,Avast,2020,2022.0,
02937296,Aveva Group,2019,2023.0,
00233112,B.A.T. Industries Plc,1984,1998.0,
05757208,BAA,1987,2006.0,
03196209,BHP Group Plc,1984,2022.0,
16237399,BICC,1984,1992.0,
00337663,BOC,1984,2006.0,
00102498,BP,1984,,BP
00147271,BPB,2005,2005.0,
04190816,BT Group,2001,,BT.A
00166023,BTR Siebe,1999,2011.0,
02342138,Babcock International Group,1984,2017.0,BAB
00395826,Balfour Beatty,1984,2009.0,
SC327000,Bank of Scotland,1985,2001.0,
00048839,Barclays,1984,,BARC
15998687,Barratt Development,1984,2014.0,BTRW
09763575,Beazley,2022,,BEZ
00227531,Beecham Group,1984,1989.0,
02707046,Berisford (S & W),1984,1985.0,
07767799,Blue Arrow,1987,1988.0,
09876996,Bowater,1992,,
03938288,Bradford & Bingley,2002,2007.0,
01470151,British Aerospace,1984,1992.0,BA
01777777,British Airways,1987,2003.0,
03407696,British American Tobacco,1998,,BATS
SC270184,British Energy,1997,2006.0,
08811254,British Gas,1986,,
00621920,British Land,1997,2025.0,BLND
09399778,British Sky Broadcasting,1995,,
12303256,British Steel,1988,1999.0,
01800000,British Telecom,1984,2001.0,
SC077750,Britoil,1984,1988.0,
00358948,Bunzl,1986,2011.0,BNZL
03458224,Burberry Group,2009,2024.0,BRBY
06208775,Burmah Oil,1986,1991.0,
00930965,CMG,1999,2001.0,
02983774,Cable & Wireless,2000,2010.0,
09909999,Cable & Wireless Communications,1984,2000.0,
SC787001,Cairn Energy,2004,2012.0,
04191122,Canary Wharf Group,2000,,
02081330,Capita Group,2000,2017.0,
12966997,Caradon PLC,1993,1995.0,
00348312,Carlton Communications,1989,2001.0,
06534088,Carphone Warehouse,2007,2008.0,
02159282,Celltech Group,2000,2002.0,
03033654,Centrica,1997,2020.0,CNA
09717350,Coca-Cola Europacific,2025,,CCEP
11466170,Compass,1998,2000.0,
04083914,Compass Group,2001,,CPG
03110569,Computacenter,1984,,CCC
10361298,ConvaTec Group,2016,2017.0,CTEC
16793203,Cookson Group,1986,1996.0,
03811373,Corus Group,1999,2007.0,
SC003388,Coutaulds,1984,1996.0,
00206132,Croda International,1984,2013.0,CRDA
04709270,DCC,2015,,DCC
00184594,Daily Mail & General Trust,1999,2007.0,
10274117,Dalgety,1984,1991.0,
13264637,Darktrace,2021,2024.0,
03834125,De La Rue,1992,1995.0,
03369634,Dechra Pharmaceuticals,2021,2024.0,
00023307,Diageo,1997,,DGE
03704278,Dimension Data Holdings,2000,2001.0,
03899848,Diploma,2023,,DPLM
02280426,Direct Line Insurance Group,2014,2019.0,
12620781,Dixons Group,1985,1998.0,
14591224,Dowlais Group,2023,,
05562053,Drax Group,2006,2009.0,
15213063,ECC Group,1984,1990.0,
14696069,EMAP,1999,2005.0,
00229231,EMI Group plc,1996,2002.0,
None,Eagle Star,1984,2026.0,CCH
03959649,Easyjet,2013,2026.0,
SC034993,Edinburgh Investment Trust,1984,1984.0,
00647788,Electrocomponents,2021,2024.0,
13280545,Endeavour Mining,2022,2024.0,EDV
03438871,Energis,1999,2001.0,
00154236,English China Clays,1984,1993.0,
10517727,Enterprise Inns,2004,2008.0,
01682048,Enterprise Oil,1984,2002.0,
07108619,Essar energy,2010,2012.0,
03583610,Eurotunnel,1991,1992.0,
07784342,Evraz,2011,2022.0,
03720393,Experian Group,2006,,EXPN
SC246627,Ferguson,1984,2022.0,
05432915,Ferrexpo,2008,2008.0,
00044687,Fisons,1984,1995.0,
00012901,Foreign & Col Invest Trust,1984,2009.0,FCIT
06035106,Frasers Group,2022,2024.0,
10215539,Freeserve,2000,2000.0,
06344120,Fresnillo,2008,2019.0,FRES
04992207,G4S,2007,2018.0,
04191106,GKN,1984,2018.0,
03299793,Gallaher Group,1998,2007.0,
02670969,Games Workshop Group,2024,,GAW
SC119505,General Accident,1984,1998.0,
12657712,General Electric Company,1984,1999.0,
00480080,Glaxo Wellcome,1984,2000.0,
12215835,GlaxoSmithKline,2000,,GSK
03962410,Granada,2001,,
00290076,Granada Group,1984,2000.0,
03106798,Granada Media,2000,2001.0,
00291848,Grand Metropolitan,1984,1997.0,
00014504,Greenalls Group plc,1996,1996.0,
00510607,Guinness (Arthur) & Son,1985,1997.0,
SC218813,HBOS,2001,,
00617987,HSBC Holdings,1992,,HSBA
07034919,Habitat Mothercare,1985,1986.0,
13691224,Haleon,2022,,HLN
00040932,Halma,2017,,HLMA
00360632,Hammerson Property,1984,2018.0,
SC234781,Harbour Energy,2022,2022.0,
02122142,Hargreaves Lansdown,2011,2023.0,
05998739,Harrisons & Crosfield,1984,1991.0,
00068237,Hawker Siddeley,1984,1991.0,
02150950,Hays,1996,2005.0,
11408139,Hillsdown Holdings,1987,1992.0,
02837811,Hiscox,2018,2023.0,HSX
05863533,Home Retail Group,2006,2010.0,
02648297,Homeserve,2020,2023.0,
10686681,House of Fraser,1984,1985.0,
02128710,Howden Joinery Group,2022,2022.0,HWDN
04677092,IG Group Holdings,2026,,IGG
05134420,IHG Hotels & Resorts,1984,,IHG
00714275,IMI,2010,2014.0,IMI
04967001,ITV,1984,2022.0,
00218019,Imperial Chemical Industries,1984,2007.0,
00511276,Imperial Group,1984,,IMB
01860181,Imperial Tobacco,2000,,
00073800,Imperial Tobacco Group,1996,2000.0,
00609782,Inchcape,1991,1995.0,
08860726,Informa,2016,,INF
04886115,Inmarsat,2008,2016.0,
14840880,Intermediate Capital Group,2023,,ICG
02234775,Intermediate Capital Grup,1984,2022.0,
FC029884,International Airlines Group,1984,,IAG
05186841,International Power,1984,2012.0,
04267576,Intertek Group,2009,,ITRK
03685527,Intu Properties,1984,2017.0,
03633621,Investec,1984,2011.0,INVP
01888425,JD Sports Fashion,2019,,JD
15049410,Jaguar,1985,1988.0,
00033774,Johnson Matthey,1984,2023.0,
06947854,Just Eat,2017,2021.0,
09132358,Kazakhmys,2005,2013.0,
02366627,Kelda Group,2003,2008.0,
01664812,Kingfisher,1984,2020.0,KGF
04369054,Land Securities,1984,,LAND
03900804,Lattice Group PLC,2000,2002.0,
01417162,Legal & General,1984,,LGEN
14236527,Liberty International,2002,,
10917019,Lion Finance Group,2026,,BGEO
SC095000,Lloyds Banking Group,1984,,LLOY
01631639,Logica Plc,1999,2002.0,
10681760,London Electricity,1995,1995.0,
02075721,London Stock Exchange,2013,,
05369106,London Stock Exchange Group,1984,2010.0,LSEG
01008965,London and Scottish Marine,1988,1998.0,
07124797,LondonMetric Property,2024,,LMP
02805337,Lonrho,1984,1992.0,
03207774,LucasVarity,1996,1999.0,
11444019,M&G,1984,,MNG
05514581,MEPC,1984,1995.0,
02953047,Magnet & Southerns,1984,1984.0,
SC639139,Marconi,1999,2001.0,
04256886,Marks and Spencer Group,1984,2019.0,MKS
08338604,Mediclinic International plc,2016,2018.0,
00432989,Meggitt,2011,2022.0,
04763064,Melrose,2012,2014.0,
09800044,Melrose Industries,1984,2023.0,MRO
