symbol,cik,fiscal_year,market_cap,marketcap_source_url,shares_outstanding,shares_source_url,employees,employees_source_url,notes
A,1090872,2025,,,,,18100,https://www.sec.gov/Archives/edgar/data/1090872/000109087225000087/a-20251031.htm,"10-K states approximately 18,100 employees worldwide as of October 31, 2025."
AAL,6201,2025,,,,,139100,https://www.sec.gov/Archives/edgar/data/6201/000000620126000014/aal-20251231.htm,"10-K states approximately 139,100 active full-time equivalent employees as of December 31, 2025."
AAP,1158449,2020,10690000000,https://stockanalysis.com/stocks/aap/market-cap/,,,,,"Near-fiscal-year-end estimate from Dec. 31, 2020; AAP fiscal close is near calendar year-end."
AAP,1158449,2026,,,,,54007,https://www.sec.gov/Archives/edgar/data/1158449/000119312526051305/aap-20260103.htm,"10-K for fiscal year ended January 3, 2026 states 28,274 full-time and 25,733 part-time team members; employees = exact sum 54,007."
AAPL,320193,2000,8369000000,https://www.finhacker.cz/en/stocks/apple-market-cap/,335676889,https://www.sec.gov/Archives/edgar/data/320193/000091205700053623/a2032880z10-k.txt,,,"Shares are actual fiscal-year-end common shares outstanding from the SEC filing. Market cap is a direct end-of-trading-day value reported by FINHACKER on 2000-09-29, 1 calendar day(s) from fiscal year-end 2000-09-30; stored as USD at the source's stated precision and treated as a near-year-end estimate."
AAPL,320193,2001,5442000000,https://www.finhacker.cz/en/stocks/apple-market-cap/,350921661,https://www.sec.gov/Archives/edgar/data/320193/000091205701544436/a2066171z10-k405.htm,,,"Shares are actual fiscal-year-end common shares outstanding from the SEC filing. Market cap is a direct end-of-trading-day value reported by FINHACKER on 2001-09-28, 1 calendar day(s) from fiscal year-end 2001-09-29; stored as USD at the source's stated precision and treated as a near-year-end estimate."
AAPL,320193,2002,5204000000,https://www.finhacker.cz/en/stocks/apple-market-cap/,358958989,https://www.sec.gov/Archives/edgar/data/320193/000104746902007674/a2096490z10-k.htm,,,"Shares are actual fiscal-year-end common shares outstanding from the SEC filing. Market cap is a direct end-of-trading-day value reported by FINHACKER on 2002-09-30, 2 calendar day(s) from fiscal year-end 2002-09-28; stored as USD at the source's stated precision and treated as a near-year-end estimate."
AAPL,320193,2003,7600000000,https://www.finhacker.cz/en/stocks/apple-market-cap/,366726584,https://www.sec.gov/Archives/edgar/data/320193/000104746903041604/a2124888z10-k.htm,,,"Shares are actual fiscal-year-end common shares outstanding from the SEC filing. Market cap is a direct end-of-trading-day value reported by FINHACKER on 2003-09-30, 3 calendar day(s) from fiscal year-end 2003-09-27; stored as USD at the source's stated precision and treated as a near-year-end estimate."
AAPL,320193,2004,15168000000,https://www.finhacker.cz/en/stocks/apple-market-cap/,391443617,https://www.sec.gov/Archives/edgar/data/320193/000104746904035975/a2147337z10-k.htm,,,"Shares are actual fiscal-year-end common shares outstanding from the SEC filing. FY2004 uses the contemporaneous pre-Feb-2005-split count, not the later retrospectively doubled comparative. Market cap is a direct end-of-trading-day value reported by FINHACKER on 2004-09-30, 5 calendar day(s) from fiscal year-end 2004-09-25; stored as USD at the source's stated precision and treated as a near-year-end estimate."
AAPL,320193,2005,44764000000,https://www.finhacker.cz/en/stocks/apple-market-cap/,835019364,https://www.sec.gov/Archives/edgar/data/320193/000110465905058421/a05-20674_110k.htm,,,"Shares are actual fiscal-year-end common shares outstanding from the SEC filing. Market cap is a direct end-of-trading-day value reported by FINHACKER on 2005-09-30, 6 calendar day(s) from fiscal year-end 2005-09-24; stored as USD at the source's stated precision and treated as a near-year-end estimate."
AAPL,320193,2006,65653000000,https://www.finhacker.cz/en/stocks/apple-market-cap/,855262568,https://www.sec.gov/Archives/edgar/data/320193/000104746907009340/a2181030z10-k.htm,,,"Shares are actual fiscal-year-end common shares outstanding from the SEC filing. Market cap is a direct end-of-trading-day value reported by FINHACKER on 2006-09-29, 1 calendar day(s) from fiscal year-end 2006-09-30; stored as USD at the source's stated precision and treated as a near-year-end estimate."
