symbol,cik,fiscal_year,need_market_cap,need_shares,need_employees
A,1090872,2000,True,True,True
A,1090872,2001,True,True,True
A,1090872,2002,True,True,True
A,1090872,2003,True,True,True
A,1090872,2004,True,True,True
A,1090872,2005,True,True,True
A,1090872,2006,True,True,True
A,1090872,2007,True,True,True
A,1090872,2008,True,True,True
A,1090872,2009,False,False,True
A,1090872,2010,False,False,True
A,1090872,2011,False,False,True
A,1090872,2012,False,False,True
A,1090872,2013,False,False,True
A,1090872,2014,False,False,True
A,1090872,2015,False,False,True
A,1090872,2016,False,False,True
A,1090872,2017,False,False,True
A,1090872,2018,False,False,True
A,1090872,2019,False,False,True
A,1090872,2020,False,False,True
A,1090872,2021,False,False,True
A,1090872,2022,False,False,True
A,1090872,2023,False,False,True
A,1090872,2024,False,False,True
A,1090872,2025,False,False,True
AABA,1011006,2001,True,True,True
AABA,1011006,2002,True,True,True
AABA,1011006,2003,True,True,True
AABA,1011006,2004,True,True,True
AABA,1011006,2005,True,True,True
AABA,1011006,2006,True,True,True
AABA,1011006,2007,True,True,True
AABA,1011006,2008,True,True,True
AABA,1011006,2009,True,False,True
AABA,1011006,2010,True,False,True
AABA,1011006,2011,True,False,True
AABA,1011006,2012,True,False,True
AABA,1011006,2013,True,False,True
AABA,1011006,2014,True,False,True
AABA,1011006,2015,True,False,True
AABA,1011006,2016,True,False,True
AAL,6201,2008,True,True,True
AAL,6201,2009,False,False,True
AAL,6201,2010,False,False,True
AAL,6201,2011,False,False,True
AAL,6201,2012,False,False,True
AAL,6201,2013,False,False,True
AAL,6201,2020,False,False,True
AAL,6201,2021,False,False,True
AAL,6201,2022,False,False,True
AAL,6201,2023,False,False,True
AAL,6201,2024,False,False,True
AAL,6201,2025,True,False,True
AAMRQ,6201,2001,True,True,True
AAMRQ,6201,2002,True,True,True
AAMRQ,6201,2003,True,True,True
AAMRQ,6201,2004,True,True,True
AAMRQ,6201,2005,True,True,True
AAMRQ,6201,2006,True,True,True
AAP,1158449,2009,False,False,True
AAP,1158449,2010,False,False,True
AAP,1158449,2011,False,False,True
AAP,1158449,2012,False,False,True
AAP,1158449,2013,False,False,True
AAP,1158449,2015,False,False,True
AAP,1158449,2016,False,False,True
AAP,1158449,2017,False,False,True
AAP,1158449,2018,False,False,True
AAP,1158449,2019,False,False,True
AAP,1158449,2020,True,False,True
AAP,1158449,2021,False,False,True
AAP,1158449,2022,False,False,True
AAP,1158449,2023,False,False,True
AAP,1158449,2024,False,False,True
AAP,1158449,2026,False,False,True
AAPL,320193,2000,True,True,True
AAPL,320193,2001,True,True,True
AAPL,320193,2002,True,True,True
AAPL,320193,2003,True,True,True
AAPL,320193,2004,True,True,True
AAPL,320193,2005,True,True,True
AAPL,320193,2006,True,True,True
AAPL,320193,2007,True,True,False
AAPL,320193,2008,True,True,False
AAPL,320193,2025,True,False,False
ABBV,1551152,2011,True,True,True
ABBV,1551152,2012,True,True,False
ABBV,1551152,2025,True,False,False
ABC,1140859,2002,True,True,True
ABC,1140859,2003,True,True,True
ABC,1140859,2004,True,True,True
ABC,1140859,2005,True,True,True
ABC,1140859,2006,True,True,True
ABC,1140859,2007,True,True,True
ABI,77551,2000,True,True,True
ABI,77551,2001,True,True,True
ABI,77551,2003,True,True,True
ABI,77551,2004,True,True,True
ABI,77551,2005,True,True,True
ABI,77551,2006,True,True,True
ABI,77551,2007,True,True,True
ABI,77551,2008,True,True,True
ABKFQ,874501,2001,True,True,True
ABKFQ,874501,2002,True,True,True
ABKFQ,874501,2003,True,True,True
ABKFQ,874501,2004,True,True,True
ABKFQ,874501,2005,True,True,True
ABKFQ,874501,2006,True,True,True
ABKFQ,874501,2007,True,True,True
ABKFQ,874501,2008,True,True,True
ABMD,815094,2018,True,False,True
ABMD,815094,2019,True,False,True
ABMD,815094,2020,True,False,True
ABMD,815094,2021,True,False,True
ABMD,815094,2022,True,False,True
ABNB,1559720,2019,True,True,True
ABNB,1559720,2020,False,False,True
ABNB,1559720,2021,False,False,True
ABNB,1559720,2022,False,False,True
ABNB,1559720,2023,False,False,True
ABNB,1559720,2024,False,False,True
ABNB,1559720,2025,False,False,True
ABS,3333,2000,True,True,True
ABS,3333,2001,True,True,True
ABS,3333,2005,True,True,True
ABS,3333,2006,True,True,True
ABT,1800,2000,True,True,True
ABT,1800,2002,True,True,True
ABT,1800,2003,True,True,True
ABT,1800,2004,True,True,True
ABT,1800,2005,True,True,True
ABT,1800,2006,True,True,True
ABT,1800,2007,True,True,True
ABT,1800,2008,True,True,True
ABT,1800,2009,False,False,True
ABT,1800,2010,False,False,True
ABT,1800,2011,False,False,True
ABT,1800,2012,False,False,True
ABT,1800,2013,False,False,True
ABT,1800,2014,False,False,True
ABT,1800,2015,False,False,True
ABT,1800,2016,False,False,True
ABT,1800,2017,False,False,True
ABT,1800,2018,False,False,True
ABT,1800,2019,False,False,True
ABT,1800,2020,False,False,True
ABT,1800,2021,False,False,True
ABT,1800,2022,False,False,True
ABT,1800,2023,False,False,True
ABT,1800,2024,False,False,True
ABT,1800,2025,False,False,True
ABX,1814287,2020,False,False,True
ABX,1814287,2021,False,False,True
ABX,1814287,2022,False,False,True
ABX,1814287,2023,False,False,True
ABX,1814287,2024,False,False,True
ABX,1814287,2025,False,False,True
ACAS,817473,2001,True,True,True
ACAS,817473,2002,True,True,True
ACAS,817473,2003,True,True,True
ACAS,817473,2004,True,True,True
ACAS,817473,2005,True,True,True
ACAS,817473,2006,True,True,True
ACAS,817473,2007,True,True,True
ACAS,817473,2008,True,True,True
ACGL,947484,2008,True,True,True
ACGL,947484,2009,False,False,True
ACGL,947484,2010,False,False,True
ACGL,947484,2011,False,False,True
ACGL,947484,2012,False,False,True
ACGL,947484,2013,False,False,True
ACGL,947484,2014,False,False,True
ACGL,947484,2015,False,False,True
ACGL,947484,2016,False,False,True
ACGL,947484,2017,False,False,True
ACGL,947484,2018,False,False,True
ACGL,947484,2019,False,False,True
ACGL,947484,2020,False,False,True
ACGL,947484,2021,False,False,True
ACGL,947484,2022,False,False,True
ACGL,947484,2023,False,False,True
ACGL,947484,2024,False,False,True
ACGL,947484,2025,False,False,True
ACKH,7431,2000,True,True,True
ACKH,7431,2003,True,True,True
ACKH,7431,2004,True,True,True
ACKH,7431,2005,True,True,True
ACKH,7431,2006,True,True,True
ACKH,7431,2007,True,True,True
ACKH,7431,2008,True,True,True
ACN,1467373,2008,True,True,True
ACN,1467373,2009,False,False,True
ACN,1467373,2010,False,False,True
ACN,1467373,2011,False,False,True
ACN,1467373,2012,False,False,True
ACN,1467373,2013,False,False,True
ACN,1467373,2014,False,False,True
ACN,1467373,2015,False,False,True
ACN,1467373,2016,False,False,True
ACN,1467373,2017,False,False,True
ACN,1467373,2018,False,False,True
ACN,1467373,2019,False,False,True
ACN,1467373,2020,False,False,True
ACN,1467373,2021,False,False,True
ACN,1467373,2022,False,False,True
ACN,1467373,2023,False,False,True
ACN,1467373,2024,False,False,True
ACN,1467373,2025,False,False,True
ACS,2135,2001,True,True,True
ACS,2135,2002,True,True,True
ACS,2135,2003,True,True,True
ACS,2135,2004,True,True,True
ACS,2135,2005,True,True,True
ACS,2135,2006,True,True,True
ACS,2135,2007,True,True,True
ACS,2135,2008,True,True,True
ADBE,796343,2002,True,True,True
ADBE,796343,2006,True,True,True
ADBE,796343,2007,True,True,False
ADBE,796343,2008,True,True,False
ADBE,796343,2025,True,False,False
ADCT,1771910,2022,False,False,True
ADCT,1771910,2023,False,False,True
ADCT,1771910,2024,False,False,True
ADCT,1771910,2025,False,False,True
ADI,6281,2000,True,True,True
ADI,6281,2006,True,True,True
ADI,6281,2007,True,True,True
ADI,6281,2008,True,True,True
ADI,6281,2009,False,False,True
ADI,6281,2010,False,False,True
ADI,6281,2011,False,False,True
ADI,6281,2012,False,False,True
ADI,6281,2013,False,False,True
ADI,6281,2014,False,False,True
ADI,6281,2015,False,False,True
ADI,6281,2016,False,False,True
ADI,6281,2017,False,False,True
ADI,6281,2018,False,False,True
ADI,6281,2019,False,False,True
ADI,6281,2020,False,False,True
ADI,6281,2021,False,False,True
ADI,6281,2022,False,False,True
ADI,6281,2023,False,False,True
ADI,6281,2024,False,False,True
ADI,6281,2025,False,False,True
ADM,7084,2000,True,True,True
ADM,7084,2001,True,True,True
ADM,7084,2002,True,True,True
ADM,7084,2003,True,True,True
ADM,7084,2004,True,True,True
ADM,7084,2005,True,True,True
ADM,7084,2006,True,True,True
ADM,7084,2007,True,True,True
ADM,7084,2008,True,True,True
ADM,7084,2009,False,False,True
ADM,7084,2010,False,False,True
ADM,7084,2011,False,False,True
ADM,7084,2012,False,False,True
ADM,7084,2013,False,False,True
ADM,7084,2014,False,False,True
ADM,7084,2015,False,False,True
ADM,7084,2016,False,False,True
ADM,7084,2017,False,False,True
ADM,7084,2018,False,False,True
ADM,7084,2019,False,False,True
ADM,7084,2020,False,False,True
ADM,7084,2021,False,False,True
ADM,7084,2022,False,False,True
ADM,7084,2023,False,False,True
ADM,7084,2024,False,False,True
ADM,7084,2025,False,False,True
ADP,8670,2000,True,True,True
ADP,8670,2001,True,True,True
ADP,8670,2006,True,True,True
ADP,8670,2007,True,True,True
ADP,8670,2008,True,True,True
ADP,8670,2009,False,False,True
ADP,8670,2010,False,False,True
ADP,8670,2011,False,False,True
ADP,8670,2012,False,False,True
ADP,8670,2013,False,False,True
ADP,8670,2014,False,False,True
ADP,8670,2015,False,False,True
ADP,8670,2016,False,False,True
ADP,8670,2017,False,False,True
ADP,8670,2018,False,False,True
ADP,8670,2019,False,False,True
ADP,8670,2020,False,False,True
ADP,8670,2021,False,False,True
ADP,8670,2022,False,False,True
ADP,8670,2023,False,False,True
ADP,8670,2024,False,False,True
ADP,8670,2025,False,False,True
ADS,1101215,2013,True,False,True
ADS,1101215,2014,True,False,True
ADS,1101215,2015,True,False,True
ADS,1101215,2016,True,False,True
ADS,1101215,2017,True,False,True
ADS,1101215,2018,True,False,True
ADS,1101215,2019,True,False,True
ADS,1101215,2020,True,False,True
ADSK,769397,2001,True,True,True
ADSK,769397,2002,True,True,True
ADSK,769397,2003,True,True,True
ADSK,769397,2004,True,True,True
ADSK,769397,2005,True,True,True
ADSK,769397,2006,True,True,True
ADSK,769397,2007,True,True,True
ADSK,769397,2008,True,True,True
ADSK,769397,2009,False,False,True
ADSK,769397,2010,False,False,True
ADSK,769397,2011,False,False,True
ADSK,769397,2012,False,False,True
ADSK,769397,2013,False,False,True
ADSK,769397,2014,False,False,True
ADSK,769397,2015,False,False,True
ADSK,769397,2016,False,False,True
ADSK,769397,2017,False,False,True
ADSK,769397,2018,False,False,True
ADSK,769397,2019,False,False,True
ADSK,769397,2020,False,False,True
ADSK,769397,2021,False,False,True
ADSK,769397,2022,False,False,True
ADSK,769397,2023,False,False,True
ADSK,769397,2024,False,False,True
ADSK,769397,2025,False,False,True
ADSK,769397,2026,False,False,True
ADT,1703056,2016,True,True,True
ADT,1703056,2017,True,True,True
ADT,1703056,2018,False,False,True
ADT,1703056,2019,False,False,True
ADT,1703056,2020,False,False,True
ADT,1703056,2021,False,False,True
ADT,1703056,2022,False,False,True
ADT,1703056,2023,False,False,True
ADT,1703056,2024,False,False,True
ADT,1703056,2025,False,False,True
AEE,1002910,2001,True,True,True
AEE,1002910,2004,True,True,True
AEE,1002910,2005,True,True,True
AEE,1002910,2006,True,True,True
AEE,1002910,2007,True,True,True
AEE,1002910,2008,True,True,True
AEE,1002910,2009,False,False,True
AEE,1002910,2010,False,False,True
AEE,1002910,2011,False,False,True
AEE,1002910,2012,False,False,True
AEE,1002910,2013,False,False,True
AEE,1002910,2014,False,False,True
AEE,1002910,2015,False,False,True
AEE,1002910,2016,False,False,True
AEE,1002910,2017,False,False,True
AEE,1002910,2018,False,False,True
AEE,1002910,2019,False,False,True
AEE,1002910,2020,False,False,True
AEE,1002910,2021,False,False,True
AEE,1002910,2022,False,False,True
AEE,1002910,2023,False,False,True
AEE,1002910,2024,False,False,True
AEE,1002910,2025,False,False,True
AEP,4904,2001,True,True,True
AEP,4904,2004,True,True,True
AEP,4904,2005,True,True,True
AEP,4904,2006,True,True,True
AEP,4904,2007,True,True,True
AEP,4904,2008,True,True,True
AEP,4904,2009,False,False,True
AEP,4904,2010,False,False,True
AEP,4904,2011,False,False,True
AEP,4904,2012,False,False,True
AEP,4904,2013,False,False,True
AEP,4904,2014,False,False,True
AEP,4904,2015,False,False,True
AEP,4904,2016,False,False,True
AEP,4904,2017,False,False,True
AEP,4904,2018,False,False,True
AEP,4904,2019,False,False,True
AEP,4904,2020,False,False,True
AEP,4904,2021,False,False,True
AEP,4904,2022,False,False,True
AEP,4904,2023,False,False,True
AEP,4904,2024,False,False,True
AEP,4904,2025,False,False,True
AES,874761,2001,True,True,True
AES,874761,2002,True,True,True
AES,874761,2003,True,True,True
AES,874761,2004,True,True,True
AES,874761,2005,True,True,True
AES,874761,2006,True,True,True
AES,874761,2007,True,True,True
AES,874761,2008,True,False,True
AES,874761,2009,False,False,True
AES,874761,2010,False,False,True
AES,874761,2011,False,False,True
AES,874761,2012,False,False,True
AES,874761,2013,False,False,True
AES,874761,2014,False,False,True
AES,874761,2015,False,False,True
AES,874761,2016,False,False,True
AES,874761,2017,False,False,True
AES,874761,2018,False,False,True
AES,874761,2019,False,False,True
AES,874761,2020,False,False,True
AES,874761,2021,False,False,True
AES,874761,2022,False,False,True
AES,874761,2023,False,False,True
AES,874761,2024,False,False,True
AES,874761,2025,False,False,True
AET,1122304,2001,True,True,True
AET,1122304,2002,True,True,True
AET,1122304,2003,True,True,True
AET,1122304,2004,True,True,True
AET,1122304,2005,True,True,True
AET,1122304,2006,True,True,True
AET,1122304,2007,True,True,True
AET,1122304,2008,True,True,True
AET,1122304,2009,True,False,True
