id,company_name,company_number,start_date,end_date,entry_type,exit_type,exit_name,source_url
1,Eagle Star,,1984-01-02,1984-01-19,founding,removed,,
2,Magnet & Southerns,02953047,1984-01-02,1984-04-02,founding,removed,,
4,Barratt Development,15998687,1984-01-02,1984-07-02,founding,removed,,
5,Bowater Corporation,,1984-01-02,1984-07-19,founding,removed,,
6,Wimpey (George) & Co,,1984-01-02,1984-10-01,founding,removed,,
8,MFI Furniture,,1984-01-02,1984-10-01,founding,removed,,
10,Dowty Group,,1984-10-01,1985-01-02,added,removed,,
11,Berisford (S & W),02707046,1984-01-02,1985-01-02,founding,removed,,
12,RMC Group,09909380,1984-01-02,1985-01-02,founding,removed,,
13,Dalgety,10274117,1984-01-02,1985-01-02,founding,removed,,
14,Hambro Life,,1984-01-02,1985-02-01,founding,removed,,
16,House of Fraser,10686681,1984-01-02,1985-04-01,founding,removed,,
17,MFI Furniture,,1985-01-02,1985-04-01,added,removed,,
18,Ranks Hovis McDougall,,1985-04-01,1985-07-01,added,removed,,
19,Imperial Continental Gas Ass.,,1984-01-02,1985-07-01,founding,removed,,
20,Debenhams,,1985-07-01,1985-08-06,added,removed,,
21,Lonrho,02805337,1984-04-02,1985-10-01,added,removed,,
23,Habitat Mothercare,07034919,1985-10-01,1986-01-08,added,removed,,
24,British Home Stores,,1984-01-02,1986-01-08,founding,removed,,
25,Exco International,,1984-01-02,1986-04-01,founding,removed,,
27,Harrisons & Crosfield,05998739,1984-01-02,1986-04-01,founding,removed,,
28,Ultramar,,1984-01-02,1986-04-01,founding,removed,,
30,Distillers Company,,1984-01-02,1986-04-22,founding,removed,,
32,Bank of Scotland,SC327000,1985-08-06,1986-07-01,added,removed,,
33,Ferranti International,,1984-01-02,1986-07-01,founding,removed,,
34,British & Commonwealth,,1984-01-02,1986-10-01,founding,removed,,
35,BICC,16237399,1984-01-02,1986-10-01,founding,removed,,
36,Smith Industries,17136683,1985-04-01,1986-10-01,added,removed,,
38,Argyll Group,SC544125,1985-01-02,1987-01-02,added,removed,,
39,Burmah Oil,06208775,1986-07-01,1987-01-02,added,removed,,
40,Lucas Industries,,1986-04-01,1987-01-02,added,removed,,
44,IC Gas,,1987-01-02,1987-04-27,added,removed,,
45,GKN,04191106,1984-01-02,2018-04-24,founding,removed,,
46,Lonrho,02805337,1986-01-08,1987-07-01,added,removed,,
47,Unigate,,1986-10-01,1987-10-01,added,removed,,
48,RMC Group,09909380,1986-04-22,1987-10-01,added,removed,,
50,Blue Arrow,07767799,1987-10-01,1988-01-04,added,removed,,
51,Jaguar,15049410,1985-02-01,1988-01-04,added,removed,,
54,Dixons Group,12620781,1985-01-02,1988-04-05,added,removed,,
55,Sedgwick,13595866,1984-01-02,1988-04-05,founding,removed,,
57,Globe Investment Trust,,1984-01-02,1988-07-01,founding,removed,,
58,Rowntree,,1984-01-02,1988-07-07,founding,removed,,
59,Blue Arrow,07767799,1988-04-05,1988-10-03,added,removed,,
61,Next,04412362,1987-04-27,1989-01-03,added,removed,,
62,Williams Holdings,,1988-04-05,1989-01-03,added,removed,,
63,Amstrad,15698920,1984-01-02,1989-04-03,founding,removed,,
