code,company_name,sector,first_year,last_year,basis
AAF,AIRTEL AFRICA PLC,Communication Services,2022,2024,"GICS-style classification, reconstructed 2026-08-26"
AAL,ANGLO AMERICAN PLC,Materials,1999,2024,"GICS-style classification, reconstructed 2026-08-26"
AB.,Alliance Boots,Consumer Staples,2006,2006,"GICS-style classification, reconstructed 2026-08-26"
ABDN,Abrdn,Financials,2017,2022,"GICS-style classification, reconstructed 2026-08-26"
ABF,ASSOCIATED BRITISH FOODS PLC,Consumer Staples,1983,2024,"GICS-style classification, reconstructed 2026-08-26"
ABG,African Barrick Gold,Materials,2010,2010,"GICS-style classification, reconstructed 2026-08-26"
ABL,Abbey Life,Financials,1985,1985,"GICS-style classification, reconstructed 2026-08-26"
ADM,ADMIRAL GROUP PLC,Financials,2007,2024,"GICS-style classification, reconstructed 2026-08-26"
ADN,Aberdeen Asset Management,Financials,2012,2015,"GICS-style classification, reconstructed 2026-08-26"
AGK,Aggreko,Industrials,2009,2014,"GICS-style classification, reconstructed 2026-08-26"
AHM,Amersham,Health Care,1997,2003,"GICS-style classification, reconstructed 2026-08-26"
AHT,ASHTEAD GROUP PLC,Industrials,2013,2024,"GICS-style classification, reconstructed 2026-08-26"
AL,Alliance & Leicester,Financials,1997,2007,"GICS-style classification, reconstructed 2026-08-26"
ALLD,Allied Domecq,Consumer Staples,1994,2004,"GICS-style classification, reconstructed 2026-08-26"
ALW,ALLIANCE WITAN PLC,Financials,2024,2024,"GICS-style classification, reconstructed 2026-08-26"
ALY,Allied-Lyons,Consumer Staples,1983,1993,"GICS-style classification, reconstructed 2026-08-26"
AMEC,Amec,Industrials,2007,2013,"GICS-style classification, reconstructed 2026-08-26"
AML,Amlin,Financials,2008,2008,"GICS-style classification, reconstructed 2026-08-26"
AMT,Amstrad,Information Technology,1986,1988,"GICS-style classification, reconstructed 2026-08-26"
ANL,Abbey National,Financials,1989,2003,"GICS-style classification, reconstructed 2026-08-26"
ANTO,ANTOFAGASTA PLC,Materials,2004,2024,"GICS-style classification, reconstructed 2026-08-26"
ANW,Anglian Water,Utilities,1990,1993,"GICS-style classification, reconstructed 2026-08-26"
ARG.L,Argyll Group,Consumer Staples,1985,1995,"GICS-style classification, reconstructed 2026-08-26"
ARM,ARM Holdings,Information Technology,1999,2015,"GICS-style classification, reconstructed 2026-08-26"
ASDA,Asda Group Plc,Consumer Staples,1983,1998,"GICS-style classification, reconstructed 2026-08-26"
ASHM,Ashmore Group,Financials,2011,2011,"GICS-style classification, reconstructed 2026-08-26"
ATST,Alliance Trust,Financials,2008,2010,"GICS-style classification, reconstructed 2026-08-26"
AU.,Autonomy Corporation,Information Technology,2000,2010,"GICS-style classification, reconstructed 2026-08-26"
AUN,Alliance Unichem,Consumer Staples,2002,2005,"GICS-style classification, reconstructed 2026-08-26"
AUTO,AUTO TRADER GROUP PLC,Communication Services,2018,2024,"GICS-style classification, reconstructed 2026-08-26"
AV.,AVIVA PLC,Financials,1998,2024,"GICS-style classification, reconstructed 2026-08-26"
AVST,Avast,Information Technology,2020,2021,"GICS-style classification, reconstructed 2026-08-26"
AVV,Aveva Group,Information Technology,2019,2022,"GICS-style classification, reconstructed 2026-08-26"
AVZ,Amvescap,Financials,1997,2006,"GICS-style classification, reconstructed 2026-08-26"
AWAP,Arjo Wiggins Appleton plc,Materials,1990,1994,"GICS-style classification, reconstructed 2026-08-26"
AZN,ASTRAZENECA PLC,Health Care,1999,2024,"GICS-style classification, reconstructed 2026-08-26"
AZU,Allied Zurich,Financials,1998,1999,"GICS-style classification, reconstructed 2026-08-26"
BA.,BAE SYSTEMS PLC,Industrials,1983,2024,"GICS-style classification, reconstructed 2026-08-26"
BAA,BAA,Industrials,1987,2005,"GICS-style classification, reconstructed 2026-08-26"
BAB,Babcock International Group,Industrials,2012,2016,"GICS-style classification, reconstructed 2026-08-26"
BARC,BARCLAYS PLC,Financials,1983,2024,"GICS-style classification, reconstructed 2026-08-26"
BASS,Bass,Consumer Staples,1983,2000,"GICS-style classification, reconstructed 2026-08-26"
BATS,BRITISH AMERICAN TOBACCO PLC,Consumer Staples,1983,2024,"GICS-style classification, reconstructed 2026-08-26"
BAW,Blue Arrow,Industrials,1987,1987,"GICS-style classification, reconstructed 2026-08-26"
BAY,British Airways,Industrials,1987,2010,"GICS-style classification, reconstructed 2026-08-26"
BBY,Bradford & Bingley,Financials,2002,2006,"GICS-style classification, reconstructed 2026-08-26"
BCH,Beecham Group,Health Care,1983,1988,"GICS-style classification, reconstructed 2026-08-26"
BCH.L,British & Commonwealth,Financials,1983,1988,"GICS-style classification, reconstructed 2026-08-26"
BCL,Blue Circle Industries,Materials,1983,2000,"GICS-style classification, reconstructed 2026-08-26"
BDEV,Barratt Developments,Consumer Discretionary,1983,2020,"GICS-style classification, reconstructed 2026-08-26"
BERI.L,Berisford (S & W),Consumer Staples,1983,1984,"GICS-style classification, reconstructed 2026-08-26"
BET,BET,Industrials,1985,1991,"GICS-style classification, reconstructed 2026-08-26"
BET.L,British Elect. Traction Co.,Industrials,1983,1984,"GICS-style classification, reconstructed 2026-08-26"
BEZ,BEAZLEY PLC,Financials,2022,2024,"GICS-style classification, reconstructed 2026-08-26"
BG.,BG Group,Energy,2001,2015,"GICS-style classification, reconstructed 2026-08-26"
BGAS,British Gas,Utilities,1986,1996,"GICS-style classification, reconstructed 2026-08-26"
BGY,British Energy Group,Utilities,1997,2008,"GICS-style classification, reconstructed 2026-08-26"
BHP,BHP Group Plc,Materials,2001,2021,"GICS-style classification, reconstructed 2026-08-26"
BHS,British Home Stores,Consumer Discretionary,1983,1985,"GICS-style classification, reconstructed 2026-08-26"
BI.,Brambles Industries,Industrials,2001,2005,"GICS-style classification, reconstructed 2026-08-26"
BICC,BICC,Industrials,1983,1991,"GICS-style classification, reconstructed 2026-08-26"
BKG,BERKELEY GROUP HOLDINGS (THE) PLC,Consumer Discretionary,2015,2024,"GICS-style classification, reconstructed 2026-08-26"
BLND,British Land Co,Real Estate,1997,2024,"GICS-style classification, reconstructed 2026-08-26"
BLT,Billiton,Materials,1997,2000,"GICS-style classification, reconstructed 2026-08-26"
BME,B&M European Value Retail,Consumer Discretionary,2021,2023,"GICS-style classification, reconstructed 2026-08-26"
BMEB,B&M European Value Retail,Consumer Discretionary,2020,2020,"GICS-style classification, reconstructed 2026-08-26"
BNZL,BUNZL PLC,Industrials,1986,2024,"GICS-style classification, reconstructed 2026-08-26"
BOC,BOC,Materials,1983,2005,"GICS-style classification, reconstructed 2026-08-26"
BOOT,Boots Group PLC,Consumer Staples,1983,2005,"GICS-style classification, reconstructed 2026-08-26"
BOS,Bank of Scotland,Financials,1985,2000,"GICS-style classification, reconstructed 2026-08-26"
BP.,BP PLC,Energy,1983,2024,"GICS-style classification, reconstructed 2026-08-26"
BPB,BPB Industries,Materials,1983,1990,"GICS-style classification, reconstructed 2026-08-26"
BPC,British Printing & Communications Corp,Communication Services,1986,1986,"GICS-style classification, reconstructed 2026-08-26"
BRBY,Burberry Group,Consumer Discretionary,2009,2023,"GICS-style classification, reconstructed 2026-08-26"
BRIT,Britoil,Energy,1983,1987,"GICS-style classification, reconstructed 2026-08-26"
BST,British Steel,Materials,1988,1997,"GICS-style classification, reconstructed 2026-08-26"
BSY,British Sky Broadcasting Group,Communication Services,1995,2013,"GICS-style classification, reconstructed 2026-08-26"
BT-A,BT GROUP PLC,Communication Services,2021,2024,"GICS-style classification, reconstructed 2026-08-26"
BT.A,BT GROUP PLC,Communication Services,1984,2020,"GICS-style classification, reconstructed 2026-08-26"
BTR,BTR,Industrials,1983,1998,"GICS-style classification, reconstructed 2026-08-26"
BTRW,BARRATT REDROW PLC,Consumer Discretionary,2021,2024,"GICS-style classification, reconstructed 2026-08-26"
BUR,Burmah Castrol,Energy,1983,1996,"GICS-style classification, reconstructed 2026-08-26"
BWTR,Bowater,Materials,1983,1994,"GICS-style classification, reconstructed 2026-08-26"
CBRY,Cadbury Plc,Consumer Staples,1983,2009,"GICS-style classification, reconstructed 2026-08-26"
CCH,COCA-COLA HBC AG,Consumer Staples,2013,2024,"GICS-style classification, reconstructed 2026-08-26"
CCL,Carnival,Consumer Discretionary,2003,2019,"GICS-style classification, reconstructed 2026-08-26"
CCM,Carlton Communication,Communication Services,1989,2000,"GICS-style classification, reconstructed 2026-08-26"
CGFD,Consolidated Gold Fields,Materials,1983,1988,"GICS-style classification, reconstructed 2026-08-26"
CJR,CHARTERHOUSE J. ROTHSCHILD PLC,Financials,1984,1984,"GICS-style classification, reconstructed 2026-08-26"
CKSN,Cookson Group plc,Industrials,1986,1995,"GICS-style classification, reconstructed 2026-08-26"
CMCS,Capital Shopping Centres Group,Real Estate,2010,2012,"GICS-style classification, reconstructed 2026-08-26"
CMG,CMG,Information Technology,1999,2000,"GICS-style classification, reconstructed 2026-08-26"
