code,company_name,sector,basis,first_year,last_year,company_number,match_basis,match_years
AAF,AIRTEL AFRICA PLC,Communication Services,"GICS-style classification, reconstructed 2026-08-26",2022,2024,11462215,code_unique,2022-2024
AAL,ANGLO AMERICAN PLC,Materials,"GICS-style classification, reconstructed 2026-08-26",1999,2024,03564138,code_unique,1999-2024
AB.,Alliance Boots,Consumer Staples,"GICS-style classification, reconstructed 2026-08-26",2006,2006,04452715,code_unique,2006-2006
ABDN,Abrdn,Financials,"GICS-style classification, reconstructed 2026-08-26",2017,2022,16133984,code_unique,2017-2022
ABF,ASSOCIATED BRITISH FOODS PLC,Consumer Staples,"GICS-style classification, reconstructed 2026-08-26",1983,2024,00293262,code_unique,1983-2024
ABG,African Barrick Gold,Materials,"GICS-style classification, reconstructed 2026-08-26",2010,2010,,unresolved_no_composition_record,
ABL,Abbey Life,Financials,"GICS-style classification, reconstructed 2026-08-26",1985,1985,00710383,code_unique,1985-1985
ADM,ADMIRAL GROUP PLC,Financials,"GICS-style classification, reconstructed 2026-08-26",2007,2024,03849958,code_unique,2007-2024
ADN,Aberdeen Asset Management,Financials,"GICS-style classification, reconstructed 2026-08-26",2012,2015,16133984,code_unique,2012-2015
AGK,Aggreko,Industrials,"GICS-style classification, reconstructed 2026-08-26",2009,2014,SC177553,code_unique,2009-2014
AHM,Amersham,Health Care,"GICS-style classification, reconstructed 2026-08-26",1997,2003,09406669,code_unique,2001-2003
AHT,ASHTEAD GROUP PLC,Industrials,"GICS-style classification, reconstructed 2026-08-26",2013,2024,01807982,code_unique,2013-2024
AL,Alliance & Leicester,Financials,"GICS-style classification, reconstructed 2026-08-26",1997,2007,03263713,code_unique,1997-2007
ALLD,Allied Domecq,Consumer Staples,"GICS-style classification, reconstructed 2026-08-26",1994,2004,03771147,code_unique,1994-2004
ALW,ALLIANCE WITAN PLC,Financials,"GICS-style classification, reconstructed 2026-08-26",2024,2024,SC001731,code_unique,2024-2024
ALY,Allied-Lyons,Consumer Staples,"GICS-style classification, reconstructed 2026-08-26",1983,1993,,unresolved_no_composition_record,
AMEC,Amec,Industrials,"GICS-style classification, reconstructed 2026-08-26",2007,2013,09496208,code_unique,2007-2013
AML,Amlin,Financials,"GICS-style classification, reconstructed 2026-08-26",2008,2008,,unresolved_no_composition_record,
AMT,Amstrad,Information Technology,"GICS-style classification, reconstructed 2026-08-26",1986,1988,15698920,code_unique,1986-1988
ANL,Abbey National,Financials,"GICS-style classification, reconstructed 2026-08-26",1989,2003,02294747,code_unique,1989-2003
ANTO,ANTOFAGASTA PLC,Materials,"GICS-style classification, reconstructed 2026-08-26",2004,2024,01627889,code_unique,2004-2024
ANW,Anglian Water,Utilities,"GICS-style classification, reconstructed 2026-08-26",1990,1993,07476767,code_unique,1990-1993
ARG.L,Argyll Group,Consumer Staples,"GICS-style classification, reconstructed 2026-08-26",1985,1995,SC544125,code_unique,1985-1995
ARM,ARM Holdings,Information Technology,"GICS-style classification, reconstructed 2026-08-26",1999,2015,11299879,code_unique,1999-2015
ASDA,Asda Group Plc,Consumer Staples,"GICS-style classification, reconstructed 2026-08-26",1983,1998,01396513,code_unique,1983-1998
ASHM,Ashmore Group,Financials,"GICS-style classification, reconstructed 2026-08-26",2011,2011,03675683,code_unique,2011-2011
ATST,Alliance Trust,Financials,"GICS-style classification, reconstructed 2026-08-26",2008,2010,SC001731,code_unique,2008-2010
AU.,Autonomy Corporation,Information Technology,"GICS-style classification, reconstructed 2026-08-26",2000,2010,,unresolved_no_composition_record,
AUN,Alliance Unichem,Consumer Staples,"GICS-style classification, reconstructed 2026-08-26",2002,2005,,unresolved_no_composition_record,
AUTO,AUTO TRADER GROUP PLC,Communication Services,"GICS-style classification, reconstructed 2026-08-26",2018,2024,09439967,code_unique,2018-2024
AV.,AVIVA PLC,Financials,"GICS-style classification, reconstructed 2026-08-26",1998,2024,02468686,code_unique,2002-2024
AVST,Avast,Information Technology,"GICS-style classification, reconstructed 2026-08-26",2020,2021,07118170,code_unique,2020-2021
AVV,Aveva Group,Information Technology,"GICS-style classification, reconstructed 2026-08-26",2019,2022,02937296,code_unique,2019-2022
AVZ,Amvescap,Financials,"GICS-style classification, reconstructed 2026-08-26",1997,2006,00308372,code_unique,1997-2006
AWAP,Arjo Wiggins Appleton plc,Materials,"GICS-style classification, reconstructed 2026-08-26",1990,1994,00961440,code_plus_year_overlap,1991-1994
AZN,ASTRAZENECA PLC,Health Care,"GICS-style classification, reconstructed 2026-08-26",1999,2024,02723534,code_unique,1999-2024
AZU,Allied Zurich,Financials,"GICS-style classification, reconstructed 2026-08-26",1998,1999,03525388,code_unique,1998-1999
