company_number,company_name,incorporation_date,company_status,source_url,retrieved
02707046,BERISFORDS LIMITED,1992-04-14,active,https://find-and-update.company-information.service.gov.uk/company/02707046,2026-09-16
02805337,LONRHO LIMITED,1993-03-31,dissolved,https://find-and-update.company-information.service.gov.uk/company/02805337,2026-09-16
03110569,COMPUTACENTER PLC,1995-10-02,active,https://find-and-update.company-information.service.gov.uk/company/03110569,2026-09-16
03299793,GALLAHER GROUP LIMITED,1997-01-02,dissolved,https://find-and-update.company-information.service.gov.uk/company/03299793,2026-09-16
11444019,M&G PLC,2018-07-02,active,https://find-and-update.company-information.service.gov.uk/company/11444019,2026-09-16
SC270184,EDF ENERGY NUCLEAR GENERATION GROUP LIMITED,2004-07-02,active,https://find-and-update.company-information.service.gov.uk/company/SC270184,2026-09-16
SC544125,ARGYLL GROUP LTD,2016-08-30,active,https://find-and-update.company-information.service.gov.uk/company/SC544125,2026-09-16
02983774,CABLE AND WIRELESS (INDIA) LIMITED,1994-10-21,active,https://find-and-update.company-information.service.gov.uk/company/02983774,2026-09-16
00083718,FERRANTI INTERNATIONAL PLC,1905-02-27,dissolved,https://find-and-update.company-information.service.gov.uk/company/00083718,2026-09-16
12283210,TASTE AND LYLE LTD,2019-10-25,active,https://find-and-update.company-information.service.gov.uk/company/12283210,2026-09-16
06798969,THUS LIMITED,2009-01-22,active,https://find-and-update.company-information.service.gov.uk/company/06798969,2026-09-16
11466170,COMPASS LTD,2018-07-16,active,https://find-and-update.company-information.service.gov.uk/company/11466170,2026-09-16
04256886,MARKS AND SPENCER GROUP P.L.C.,2001-07-23,active,https://find-and-update.company-information.service.gov.uk/company/04256886,2026-09-16
07767799,BLUE SPARROW LTD,2011-09-08,active,https://find-and-update.company-information.service.gov.uk/company/07767799,2026-09-16
09909380,RMC GROUP LTD,2015-12-09,active,https://find-and-update.company-information.service.gov.uk/company/09909380,2026-09-16
11408139,HILLSON HOLDINGS LTD,2018-06-11,active,https://find-and-update.company-information.service.gov.uk/company/11408139,2026-09-16
12215835,GLAXOSMITHKLINE LIMITED,2019-09-19,active,https://find-and-update.company-information.service.gov.uk/company/12215835,2026-09-16
15049410,JAGUAR LIMITED,2023-08-04,active,https://find-and-update.company-information.service.gov.uk/company/15049410,2026-09-16
03591559,OM RESIDUAL UK LIMITED,1998-06-26,active,https://find-and-update.company-information.service.gov.uk/company/03591559,2026-09-16
00395826,BALFOUR BEATTY PLC,1945-05-31,active,https://find-and-update.company-information.service.gov.uk/company/00395826,2026-09-16
11353526,PSIONET LTD,2018-05-10,active,https://find-and-update.company-information.service.gov.uk/company/11353526,2026-09-16
