symbol,cik,edgar_name,sic,sic_description,entity_type,state_of_inc,former_names,existing_sector,source_url,retrieved
ABT,0000001800,ABBOTT LABORATORIES,2834,Pharmaceutical Preparations,operating,IL,,Health Care,https://data.sec.gov/submissions/CIK0000001800.json,2026-09-15
ACS,0000002135,AFFILIATED COMPUTER SERVICES INC,7374,Services-Computer Processing & Data Preparation,operating,DE,,Information Technology,https://data.sec.gov/submissions/CIK0000002135.json,2026-09-15
AMD,0000002488,ADVANCED MICRO DEVICES INC,3674,Semiconductors & Related Devices,operating,DE,,Information Technology,https://data.sec.gov/submissions/CIK0000002488.json,2026-09-15
APD,0000002969,"Air Products & Chemicals, Inc.",2810,Industrial Inorganic Chemicals,operating,DE,AIR PRODUCTS & CHEMICALS INC /DE/,Materials,https://data.sec.gov/submissions/CIK0000002969.json,2026-09-15
ABS,0000003333,ALBERTSONS INC /DE/,5411,Retail-Grocery Stores,operating,DE,,Consumer Staples,https://data.sec.gov/submissions/CIK0000003333.json,2026-09-15
IKN,0000003370,IKON OFFICE SOLUTIONS INC,5045,Wholesale-Computers & Peripheral Equipment & Software,operating,OH,ALCO STANDARD CORP,Industrials,https://data.sec.gov/submissions/CIK0000003370.json,2026-09-15
AYE,0000003673,"ALLEGHENY ENERGY, INC",4911,Electric Services,operating,MD,ALLEGHENY ENERGY INC; ALLEGHENY POWER SYSTEM INC,Utilities,https://data.sec.gov/submissions/CIK0000003673.json,2026-09-15
SWKS,0000004127,"SKYWORKS SOLUTIONS, INC.",3674,Semiconductors & Related Devices,operating,DE,SKYWORKS SOLUTIONS INC; ALPHA INDUSTRIES INC,Information Technology,https://data.sec.gov/submissions/CIK0000004127.json,2026-09-15
HWM,0000004281,Howmet Aerospace Inc.,3350,Rolling Drawing & Extruding of  Nonferrous Metals,operating,DE,Arconic Inc.; ALCOA INC.; ALCOA INC; ALUMINUM CO OF AMERICA,Industrials,https://data.sec.gov/submissions/CIK0000004281.json,2026-09-15
AL,0000004285,ALCAN INC,3330,Primary Smelting & Refining of  Nonferrous Metals,operating,A6,ALCAN ALUMINIUM LTD /NEW,Materials,https://data.sec.gov/submissions/CIK0000004285.json,2026-09-15
AZA.A,0000004310,ALZA CORP,2834,Pharmaceutical Preparations,operating,DE,,Health Care,https://data.sec.gov/submissions/CIK0000004310.json,2026-09-15
HES,0000004447,HESS CORP,2911,Petroleum Refining,operating,DE,AMERADA HESS CORP,Energy,https://data.sec.gov/submissions/CIK0000004447.json,2026-09-15
AEP,0000004904,AMERICAN ELECTRIC POWER CO INC,4911,Electric Services,operating,NY,AMERICAN ELECTRIC POWER COMPANY INC,Utilities,https://data.sec.gov/submissions/CIK0000004904.json,2026-09-15
AXP,0000004962,AMERICAN EXPRESS CO,6199,Finance Services,operating,NY,,Financials,https://data.sec.gov/submissions/CIK0000004962.json,2026-09-15
AFL,0000004977,AFLAC INC,6321,Accident & Health Insurance,operating,GA,,Financials,https://data.sec.gov/submissions/CIK0000004977.json,2026-09-15
WYE,0000005187,WYETH,2834,Pharmaceutical Preparations,operating,DE,AMERICAN HOME PRODUCTS CORP,Health Care,https://data.sec.gov/submissions/CIK0000005187.json,2026-09-15
AIG,0000005272,"AMERICAN INTERNATIONAL GROUP, INC.",6331,"Fire, Marine & Casualty Insurance",operating,DE,AMERICAN INTERNATIONAL GROUP INC,Financials,https://data.sec.gov/submissions/CIK0000005272.json,2026-09-15
