ticker|founded_year|source_url
AABA|1994|https://en.wikipedia.org/wiki/History_of_Yahoo
AAP|1932|https://en.wikipedia.org/wiki/Advance_Auto_Parts
ABC|1888|https://www.fundinguniverse.com/company-histories/bergen-brunswig-corporation-history/
ABKFQ|1971|https://en.wikipedia.org/wiki/Ambac
ABMD|1981|https://en.wikipedia.org/wiki/Abiomed
ACAS|1986|https://en.wikipedia.org/wiki/American_Capital
ACS|1988|https://en.wikipedia.org/wiki/Affiliated_Computer_Services
ADCT|2011|https://www.swissbiotech.org/listing/adc-therapeutics-sa/
ADS|1996|https://en.wikipedia.org/wiki/Bread_Financial
ADT|1874|https://en.wikipedia.org/wiki/ADT_Inc.
AFS.A|1897|https://en.wikipedia.org/wiki/AmerUs
AIV|1975|https://en.wikipedia.org/wiki/Aimco
AKS|1899|https://en.wikipedia.org/wiki/AK_Steel
ALK|1932|https://en.wikipedia.org/wiki/Alaska_Airlines
ALTR|1983|https://en.wikipedia.org/wiki/Altera
ALXN|1992|https://en.wikipedia.org/wiki/Alexion_Pharmaceuticals
AMCC|1979|https://en.wikipedia.org/wiki/Applied_Micro_Circuits_Corporation
AMG|1993|https://en.wikipedia.org/wiki/Affiliated_Managers_Group
AMTM|2020|https://en.wikipedia.org/wiki/Amentum_Holdings
ANDV|1968|https://en.wikipedia.org/wiki/Tesoro_Corporation
ANF|1892|https://en.wikipedia.org/wiki/Abercrombie_%26_Fitch
ANRZQ|2002|https://en.wikipedia.org/wiki/Alpha_Natural_Resources
ANSS|1970|https://en.wikipedia.org/wiki/Ansys
ANTM|1946|https://en.wikipedia.org/wiki/Elevance_Health
APC||
APCC|1981|https://www.sec.gov/Archives/edgar/data/0000835910/000110465906017357/a06-2613_110k.htm
APOL|1976|https://en.wikipedia.org/wiki/Apollo_Education_Group
ARG|1982|https://en.wikipedia.org/wiki/Airgas
ASN|1998|https://en.wikipedia.org/wiki/Archstone
ASND|2007|https://ascendispharma.com/about-us/
ASO|1938|https://en.wikipedia.org/wiki/Academy_Sports_+_Outdoors
ATGE|1931|https://en.wikipedia.org/wiki/DeVry_University
ATVI|1979|https://en.wikipedia.org/wiki/Activision
AV|2000|https://en.wikipedia.org/wiki/Avaya
AW|1987|https://www.fundinguniverse.com/company-histories/allied-waste-industries-inc-history/
AWE|1986|https://en.wikipedia.org/wiki/McCaw_Cellular_Communications
AYE|1907|https://en.wikipedia.org/wiki/Allegheny_Energy
AYI|1919|https://en.wikipedia.org/wiki/Acuity_Brands
BBBY|1971|https://www.encyclopedia.com/books/politics-and-business-magazines/bed-bath-beyond-inc-0
BBT|1872|https://en.wikipedia.org/wiki/Truist_Financial
BBWI|1990|https://en.wikipedia.org/wiki/Bath_%26_Body_Works
BGEN|1978|https://en.wikipedia.org/wiki/Biogen
BHF|2017|https://en.wikipedia.org/wiki/Brighthouse_Financial
BIG|1967|https://en.wikipedia.org/wiki/Big_Lots
BIO|1952|https://en.wikipedia.org/wiki/Bio-Rad_Laboratories
BJS|1872|https://en.wikipedia.org/wiki/BJ_Energy_Solutions
BMC|1980|https://en.wikipedia.org/wiki/BMC_Software
BRCM|1991|https://www.britannica.com/money/Broadcom-Inc
BRL|1970|https://en.wikipedia.org/wiki/Barr_Pharmaceuticals
BSC|1923|https://en.wikipedia.org/wiki/Bear_Stearns
BTUUQ|1883|https://www.encyclopedia.com/books/politics-and-business-magazines/peabody-energy-corporation
BVSN|1993|https://en.wikipedia.org/wiki/BroadVision
BWA|1880|https://en.wikipedia.org/wiki/BorgWarner
BXLT|2015|https://en.wikipedia.org/wiki/Baxalta
CAM|1920|https://en.wikipedia.org/wiki/Cameron_International
CBH|1973|https://en.wikipedia.org/wiki/Commerce_Bancorp
CBSS|1964|https://en.wikipedia.org/wiki/Compass_Bancshares
CCE|1986|https://en.wikipedia.org/wiki/Coca-Cola_Enterprises
CCEP|2016|https://en.wikipedia.org/wiki/Coca-Cola_Europacific_Partners
CCU|1902|https://en.wikipedia.org/wiki/Compa%C3%B1%C3%ADa_de_Cervecer%C3%ADas_Unidas
CDAY|1957|https://en.wikipedia.org/wiki/Dayforce
CE|1918|https://en.wikipedia.org/wiki/Celanese
CELG|1986|https://en.wikipedia.org/wiki/Celgene
CEPH|1987|https://en.wikipedia.org/wiki/Cephalon_(company)
CERN|1979|https://en.wikipedia.org/wiki/Oracle_Health
CFC|1969|https://en.wikipedia.org/wiki/Bank_of_America_Home_Loans
CFN|2009|https://en.wikipedia.org/wiki/CareFusion
CHIR|1981|https://en.wikipedia.org/wiki/Chiron_Corporation
CHK|1989|https://en.wikipedia.org/wiki/Expand_Energy
CIT.A|1908|https://en.wikipedia.org/wiki/CIT_Group
CITGQ|1908|https://en.wikipedia.org/wiki/CIT_Group
CLF|1847|https://en.wikipedia.org/wiki/Cleveland-Cliffs
CMCSK|1963|https://en.wikipedia.org/wiki/Comcast
CMVT|1982|https://en.wikipedia.org/wiki/Comverse_Technology
CMX|1979|https://en.wikipedia.org/wiki/CVS_Caremark
CNX|1860|https://en.wikipedia.org/wiki/CNX_Resources
CNXT|1999|https://en.wikipedia.org/wiki/Conexant
COC.B|1875|https://en.wikipedia.org/wiki/ConocoPhillips
COG|1989|https://en.wikipedia.org/wiki/Cabot_Oil_%26_Gas
COL|1933|https://en.wikipedia.org/wiki/Rockwell_Collins
COTY|1904|https://en.wikipedia.org/wiki/Coty
CPGX|2015|https://en.wikipedia.org/wiki/NiSource
CPNLQ|1984|https://en.wikipedia.org/wiki/Calpine
CPRI|1981|https://en.wikipedia.org/wiki/Capri_Holdings
CPWR||
CSRA|2015|https://en.wikipedia.org/wiki/CSRA_Inc.
CTL|1930|https://en.wikipedia.org/wiki/CenturyLink
CTLT|1933|https://en.wikipedia.org/wiki/Robert_Pauli_Scherer
CTRA|1989|https://en.wikipedia.org/wiki/Coterra
CTXS|1989|https://en.wikipedia.org/wiki/Citrix_Systems
CVC|1973|https://en.wikipedia.org/wiki/Cablevision
CVG|1998|https://en.wikipedia.org/wiki/Convergys
CVH|1986|https://en.wikipedia.org/wiki/Coventry_Health_Care
CXO|2004|https://en.wikipedia.org/wiki/Concho_Resources
CZR|1937|https://en.wikipedia.org/wiki/Harrah's_Entertainment
DAY|1992|https://en.wikipedia.org/wiki/Dayforce
DDR|1965|https://en.wikipedia.org/wiki/SITE_Centers
DF|1925|https://en.wikipedia.org/wiki/Dean_Foods
DFS|1985|https://en.wikipedia.org/wiki/Discover_Financial
DISCA|1982|https://en.wikipedia.org/wiki/Discovery_Communications
DISCK|1982|https://en.wikipedia.org/wiki/Discovery_Communications
DISH|1980|https://en.wikipedia.org/wiki/Dish_Network
DNB|1841|https://en.wikipedia.org/wiki/Dun_%26_Bradstreet
DNR|1951|https://en.wikipedia.org/wiki/Denbury_Resources
DO|1964|https://en.wikipedia.org/wiki/Diamond_Offshore_Drilling
DPHIQ|1994|https://en.wikipedia.org/wiki/Aptiv
DRE|1972|https://en.wikipedia.org/wiki/Duke_Realty
DTV|1994|https://en.wikipedia.org/wiki/DirecTV
DWDP|1802|https://en.wikipedia.org/wiki/DuPont
DYN|2018|https://pitchbook.com/profiles/company/266532-04
EDS|1962|https://en.wikipedia.org/wiki/Electronic_Data_Systems
EHC|1984|https://en.wikipedia.org/wiki/Encompass_Health
ENDP|1920|https://en.wikipedia.org/wiki/Endo_International
ENPH|2006|https://en.wikipedia.org/wiki/Enphase_Energy
EOP|1976|https://en.wikipedia.org/wiki/EQ_Office
EP|1983|https://finance.yahoo.com/quote/EP/profile/
EPAM|1993|https://en.wikipedia.org/wiki/EPAM_Systems
EQ|2017|https://www.cbinsights.com/company/equillium
ESRX|1986|https://en.wikipedia.org/wiki/Express_Scripts
ESV|1975|https://en.wikipedia.org/wiki/Valaris_Limited
ETFC|1982|https://en.wikipedia.org/wiki/E-Trade
