symbol|company_name|founded_year|founded_month|source_url
AAL|American Airlines Group Inc.|1926|April|https://en.wikipedia.org/wiki/American_Airlines
AAMRQ|AMR Corporation|1926|April|https://en.wikipedia.org/wiki/AMR_Corporation
ABBV|AbbVie Inc.|2013|January|https://en.wikipedia.org/wiki/AbbVie
ABI|Applied Biosystems (Perkin-Elmer)|1937||https://en.wikipedia.org/wiki/PerkinElmer
ABS|Albertsons Inc.|1939||https://en.wikipedia.org/wiki/Albertsons
ABX|Abacus Global Management|2004||https://stockanalysis.com/stocks/abx/company/
ACKH|Armstrong World Industries|1860||https://en.wikipedia.org/wiki/Armstrong_World_Industries
ACV|Virtus Diversified Income & Convertible Fund|2015||https://www.virtus.com/products/virtus-diversified-income-and-convertible-fund
AET|Aetna Inc.|1853||https://en.wikipedia.org/wiki/Aetna
AGC|American General Corporation|1926|May|https://www.encyclopedia.com/social-sciences-and-law/economics-business-and-labor/businesses-and-occupations/american-general-corp
AGN|Allergan Inc.|1948||https://en.wikipedia.org/wiki/Allergan
AHM|H. F. Ahmanson & Co.|1927||https://en.wikipedia.org/wiki/H._F._Ahmanson_%26_Co.
AIT|Applied Industrial Technologies|1923||https://en.wikipedia.org/wiki/Applied_Industrial_Technologies
AL|Alcan Inc.|1902||https://en.wikipedia.org/wiki/Alcan
AM|Antero Midstream Corp|2013|September|https://en.wikipedia.org/wiki/Antero_Midstream
AMCR|Amcor plc|1860||https://en.wikipedia.org/wiki/Amcor
AMH|American Homes 4 Rent|2012|October|https://en.wikipedia.org/wiki/American_Homes_4_Rent
AN|AutoNation, Inc.|1996||https://en.wikipedia.org/wiki/AutoNation
ANDW|Andrew Corporation|1937||https://en.wikipedia.org/wiki/Andrew_Corporation
ANV|Allied Nevada Gold Corp|2006|September|https://www.sec.gov/Archives/edgar/data/1376610/000119312511048426/d10k.htm
AON|Aon plc|1982||https://en.wikipedia.org/wiki/Aon_(company)
APC|ARKO Petroleum Corp.|2003||https://simplywall.st/stocks/us/retail/nasdaq-apc/arko-petroleum/information
AR|Antero Resources Corp|2002||https://en.wikipedia.org/wiki/Antero_Resources
ARC|Atlantic Richfield (ARCO)|1966|January|https://en.wikipedia.org/wiki/ARCO
ARNC|Arconic (formerly Alcoa)|1888||https://en.wikipedia.org/wiki/Alcoa
AS|Amer Sports, Inc.|1950||https://en.wikipedia.org/wiki/Amer_Sports
ASC|Ardmore Shipping Corp|2010||https://stockanalysis.com/stocks/asc/company/
ASH|Ashland Inc.|1924||https://en.wikipedia.org/wiki/Ashland_Global
AT|Alltel Corp|1943||https://en.wikipedia.org/wiki/Alltel
ATI|ATI Inc (Allegheny Technologies)|1996||https://en.wikipedia.org/wiki/Allegheny_Technologies
AVP|Avon Products|1886||https://en.wikipedia.org/wiki/Avon_Products
AZA.A|ALZA Corporation|1968||https://en.wikipedia.org/wiki/Alza
BAC|Bank of America|1904|October|https://en.wikipedia.org/wiki/Bank_of_America_(1904%E2%80%931998)
BAY|Bay Networks|1994||https://en.wikipedia.org/wiki/Bay_Networks
BBI|Blockbuster Inc.|1985|October|https://en.wikipedia.org/wiki/Blockbuster_(retailer)
BC|Brunswick Corporation|1845|September|https://en.wikipedia.org/wiki/Brunswick_Corporation
BCO|Brink's Company|1859|May|https://en.wikipedia.org/wiki/Brink%27s
BCR|C.R. Bard, Inc.|1907||https://en.wikipedia.org/wiki/Bard_(company)
BDK|Black & Decker|1910|September|https://en.wikipedia.org/wiki/Black%2BDecker
BEAM|Beam Therapeutics Inc.|2017|January|https://en.wikipedia.org/wiki/Beam_Therapeutics
BEV|Beverly Enterprises Inc.|1964||https://www.encyclopedia.com/social-sciences-and-law/economics-business-and-labor/businesses-and-occupations/beverly-enterprises-inc
BFI|Browning-Ferris Industries|1967||https://www.fundinguniverse.com/company-histories/browning-ferris-industries-inc-history/
BFO|Bestfoods (CPC International)|1906|January|https://www.fundinguniverse.com/company-histories/bestfoods-history/
BGG|Briggs & Stratton|1908||https://en.wikipedia.org/wiki/Briggs_%26_Stratton
