symbol,cik,company_name,founded_year,founded_month,founded_date,founded_source_url,legal_entity_founded_year,confidence,audit_status
A,1090872,Agilent Technologies,1999.0,,,https://www.agilent.com/about/companyinfo/history/index.html,,verified,VERIFIED
AABA,1011006,,1994.0,January,,https://en.wikipedia.org/wiki/History_of_Yahoo,,verified,VERIFIED
AAL,6201,American Airlines Group Inc.,1926.0,,,https://en.wikipedia.org/wiki/American_Airlines,1982.0,business_kept_holdco_separated,VERIFIED_CORRECTED
AAMRQ,6201,AMR Corporation,1926.0,,,https://en.wikipedia.org/wiki/AMR_Corporation,1982.0,business_kept_holdco_separated,VERIFIED_CORRECTED
AAP,1158449,ADVANCE AUTO PARTS INC,1932.0,,,https://www.sec.gov/Archives/edgar/vprr/0203/02031447.pdf,,verified,VERIFIED
AAPL,320193,Apple Inc.,1976.0,April,,https://en.wikipedia.org/wiki/Apple_Inc.,,corrected_earlier,VERIFIED_CORRECTED
ABBV,1551152,AbbVie,2013.0,,,https://www.abbvie.com/content/dam/abbvie-dotcom/uploads/PDFs/AbbVie_Corporate_Presentation.pdf,,verified,VERIFIED
ABC,1140859,,1888.0,,,https://www.fundinguniverse.com/company-histories/bergen-brunswig-corporation-history/,1969.0,business_kept_holdco_separated,VERIFIED_CORRECTED
ABI,77551,Applied Biosystems (Perkin-Elmer),1937.0,,,https://en.wikipedia.org/wiki/PerkinElmer,,verified,VERIFIED
ABKFQ,874501,,1971.0,,,https://en.wikipedia.org/wiki/Ambac,,verified,VERIFIED
ABMD,815094,,1981.0,,,https://en.wikipedia.org/wiki/Abiomed,,verified,VERIFIED
ABNB,1559720,Airbnb,2008.0,,,https://en.wikipedia.org/wiki/Airbnb,,verified,VERIFIED
ABS,3333,Albertsons Inc.,1939.0,July,,https://en.wikipedia.org/wiki/Albertsons,,verified,VERIFIED
ABT,1800,Abbott Laboratories,1888.0,,,https://en.wikipedia.org/wiki/Abbott_Laboratories,,verified,VERIFIED
ABX,1814287,"Abacus Global Management, Inc.",2004.0,,,https://stockanalysis.com/stocks/abx/company/,2020.0,business_kept_holdco_separated,VERIFIED_CORRECTED
ACAS,817473,,1986.0,,,https://en.wikipedia.org/wiki/American_Capital,,verified,VERIFIED
ACGL,947484,Arch Capital Group,1995.0,,,,2000.0,business_kept_holdco_separated,VERIFIED_CORRECTED
ACKH,7431,Armstrong World Industries,1860.0,,,https://www.armstrong.com/en-us/about-us/our-history.html,,verified,VERIFIED
ACN,1467373,Accenture,1989.0,,,https://en.wikipedia.org/wiki/Accenture,,verified,VERIFIED
ACS,2135,,1988.0,,,https://en.wikipedia.org/wiki/Affiliated_Computer_Services,,verified,VERIFIED
ACV,1636289,Virtus Diversified Income & Convertible Fund,2015.0,March,,https://www.sec.gov/Archives/edgar/data/1636289/000119312521111476/d42258dncsr.htm,,verified,VERIFIED
ADBE,796343,Adobe Inc.,1982.0,December,,https://en.wikipedia.org/wiki/Adobe_Inc.,,verified,VERIFIED
ADCT,1771910,ADC Therapeutics SA,2011.0,June,,https://www.sec.gov/Archives/edgar/data/1771910/000162828023008056/R8.htm,,verified,VERIFIED
ADI,6281,Analog Devices,1965.0,,,https://www.analog.com/media/en/other/about-ADI/Ten-Facts-to-Know-About-Analog-Devices.pdf,,verified,VERIFIED
ADM,7084,Archer Daniels Midland,1902.0,,,https://en.wikipedia.org/wiki/Archer_Daniels_Midland,,verified,VERIFIED
ADP,8670,Automatic Data Processing,1949.0,,,https://www.sec.gov/Archives/edgar/data/8670/000000867016000053/q4fy1610kinq4fy16.htm,,verified,VERIFIED
ADS,1101215,,1983.0,April,,https://en.wikipedia.org/wiki/Bread_Financial,,corrected_earlier,VERIFIED_CORRECTED
ADSK,769397,Autodesk,1982.0,,,https://en.wikipedia.org/wiki/Autodesk,,verified,VERIFIED
ADT,1703056,ADT Inc.,1874.0,August,,https://en.wikipedia.org/wiki/ADT_Inc.,,verified,VERIFIED
AEE,1002910,Ameren,1902.0,,,,1997.0,business_kept_holdco_separated,VERIFIED_CORRECTED
AEP,4904,American Electric Power,1906.0,,,https://en.wikipedia.org/wiki/American_Electric_Power,,verified,VERIFIED
AES,874761,AES Corporation,1981.0,January,,https://en.wikipedia.org/wiki/AES_Corporation,,verified,VERIFIED
AET,1122304,Aetna Inc.,1853.0,May,,https://en.wikipedia.org/wiki/Aetna,,verified,VERIFIED
AFL,4977,Aflac,1955.0,,,https://en.wikipedia.org/wiki/Aflac,,verified,VERIFIED
AFS.A,,,1897.0,,,https://en.wikipedia.org/wiki/AmerUs,1994.0,business_kept_holdco_separated,VERIFIED_CORRECTED
AGC,,American General Corporation,1926.0,May,,https://www.tshaonline.org/handbook/entries/american-general-corporation,,verified,VERIFIED
AGN,850693,Allergan Inc.,1948.0,,,https://en.wikipedia.org/wiki/Allergan,,verified,VERIFIED
AHM,,H. F. Ahmanson & Co.,1927.0,,,https://en.wikipedia.org/wiki/H._F._Ahmanson_%26_Co.,,verified,VERIFIED
AIG,5272,American International Group,1919.0,December,,https://en.wikipedia.org/wiki/American_International_Group,,verified,VERIFIED
AIT,109563,APPLIED INDUSTRIAL TECHNOLOGIES INC,1923.0,,,https://en.wikipedia.org/wiki/Applied_Industrial_Technologies,,verified,VERIFIED
