queue,priority,ticker,company,spine_id,issues,next_step,entry_not_certified,exit_not_certified,manual_required,source_upgrade_pending,decision_status,decision_note,accepted_source_url,certified_boundary,corroborating_source_url,blocked_financial_rows,financial_unlock_rank
P1_HIGH_YIELD_EXIT_CERTIFICATION,P1,AABA,Yahoo! Inc,SP500_SPELL_0002,,COMPLETE,NO,False,NO,NO,PROMOTED_PUBLICATION_SAFE,S&P DJI: Yahoo! deleted effective prior to open 2017-06-19; half-open exit date 2017-06-19.,https://press.spglobal.com/2017-06-09-Hilton-Worldwide-Align-Technology-ANSYS-Set-to-Join-S-P-500-Teradata-and-Ryder-System-to-Join-S-P-MidCap-400,2017-06-19,,7,
P1_HIGH_YIELD_EXIT_CERTIFICATION,P1,AAL,American Airlines Group Inc,SP500_SPELL_0004,,COMPLETE,NO,False,NO,NO,PROMOTED_PUBLICATION_SAFE,S&P DJI: American Airlines Group deleted effective prior to open 2024-09-23; half-open exit date 2024-09-23.,https://press.spglobal.com/2024-09-06-Palantir-Technologies%2C-Dell-Technologies%2C-and-Erie-Indemnity-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,2024-09-23,,9,
P0_MANUAL_DEEP_RESEARCH,P0,AAMRQ,AMR Corporation,SP500_SPELL_0005,EXIT_NOT_CERTIFIED;MANUAL_REQUIRED;ENTRY_NOT_CERTIFIED,MANUAL_REVIEW_AND_PART4_EXIT_CERTIFICATION,YES,YES,YES,NO,UNTOUCHED,,,,,2,98
P1_HIGH_YIELD_EXIT_CERTIFICATION,P1,AAP,Advance Auto Parts Inc,SP500_SPELL_0006,EXIT_NOT_CERTIFIED,DONE_EXIT_CERTIFIED,NO,YES,NO,NO,PROMOTED_PUBLICATION_SAFE,Primary S&P DJI evidence certifies S&P 500 deletion; half-open exit boundary 2023-08-25. Promoted to historical publication scope.,https://press.spglobal.com/2023-08-21-Kenvue-Set-to-Join-S-P-500-Advance-Auto-Parts-to-Join-S-P-SmallCap-600,2023-08-25,,6,
P0_MANUAL_DEEP_RESEARCH,P0,ABI,Applied Biosystems Inc.,SP500_SPELL_0010,EXIT_NOT_CERTIFIED;MANUAL_REQUIRED;ENTRY_NOT_CERTIFIED,MANUAL_REVIEW_AND_PART4_EXIT_CERTIFICATION,YES,YES,YES,NO,UNTOUCHED,,,,,5,40
P1_HIGH_YIELD_EXIT_CERTIFICATION,P1,ABKFQ,Ambac Financial Group,SP500_SPELL_0011,,COMPLETE,NO,False,NO,NO,PROMOTED_PUBLICATION_SAFE,Exit boundary certified; half-open first non-member date 2008-06-11.,https://247wallst.com/investing/2008/06/03/sp-boots-ambac/,2008-06-11,,6,
P1_HIGH_YIELD_EXIT_CERTIFICATION,P1,ABS,Albertson's Inc.,SP500_SPELL_0014,EXIT_NOT_CERTIFIED,FINAL_P1_HOLD_EXACT_S&P_BOUNDARY_UNRESOLVED,NO,YES,NO,NO,FINAL_P1_HOLD_EXACT_BOUNDARY_UNRESOLVED,Final P1 research pass completed; exact S&P-effective exit boundary remains unproven without inference. Remains quarantined.,,,,3,68
P1_HIGH_YIELD_EXIT_CERTIFICATION,P1,ACS,Affiliated Computer Services,SP500_SPELL_0021,,COMPLETE,NO,False,NO,NO,PROMOTED_PUBLICATION_SAFE,Contemporaneous S&P-index reporting places Urban Outfitters' replacement of ACS on 2010-02-05; Xerox SEC filing confirms ACS acquisition date was 2010-02-05.,https://www.sec.gov/Archives/edgar/data/108772/000119312511043738/dex13.htm,2010-02-05,https://www.forbes.com/2010/02/18/berkshire-hathaway-buffett-markets-equities-standard-poors_slide.html,2,
P1_HIGH_YIELD_EXIT_CERTIFICATION,P1,AET,Aetna Inc.,SP500_SPELL_0034,,COMPLETE,NO,YES,NO,NO,CERTIFIED_AND_PROMOTED,"S&P DJI: Aetna deleted prior to open 2018-12-03; half-open exit date 2018-12-03. SEC confirms CVS/Aetna merger closed 2018-11-28, proving merger close is not the index boundary.",https://press.spglobal.com/2018-11-26-Lamb-Weston-Holdings-Maxim-Integrated-Products-and-Diamondback-Energy-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,2018-12-03,https://www.sec.gov/Archives/edgar/data/1122304/000112230418000178/form8-k.htm,6,25
P1_HIGH_YIELD_EXIT_CERTIFICATION,P1,AGN,Allergan Inc.,SP500_SPELL_0038,EXIT_NOT_CERTIFIED,DONE_EXIT_CERTIFIED,NO,YES,NO,NO,PROMOTED_PUBLICATION_SAFE,Primary S&P DJI evidence certifies S&P 500 deletion; half-open exit boundary 2020-05-12. Promoted to historical publication scope.,https://press.spglobal.com/2020-05-06-DexCom-Dominos-Pizza-Set-to-Join-S-P-500-Salesforce-com-to-Join-S-P-100-STORE-Capital-to-Join-S-P-MidCap-400-Capri-Holdings-to-Join-S-P-SmallCap-600,2020-05-12,,6,
