symbol,cik,fiscal_year,shares_outstanding,shares_source_url,market_cap,marketcap_source_url
AAL,0000006201,2025,,https://www.sec.gov/Archives/edgar/data/6201/000000620126000014/0000006201-26-000014-index.htm,10122469054,https://finance.yahoo.com/quote/AAL/history (month-end close 2025-12-01) x shares
AAP,0001158449,2020,,https://www.sec.gov/Archives/edgar/data/1158449/000115844921000036/0001158449-21-000036-index.htm,9772311959,https://finance.yahoo.com/quote/AAP/history (month-end close 2021-01-01) x shares
AAPL,0000320193,2025,,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/0000320193-25-000079-index.htm,3762502836540,https://finance.yahoo.com/quote/AAPL/history (month-end close 2025-09-01) x shares
ABBV,0001551152,2025,,https://www.sec.gov/Archives/edgar/data/1551152/000155115226000008/0001551152-26-000008-index.htm,404008947265,https://finance.yahoo.com/quote/ABBV/history (month-end close 2025-12-01) x shares
ADBE,0000796343,2025,,https://www.sec.gov/Archives/edgar/data/796343/000079634326000003/0000796343-26-000003-index.htm,131413367004,https://finance.yahoo.com/quote/ADBE/history (month-end close 2025-11-01) x shares
AES,0000874761,2008,,https://www.sec.gov/Archives/edgar/data/874761/000119312509191566/0001193125-09-191566-index.htm,5489619762,https://finance.yahoo.com/quote/AES/history (month-end close 2008-12-01) x shares
AJG,0000354190,2025,,https://www.sec.gov/Archives/edgar/data/354190/000162828026008662/0001628280-26-008662-index.htm,66534911197,https://finance.yahoo.com/quote/AJG/history (month-end close 2025-12-01) x shares
AMCR,0001748790,2025,,https://www.sec.gov/Archives/edgar/data/1748790/000174879025000023/0001748790-25-000023-index.htm,105931291048,https://finance.yahoo.com/quote/AMCR/history (month-end close 2025-06-01) x shares
AMD,0000002488,2025,,https://www.sec.gov/Archives/edgar/data/2488/000000248826000018/0000002488-26-000018-index.htm,349168792108,https://finance.yahoo.com/quote/AMD/history (month-end close 2025-12-01) x shares
AMP,0000820027,2025,,https://www.sec.gov/Archives/edgar/data/820027/000082002726000011/0000820027-26-000011-index.htm,44708709055,https://finance.yahoo.com/quote/AMP/history (month-end close 2025-12-01) x shares
AMT,0001053507,2025,,https://www.sec.gov/Archives/edgar/data/1053507/000105350726000035/0001053507-26-000035-index.htm,81830515261,https://finance.yahoo.com/quote/AMT/history (month-end close 2025-12-01) x shares
AMTM,0002011286,2025,,https://www.sec.gov/Archives/edgar/data/2011286/000162828025053993/0001628280-25-053993-index.htm,5459030964,https://finance.yahoo.com/quote/AMTM/history (month-end close 2025-10-01) x shares
